synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:31:40.334367,https://www.bomberostl.org/noticias/category/rifas/,Global,Society,-1,100000,50
2024-11-01 07:32:13.519779,https://www.upm.es/investigacion/innovacion/otri/unidadculturacientifica/semanaciencia?fmt=detail&id=con02524,Global,News,-1,10000,-1
2024-11-01 07:32:17.185208,https://www.upm.es/observatorio/vi/index.jsp?pageac=investigador.jsp&idinvestigador=18036,Global,News,-1,10000,-1
2024-11-01 07:32:23.428836,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-01 08:33:54.009296,https://mhmedical.com/updatescontent.aspx?gbosid=569472,Global,Business,-1,10000,50
2024-11-01 09:02:58.875466,https://www.atspace.com/affiliates/affiliate-lost-password/,Global,Society,-1,100000,50
2024-11-01 09:03:00.305679,https://lamaquinita.co/soluciones/solucion-empresa/,Global,Society,-1,100000,50
2024-11-01 09:53:04.106754,https://www.bomberostl.org/noticias/practica-de-rescate-vehicular/,Global,Society,-1,100000,50
2024-11-01 09:53:11.318037,https://www.bomberostl.org/noticias/incendio-de-pastos-naturales/,Global,Society,-1,100000,50
2024-11-01 10:03:12.135019,https://www.upm.es/observatorio/vi/index.jsp?pageac=investigador.jsp&idinvestigador=18036,Global,News,-1,10000,-1
2024-11-01 10:03:15.822129,https://www.upm.es/upm/salaprensa/noticias_de_investigacion?id=8457d44fdb473510vgnvcm10000009c7648a____&fmt=detail&prefmt=articulo,Global,News,-1,10000,-1
2024-11-01 10:03:21.428657,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-01 10:26:35.521972,https://intramed.net,Global,Business,500,100000,1
2024-11-01 10:51:20.781116,https://www.atspace.com/joomla-hosting/,Global,Society,-1,10000,-1
2024-11-01 11:03:28.200157,https://www.atspace.com/frequently-asked-questions/,Global,Society,-1,10000,-1
2024-11-01 11:03:41.328422,https://www.atspace.com/error-404/,Global,Society,-1,10000,-1
2024-11-01 11:03:45.177281,https://www.atspace.com/signup/?id=19988&type=shared,Global,Society,-1,10000,-1
2024-11-01 11:56:21.636217,https://www.gettyimages.es/detail/foto/battle-to-the-death-imagen-libre-de-derechos/94023292,Global,Shopping,100,100000,-1
2024-11-01 12:00:43.789721,https://www.atspace.com/wordpress-hosting/,Global,Society,-1,10000,-1
2024-11-01 12:19:10.797924,https://www.atspace.com/complete-your-order/,Global,Society,-1,10000,-1
2024-11-01 12:33:19.132523,https://atspace.com,Global,Society,-1,10000,-1
2024-11-01 12:35:03.686428,https://www.atspace.com/web-hosting/semi-dedicated-hosting/,Global,Society,-1,10000,-1
2024-11-01 12:42:39.543321,https://www.atspace.com/complete-your-order/,Global,Society,-1,10000,-1
2024-11-01 12:42:50.490488,https://www.atspace.com/affiliates/affiliate-login/,Global,Society,-1,10000,-1
2024-11-01 13:01:01.019101,https://asadorlossauces.com/index.php/category/law,Global,Society,-1,1000,25
2024-11-01 13:06:36.402626,https://asadorlossauces.com/index.php/review-of-procerin,Global,Society,-1,100000,50
2024-11-01 13:06:38.359139,http://mundo-espanol.com/en/mafalda/mafalda-y-quino/,Global,Society,-1,100000,50
2024-11-01 13:43:42.499789,https://www.upm.es/observatorio/vi/index.jsp?pageac=actividad.jsp&id_actividad=213316,Global,News,-1,10000,-1
2024-11-01 13:43:43.763760,https://www.upm.es/futurosestudiantes/ingresar/accesoadmision/pgrado,Global,News,-1,10000,-1
2024-11-01 13:43:47.627617,https://www.upm.es/observatorio/vi/index.jsp?pageac=actividad.jsp&id_actividad=161325,Global,News,-1,10000,-1
2024-11-01 13:43:53.250396,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-01 13:45:50.105397,https://www.bomberostl.org/noticias/incendio-de-una-vivienda-2/,Global,Society,-1,100000,50
2024-11-01 13:49:18.797492,http://astroapart.com/,Local,Business,-1,-1,1
2024-11-01 14:34:25.883396,https://perikos.com/,Local,Business,-1,-1,1
2024-11-01 15:04:28.226794,https://lamaquinita.co/coworking-la-alternativa-al-trabajo-de-oficina/,Global,Society,-1,100000,50
2024-11-02 10:53:38.152159,https://www.upm.es/observatorio/vi/index.jsp?pageac=actividad.jsp&id_actividad=55831,Global,News,-1,10000,-1
2024-11-02 10:53:41.214547,https://www.upm.es/observatorio/vi/index.jsp?pageac=investigador.jsp&idinvestigador=26531,Global,News,-1,10000,-1
2024-11-02 10:53:46.854233,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-02 11:49:59.376061,https://www.atspace.com/signup/?id=19987&type=shared,Global,Society,-1,100000,50
2024-11-03 15:16:41.471284,https://www.upm.es/observatorio/vi/index.jsp?pageac=investigador.jsp&idinvestigador=18036,Global,News,-1,10000,-1
2024-11-03 15:16:46.249834,https://www.upm.es/futurosestudiantes/ingresar/accesoadmision/pgrado,Global,News,-1,10000,-1
2024-11-03 15:16:52.263794,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-03 19:19:51.085649,https://www.atspace.com/affiliates/affiliate-signup/,Global,Society,-1,100000,50
2024-11-04 07:02:19.998830,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-04 07:09:17.201841,http://mundo-espanol.com/en/mafalda/mafalda-y-quino/,Global,Society,-1,100000,50
2024-11-04 07:09:19.629841,https://www.bomberostl.org/portfolios/movil-24/,Global,Society,-1,100000,25
2024-11-04 07:09:28.461826,https://lamaquinita.co,Global,Society,-1,100000,1
2024-11-04 07:09:30.052795,https://lamaquinita.co/el-cowork-llego-para-quedarse/,Global,Society,-1,100000,50
2024-11-04 07:09:33.306895,https://asadorlossauces.com/index.php/page/disclaimer,Global,Society,-1,100000,50
2024-11-04 07:09:42.175228,https://intramed.net,Global,Business,500,100000,1
2024-11-04 07:09:59.334942,https://www.intramed.net/content/por-que-es-fundamental-la-demostracion-de-bioequivalencia-en-los-medicamentos-genericos,Global,Business,500,100000,-1
2024-11-04 07:10:00.730891,https://www.sumerlabs.com/catalogo/tiendaluanap-1661592910858065f/todos-los-productos,Global,Society,10,10,-1
2024-11-04 07:11:13.603135,https://www.atspace.com/frequently-asked-questions/,Global,Society,-1,100000,50
2024-11-04 08:01:21.128331,https://lamaquinita.co/el-cowork-llego-para-quedarse/,Global,Society,-1,100000,50
2024-11-04 08:01:23.601891,https://stswww.blogspot.com/2012/03/vision-of-digital-native.html,Global,Society,-1,100000,50
2024-11-04 08:01:30.471264,https://intramed.net,Global,Business,500,100000,1
2024-11-04 08:01:35.276113,https://www.intramed.net/content/sangre-de-topo-efecto-placebo-y-la-necesidad-de-dar-una-respuesta,Global,Business,500,100000,-1
2024-11-04 08:05:31.394232,https://www.atspace.com/affiliates/affiliate-signup/,Global,Society,-1,100000,50
2024-11-04 08:06:40.213985,https://intramed.net,Global,Business,500,100000,1
2024-11-04 08:06:43.564012,https://www.intramed.net/content/sangre-de-topo-efecto-placebo-y-la-necesidad-de-dar-una-respuesta,Global,Business,500,100000,-1
2024-11-04 08:06:47.646548,https://www.intramed.net/content/por-que-es-fundamental-la-demostracion-de-bioequivalencia-en-los-medicamentos-genericos,Global,Business,500,100000,-1
2024-11-04 08:06:48.190268,https://www.intramed.net/content/sangre-de-topo-efecto-placebo-y-la-necesidad-de-dar-una-respuesta,Global,Business,500,100000,-1
2024-11-04 08:06:48.407676,https://www.intramed.net/content/107326,Global,Business,500,100000,25
2024-11-04 08:06:50.499339,https://www.intramed.net/content/por-que-es-fundamental-la-demostracion-de-bioequivalencia-en-los-medicamentos-genericos,Global,Business,500,100000,-1
2024-11-04 08:06:51.592306,https://www.intramed.net/content/recomendaciones-para-las-vacunas-antineumococicas-conjugadas-entre-adultos-mayores-de-50-anos,Global,Business,500,100000,-1
2024-11-04 08:06:53.432632,https://www.intramed.net/content/680f801c94f643e12bc8dc87,Global,Business,500,100000,50
2024-11-04 08:23:57.284618,https://www.gettyimages.es/detail/foto/young-bmx-bicycle-rider-imagen-libre-de-derechos/842858226,Global,Shopping,100,100000,-1
2024-11-04 08:24:11.533898,https://www.gettyimages.es/v%c3%addeos/discoteca,Global,Shopping,100,100000,25
2024-11-04 08:24:19.576481,https://www.gettyimages.es/ilustraciones/tambor-y-bater%c3%ada,Global,Shopping,100,100000,50
2024-11-04 08:24:26.087645,https://www.gettyimages.es/v%c3%addeos/discoteca,Global,Shopping,100,100000,25
2024-11-04 08:24:28.649342,https://www.gettyimages.es/ilustraciones/tambor-y-bater%c3%ada,Global,Shopping,100,100000,50
2024-11-04 08:24:45.387065,https://www.gettyimages.es/detail/foto/fall-colors-in-the-el-escorial-near-madrid-imagen-libre-de-derechos/1473412737,Global,Shopping,100,100000,-1
2024-11-04 08:25:16.407091,https://www.gettyimages.es/detail/foto/young-girl-having-fun-on-rope-swing-outdoors-imagen-libre-de-derechos/998113904,Global,Shopping,100,100000,-1
2024-11-04 08:25:47.001261,https://www.gettyimages.es/detail/ilustraci%c3%b3n/set-of-icons-base-web-icons-set-ilustraciones-libres-de-derechos/1500014301,Global,Shopping,100,100000,-1
2024-11-04 08:25:52.424044,https://www.gettyimages.es/detail/foto/el-escorial-monastery-imagen-libre-de-derechos/876568114,Global,Shopping,100,100000,-1
2024-11-04 08:25:58.067254,https://www.gettyimages.es/ilustraciones/tambor-y-bater%c3%ada,Global,Shopping,100,100000,50
2024-11-04 08:26:01.639331,https://www.gettyimages.es/detail/ilustraci%c3%b3n/vintage-strip-of-tickets-ilustraciones-libres-de-derechos/480628429,Global,Shopping,100,100000,-1
2024-11-04 08:28:40.990002,https://www.gettyimages.es/ilustraciones/tambor-y-bater%c3%ada,Global,Shopping,100,100000,50
2024-11-04 08:30:12.241331,https://www.gettyimages.es/detail/foto/battle-to-the-death-imagen-libre-de-derechos/94023292,Global,Shopping,100,100000,-1
2024-11-04 08:30:23.430868,https://www.gettyimages.es/detail/ilustraci%c3%b3n/set-of-icons-base-web-icons-set-ilustraciones-libres-de-derechos/1500014301,Global,Shopping,100,100000,-1
2024-11-04 08:31:00.494685,https://www.gettyimages.es/ilustraciones/tambor-y-bater%c3%ada,Global,Shopping,100,100000,50
2024-11-04 08:49:11.647002,https://serverwww.wixsite.com/cs2014/gear,Global,Generic,-1,100000,25
2024-11-04 08:49:33.037712,https://www.derosebelgrano.com/post/pausa,Global,Generic,-1,100000,25
2024-11-04 08:49:59.630111,https://serverwww.wixsite.com/wizard/wizardtournament,Global,Generic,-1,100000,25
2024-11-04 08:50:52.968482,https://serverwww.wixsite.com/cs2014/gear,Global,Generic,-1,100000,-1
2024-11-04 08:51:15.552394,https://www.derosebelgrano.com/post/otra-disciplina,Global,Generic,-1,100000,-1
2024-11-04 08:51:25.127715,https://serverwww.wixsite.com/cs2014/membersvenue,Global,Generic,-1,100000,-1
2024-11-04 08:51:25.695541,https://serverwww.wixsite.com/cs2014/shock,Global,Generic,-1,100000,25
2024-11-04 08:51:26.915534,https://serverwww.wixsite.com/wizard,Global,Generic,-1,100000,25
2024-11-04 08:51:39.969778,https://serverwww.wixsite.com/wizard/wizardtournament,Global,Generic,-1,100000,25
2024-11-04 08:57:39.726347,https://www.atspace.com/affiliates/affiliate-signup/,Global,Society,-1,1000000,50
2024-11-04 08:57:50.668360,https://www.atspace.com/signup/?id=5000&type=semi,Global,Society,-1,1000000,50
2024-11-04 08:59:00.990956,https://stswww.blogspot.com/2016/05/at-anaplan-hub-2016-introducing-anaplan.html,Global,Society,-1,100000,-1
2024-11-04 08:59:03.029551,https://asadorlossauces.com/author/admin,Global,Society,-1,100000,25
2024-11-04 10:25:00.212252,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-04 10:35:57.881542,https://www.upm.es/recursosidi/offers-resources/patentes/sistema-y-metodo-de-vigilancia-de-un-sistema-de-desexcitacion-rapida-para-maquinas-sincronas-con-excitacion-indirecta/,Global,News,-1,10000,-1
2024-11-04 10:36:03.298162,https://www.upm.es/observatorio/vi/index.jsp?pageac=actividad.jsp&id_actividad=161325,Global,News,-1,10000,-1
2024-11-04 10:36:10.415297,https://www.upm.es/e-politecnica/2019/11/,Global,News,-1,10000,25
2024-11-04 10:36:54.586151,https://www.bomberostl.org/noticias/18-de-mayo-dia-de-la-escarapela/,Global,Society,-1,100000,50
2024-11-04 10:36:58.016026,https://www.atspace.com/signup/?id=401&type=ssl,Global,Society,-1,100000,25
2024-11-04 10:37:10.480618,http://danielcoston.blogspot.com/,Global,Society,-1,100000,1
2024-11-04 10:37:12.655333,https://stswww.blogspot.com/2014/10/telco-dealmaking.html,Global,Society,-1,100000,50
2024-11-04 10:37:21.946190,https://mundo-espanol.com/en/online-spanish-lessons/,Global,Society,-1,100000,50
2024-11-04 11:28:27.430529,https://intramed.net,Global,Business,500,100000,1
2024-11-04 11:49:27.499320,https://www.atspace.com/,Global,Society,10,10000,1
2024-11-04 11:49:29.362539,https://www.atspace.com/about/report-abuse/,Global,Society,10,10000,25
2024-11-04 11:49:29.396295,https://www.atspace.com/web-hosting/shared-hosting/,Global,Society,10,10000,50
2024-11-04 11:49:42.506409,https://www.atspace.com/signup/?id=5000&type=semi,Global,Society,10,10000,50
2024-11-04 13:42:02.085481,https://www.dxcontrol.com/registrarse,Local,Business,-1,-1,25
2024-11-04 13:45:28.915491,https://intramed.net,Global,Business,500,100000,1
2024-11-04 13:45:39.919490,https://www.intramed.net/content/66be4c148d63200246b07a3c,Global,Business,500,100000,50
2024-11-04 13:45:44.181673,https://www.intramed.net/content/86902,Global,Business,500,100000,25
2024-11-04 16:13:47.622651,https://intramed.net,Global,Business,500,100000,1
2024-11-04 16:14:03.182748,https://www.atspace.com/affiliates/affiliate-login/,Global,Society,-1,100000,50
2024-11-04 16:14:05.082125,https://stswww.blogspot.com/2012/03/vision-of-digital-native.html,Global,Society,-1,100000,50
2024-11-04 16:41:48.313674,https://lamaquinita.co/el-cowork-llego-para-quedarse/,Global,Society,-1,100000,50
2024-11-04 16:41:50.550602,https://asadorlossauces.com/index.php/category/instagram,Global,Society,-1,100000,50
2024-11-04 16:41:54.534678,https://www.atspace.com/signup/?id=19988&type=shared,Global,Society,-1,100000,50
2024-11-04 16:42:00.942918,https://asadorlossauces.com/index.php/review-of-procerin,Global,Society,-1,100000,50
2024-11-04 16:42:13.103448,http://mundo-espanol.com/en/mafalda/mafalda-y-quino/,Global,Society,-1,100000,50
2024-11-04 16:43:36.353510,https://stswww.blogspot.com/2014/10/telco-dealmaking.html,Global,Society,-1,1000,50
2024-11-04 16:45:35.720646,https://asadorlossauces.com/how-to-test-a-pc-power-supply-like-a-pro,Global,Society,-1,1000,50
2024-11-04 17:05:15.282152,https://lamaquinita.co/la-epidemia-del-burnout-causas-efectos-y-soluciones-practicas/,Global,Society,-1,1000,-1
2024-11-04 17:05:45.882673,https://asadorlossauces.com/index.php/category/fashion,Global,Society,-1,1000000,50
2024-11-04 17:06:12.397154,https://stswww.blogspot.com/2012/03/vision-of-digital-native.html,Global,Society,-1,1000,50
2024-11-04 17:06:50.621127,https://asadorlossauces.com/category/home,Global,Society,-1,100000,25
2024-11-04 17:26:38.520730,https://lamaquinita.co/soluciones/solucion-empresa/,Global,Society,-1,100000,50
2024-11-04 17:26:40.772817,https://www.atspace.com/signup/?id=19987&type=shared,Global,Society,-1,100000,50
