synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:34:03.475648,https://cmponline.net/events/playgroup-is-back-3/,Global,Society,-1,100000,50
2024-11-01 08:34:36.661060,https://cityparkradio.com/friends-of-fm-october-2019/2016-10-31-shane-photo-3/,Global,News,-1,10000,-1
2024-11-01 08:34:40.326489,https://www.slate.com/articles/podcasts/manners_for_the_digital_age/2011/05/how_late_is_too_late_to_text.html,Global,News,-1,10000,-1
2024-11-01 08:34:46.570117,https://plos.org/an-exciting-new-era/,Global,News,-1,10000,25
2024-11-01 09:36:17.150577,https://www.hardrock.com/blog/hard-rock-international-announces-its-22nd-annual-pinktober-campaign-in-support-of-breast-cancer-awareness-and-research/,Global,Business,-1,10000,50
2024-11-01 10:05:22.016747,https://www.sealchongwah.com/290_hectares_greenspace_loss,Global,Society,-1,100000,50
2024-11-01 10:05:23.446960,https://rimebuddhism.com/news/rejoice-sangha-unifying-stupa-complete-2/,Global,Society,-1,100000,50
2024-11-01 10:55:27.248035,https://www.sacredheartmission.org/profile/how-an-in-memoriam-gift-ignites-hope/,Global,Society,-1,100000,50
2024-11-01 10:55:34.459318,https://www.sstperth.org/articles/hindu-calendar-explained,Global,Society,-1,100000,50
2024-11-01 11:05:35.276300,https://www.slate.com/articles/news_and_politics/gallery/2011/08/googles-gop-search-suggestions.html,Global,News,-1,10000,-1
2024-11-01 11:05:38.963410,https://www.slate.com/articles/double_x/my_darklyng/features/2010/my_darklyng/chapter_6_take_a_walk_on_the_dark_side.html,Global,News,-1,10000,-1
2024-11-01 11:05:44.569938,https://plos.org/media/,Global,News,-1,10000,25
2024-11-01 11:06:14.402912,https://plos.org/about/executive/,Global,News,-1,10000,25
2024-11-01 11:28:58.663253,https://fresherslive.com,Global,Business,500,100000,1
2024-11-01 11:53:43.922397,https://rimebuddhism.com/events/nagpa-dawa-kalachakra-wheel-turning-day-tsok-celebration/,Global,Society,-1,10000,-1
2024-11-01 12:05:51.341438,https://rimebuddhism.com/events/how-to-practice-kalachakra-taking-refuge-555/?method=mec-booking-modal,Global,Society,-1,10000,-1
