synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:04:04.324939,https://vorarlberg.at/web/landtag/-/zadra-daniel?article_id=135270,Global,Society,-1,100000,50
2024-11-01 09:04:37.510351,https://www.kaunertaler-gletscher.at/en/kaunertal-glacier/tickets-und-prices/summer-cards.html,Global,News,-1,10000,-1
2024-11-01 09:04:41.175780,https://www.kaunertaler-gletscher.at/en/kaunertal-glacier/service-und-informations/events/event-detail.html?id=72,Global,News,-1,10000,-1
2024-11-01 09:04:47.419408,http://zirbitzkogel.at/photos/picture.php?/626,Global,News,-1,10000,25
2024-11-01 10:06:17.999868,https://www.quandoo.at/en/innsbruck/tags/tasting-menu,Global,Business,-1,10000,50
2024-11-01 10:35:22.866038,https://vorarlberg.at/-/mobilitaetskonzept-vorarlberg-2019,Global,Society,-1,100000,50
2024-11-01 10:35:24.296251,https://vorarlberg.at/-/jugendleistungen-auf-einen-blick,Global,Society,-1,100000,50
2024-11-01 11:25:28.097326,https://vorarlberg.at/web/landtag/-/zadra-daniel?article_id=135270,Global,Society,-1,100000,50
2024-11-01 11:25:35.308609,https://vorarlberg.at/web/landtag/-/feurstein-hosp-nicole-1,Global,Society,-1,100000,50
2024-11-01 11:35:36.125591,https://www.kaunertaler-gletscher.at/en/kaunertal-glacier/service-und-informations/events/event-detail.html?id=72,Global,News,-1,10000,-1
2024-11-01 11:35:39.812701,https://www.kaunertaler-gletscher.at/en/kaunertal-glacier/summer/mountain-restaurants.html,Global,News,-1,10000,-1
2024-11-01 11:35:45.419229,http://zirbitzkogel.at/photos/picture.php?/626,Global,News,-1,10000,25
2024-11-01 11:36:15.252203,https://www.kaunertaler-gletscher.at/blog/skipiste,Global,News,-1,10000,25
2024-11-01 11:58:59.512544,https://woxikon.de,Global,Business,500,100000,1
2024-11-01 11:59:05.555589,https://billa.at,Global,Business,500,100000,1
2024-11-01 12:23:44.771688,https://www.oejhv.at/en/information-folder-seminars-events-cap-woerth/,Global,Society,-1,10000,-1
2024-11-01 12:35:52.190729,https://stswww.blogspot.com/2012/04/green-innovations-european-financial.html,Global,Society,-1,10000,-1
