synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:50:20.324144,https://cgi.br/resolucoes/documento/2025/018/,Global,Society,-1,100000,50
2024-11-01 07:50:53.509556,https://www.ictp-saifr.org/conference-on-perspectives-in-nonlinear-dynamics/,Global,News,-1,10000,-1
2024-11-01 07:51:03.418613,https://www.ictp-saifr.org/cosmo2021/,Global,News,-1,10000,25
2024-11-01 08:52:33.999073,https://copaapartments.com/accommodation/apartment-3b4/3b1_18/,Global,Business,-1,10000,50
2024-11-01 09:21:38.865243,https://cgi.br/portarias/ano_numero/2015/1172/,Global,Society,-1,100000,50
2024-11-01 09:21:40.295456,https://cgi.br/eventos/agenda/apoia/2-2024/,Global,Society,-1,100000,50
2024-11-01 10:11:44.096531,https://cgi.br/reunioes/ata/2022/12/16/,Global,Society,-1,100000,50
2024-11-01 10:11:51.307814,https://cgi.br/videos/categoria/historia/,Global,Society,-1,100000,50
2024-11-01 10:21:52.124796,https://www.ictp-saifr.org/workshop-on-fundamental-aspects-of-string-theory/,Global,News,-1,10000,-1
2024-11-01 10:22:01.418434,https://www.ictp-saifr.org/qc2023/,Global,News,-1,10000,25
2024-11-01 10:22:31.251408,https://www.ictp-saifr.org/mbmlsr2024/,Global,News,-1,10000,25
2024-11-01 10:45:15.511749,https://www.ufs.br/,Global,Business,500,100000,1
2024-11-01 11:10:00.770893,https://stswww.blogspot.com/2016/05/at-anaplan-hub-2016-introducing-anaplan.html,Global,Society,-1,10000,-1
2024-11-01 11:22:08.189934,https://www.safetymails.com/blog/email-engagement-email-marketings-most-beloved-metric/,Global,Society,-1,10000,-1
2024-11-01 11:22:25.167058,https://stswww.blogspot.com/2012/04/green-innovations-european-financial.html,Global,Society,-1,10000,-1
2024-11-01 12:15:01.625994,https://www.kwai.com/@afazendarecord/video/5246843672881108896?page_source=detail,Global,Shopping,100,100000,-1
2024-11-01 12:19:23.779498,https://www.safetymails.com/blog/how-the-email-address-validator-collaborates-with-risk-management/,Global,Society,-1,10000,-1
2024-11-01 12:37:50.787701,https://stswww.blogspot.com/2012/04/green-innovations-european-financial.html,Global,Society,-1,10000,-1
2024-11-01 12:51:59.122300,https://stswww.blogspot.com/2016/05/at-anaplan-hub-2016-introducing-anaplan.html,Global,Society,-1,10000,-1
2024-11-01 12:53:43.676205,https://www.safetymails.com/blog/email-engagement-email-marketings-most-beloved-metric/,Global,Society,-1,10000,-1
2024-11-01 13:01:30.480265,https://stswww.blogspot.com/2012/04/green-innovations-european-financial.html,Global,Society,-1,10000,-1
2024-11-01 13:19:41.008878,https://stswww.blogspot.com/2008/01/,Global,Society,-1,1000,25
2024-11-01 13:25:16.392403,https://cgi.br/reunioes/ata/1999/05/07/,Global,Society,-1,100000,50
2024-11-01 13:25:18.348916,https://cgi.br/eventos/agenda/apoia/2-2024/,Global,Society,-1,100000,50
2024-11-01 14:02:22.489566,https://www.ictp-saifr.org/workshop-on-strong-electron-correlations-in-quantum-materials-inhomogeneities-frustration-and-topology/,Global,News,-1,10000,-1
2024-11-01 14:02:23.753537,https://www.ictp-saifr.org/online-2022-meeting-of-ictp-saifr-scientific-council/,Global,News,-1,10000,-1
2024-11-01 14:02:27.617394,https://www.ictp-saifr.org/conference-on-perspectives-in-nonlinear-dynamics/,Global,News,-1,10000,-1
2024-11-01 14:02:33.240173,https://www.ictp-saifr.org/cosmo2021/,Global,News,-1,10000,25
2024-11-01 14:02:39.191128,https://www.ictp-saifr.org/epsilon2022/,Global,News,-1,10000,25
2024-11-01 14:04:30.095174,https://cgi.br/reunioes/ata/1999/05/07/,Global,Society,-1,100000,50
2024-11-01 14:07:58.787269,https://pontadosganchos.com,Local,Business,-1,-1,1
2024-11-01 14:53:05.873173,https://bancodeimoveis.net,Local,Business,-1,-1,1
2024-11-01 15:23:08.216571,https://cgi.br/portarias/ano_numero/2015/1172/,Global,Society,-1,100000,50
2024-11-02 11:12:18.141936,https://www.ictp-saifr.org/workshop-on-fundamental-aspects-of-string-theory/,Global,News,-1,10000,-1
2024-11-02 11:12:21.204324,https://www.ictp-saifr.org/conference-on-perspectives-in-nonlinear-dynamics/,Global,News,-1,10000,-1
2024-11-02 11:12:26.844010,https://www.ictp-saifr.org/sscmbd2025/,Global,News,-1,10000,25
2024-11-02 11:12:33.963524,https://www.ictp-saifr.org/seminars-qbio/,Global,News,-1,10000,25
2024-11-02 11:12:49.459698,https://www.ictp-saifr.org/qc2023/,Global,News,-1,10000,25
2024-11-02 12:08:39.365838,https://cgi.br/portarias/ano_numero/2015/1172/,Global,Society,-1,100000,50
2024-11-03 15:35:21.461061,https://www.ictp-saifr.org/conference-on-perspectives-in-nonlinear-dynamics/,Global,News,-1,10000,-1
2024-11-03 15:35:26.239611,https://www.ictp-saifr.org/online-2022-meeting-of-ictp-saifr-scientific-council/,Global,News,-1,10000,-1
2024-11-03 15:35:32.253571,https://www.ictp-saifr.org/qc2023/,Global,News,-1,10000,25
