synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:39:44.053477,https://www.superbithost.com/billing/index.php?rp=/store/vps-de,Global,Society,-1,100000,50
2024-11-01 08:40:17.238889,https://newthraciangold.eu/cmsnews.php?nid=84&searchin=2&search=%d1%81%d1%8a%d1%81%d1%82%d0%b5%d0%b7%d0%b0%d0%bd%d0%b8%d0%b5&lng=bg,Global,News,-1,10000,-1
2024-11-01 08:40:27.147946,http://www.newthraciangold.eu/calendar.php?lng=en,Global,News,-1,10000,25
2024-11-01 09:41:57.728406,https://byjus.com/biology/exocrine-glands/,Global,Business,-1,10000,50
2024-11-01 10:11:02.594576,https://www.montana.bg/%d0%b0%d0%bd%d0%ba%d0%b5%d1%82%d0%b8,Global,Society,-1,100000,50
2024-11-01 10:11:04.024789,https://www.superbithost.com/billing/index.php?rp=/store/vps-sg/premium-2,Global,Society,-1,100000,50
2024-11-01 11:01:07.825864,http://www.teteven.bg/index.php/2017-04-12-11-20-20,Global,Society,-1,100000,50
2024-11-01 11:11:15.854129,https://newthraciangold.eu/cmsnews.php?nid=84&searchin=2&search=%d1%81%d1%8a%d1%81%d1%82%d0%b5%d0%b7%d0%b0%d0%bd%d0%b8%d0%b5&lng=bg,Global,News,-1,10000,-1
2024-11-01 11:11:25.147767,http://www.newthraciangold.eu/calendar.php?lng=en,Global,News,-1,10000,25
2024-11-01 11:11:54.980741,http://www.newthraciangold.eu/index.php?lng=bg,Global,News,-1,10000,25
2024-11-01 11:34:39.241082,https://supichka.com,Global,Business,500,100000,1
2024-11-01 11:34:45.284127,https://virail.bg,Global,Business,500,100000,1
2024-11-01 11:59:24.500226,https://www.ubb.bg/en/news/view/10-bonus-za-pyrvata-pokupka-s-novi-kreditni-karti-ot-obb,Global,Society,-1,10000,-1
2024-11-01 12:11:31.919267,https://www.visitplovdiv.com/en/culture-and-events?field_culture_and_events_type_value_i18n=literature&&sort_by=created&sort_order=desc&items_per_page=9&page=1,Global,Society,-1,10000,-1
2024-11-01 12:11:45.047532,https://www.ubb.bg/en/individual-clients/insurance/zastrahovka-imushtestvo-kam-ipotechen-kredit,Global,Society,-1,10000,-1
2024-11-01 12:11:48.896391,https://www.ubb.bg/en/news/view/raiffeisenbank-real-gdp-growth-beyond-expectations,Global,Society,-1,10000,-1
2024-11-01 13:04:25.355327,https://government.bg/bg/prestsentar/zasedaniya-na-ms/dneven-red-na-zasedanie-na-ministerskiya-savet-na-03-10-2023-g,Global,Shopping,100,100000,-1
2024-11-01 13:08:47.508831,https://stswww.blogspot.com/2016/05/at-anaplan-hub-2016-introducing-anaplan.html,Global,Society,-1,10000,-1
2024-11-01 13:27:14.517034,https://www.ubb.bg/en/news/view/10-bonus-za-pyrvata-pokupka-s-novi-kreditni-karti-ot-obb,Global,Society,-1,10000,-1
2024-11-01 13:41:22.851633,https://www.ubb.bg/en/individual-clients/request-form?product=obb-platinum-evro-obligatsii,Global,Society,-1,10000,-1
2024-11-01 13:43:07.405538,https://www.ubb.bg/en/individual-clients/insurance/zastrahovka-imushtestvo-kam-ipotechen-kredit,Global,Society,-1,10000,-1
2024-11-01 13:50:43.262431,https://www.visitplovdiv.com/en/culture-and-events?field_culture_and_events_type_value_i18n=literature&&sort_by=created&sort_order=desc&items_per_page=9&page=2,Global,Society,-1,10000,-1
2024-11-01 13:50:54.209598,https://www.superbithost.com/billing/index.php?rp=/knowledgebase/4/what-choice-of-linux-operating-system-do-i-have.html,Global,Society,-1,10000,-1
2024-11-01 14:09:04.738211,https://stswww.blogspot.com/2008/01/,Global,Society,-1,1000,25
2024-11-01 14:14:40.121736,http://www.teteven.bg/index.php/2017-04-12-11-20-20,Global,Society,-1,100000,50
2024-11-01 14:14:42.078249,https://www.superbithost.com/billing/index.php?rp=/knowledgebase/11/ssl,Global,Society,-1,100000,50
2024-11-01 14:51:46.218899,https://newthraciangold.eu/cmsnews.php?nid=84&searchin=2&search=%d1%81%d1%8a%d1%81%d1%82%d0%b5%d0%b7%d0%b0%d0%bd%d0%b8%d0%b5&lng=bg,Global,News,-1,10000,-1
2024-11-01 14:51:47.482870,http://newthraciangold.eu/acomo_details.php?id=44&lng=bg&cat_id=&region_id=9&place_id=-1&stars=-1&vblizost=-1&button=%d0%a2%d1%8a%d1%80%d1%81%d0%b8,Global,News,-1,10000,-1
