synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:20:10.531855,https://mcc.org/our-stories/mothers-persistence,Global,Society,-1,100000,50
2024-11-01 08:20:43.717267,https://plos.org/get-more-news/?interest=biological?utm_id=395&utm_source=blog&utm_medium=referral&utm_campaign=395jrn0423b,Global,News,-1,10000,-1
2024-11-01 08:20:53.626324,https://plos.org/dora/,Global,News,-1,10000,25
2024-11-01 09:22:24.206784,https://lumenlearning.com/courses/quantitative-reasoning-lumen-one/,Global,Business,-1,10000,50
2024-11-01 09:51:29.072954,https://www.timhortons.com/fidelitim/terms-conditions/,Global,Society,-1,100000,50
2024-11-01 09:51:30.503167,https://mcc.org/our-stories/lets-talk-about-climate-change,Global,Society,-1,100000,50
2024-11-01 10:41:34.304242,https://guelph.ca/living/recreation/recreation-programs/,Global,Society,-1,100000,50
2024-11-01 10:41:41.515525,https://mcc.org/our-stories/lets-talk-about-climate-change,Global,Society,-1,100000,50
2024-11-01 10:51:42.332507,https://plos.org/get-more-news/?interest=biological?utm_id=395&utm_source=blog&utm_medium=referral&utm_campaign=395jrn0423b,Global,News,-1,10000,-1
2024-11-01 10:51:51.626145,https://plos.org/media/,Global,News,-1,10000,25
2024-11-01 10:52:21.459119,https://plos.org/about/executive/,Global,News,-1,10000,25
2024-11-01 11:15:05.719460,https://fresherslive.com,Global,Business,500,100000,1
2024-11-01 11:39:50.978604,https://www.calculator.net/investment-calculator.html?ctype=endamount&ctargetamountv=1000000&cstartingprinciplev=0&cyearsv=20&cinterestratev=10&ccompound=annually&ccontributeamountv=1000&cadditionat1=end&ciadditionat1=monthly&printit=0&x=99&y=26,Global,Society,-1,10000,-1
2024-11-01 11:51:58.397645,https://www.calculator.net/calorie-calculator.html?cage=30&csex=f&cheightfeet=5&cheightinch=10&cpound=165&cheightmeter=171&ckg=70&cactivity=1.465&cmop=0&coutunit=c&cformula=m&cfatpct=20&printit=0&ctype=metric&x=calculate&ref=plainperky.com,Global,Society,-1,10000,-1
2024-11-01 11:52:11.525910,https://www.calculator.net/bandwidth-calculator.html?convertamount=60&convertunit=mb&ctype=1&x=77&y=15,Global,Society,-1,10000,-1
2024-11-01 12:44:51.833705,https://www.etsy.com/invites/sell/?iid=hm0_pa75bzyrw_afk-1-xwoi4z-kuazovex7ftsh3gs.,Global,Shopping,100,100000,-1
2024-11-01 12:49:13.987209,https://www.calculator.net/interest-rate-calculator.html?cloanamount=30000000&cloanterm=20&cmonthlypay=60416&x=85&y=21,Global,Society,-1,10000,-1
2024-11-01 13:07:40.995412,https://www.calculator.net/number-sequence-calculator.html?afirstnumber=100&afactor=5&athenumber=10&ctype=1&x=calculate,Global,Society,-1,10000,-1
2024-11-01 13:21:49.330011,https://www.calculator.net/triangle-calculator.html?vc=&vx=&vy=&va=5&vz=230900&vb=90&angleunits=d&x=calculate,Global,Society,-1,10000,-1
2024-11-01 13:23:33.883916,https://www.calculator.net/number-sequence-calculator.html?afirstnumber=100&afactor=5&athenumber=10&ctype=1&x=calculate,Global,Society,-1,10000,-1
2024-11-01 13:31:09.740809,https://www.calculator.net/mortgage-calculator.html?chouseprice=3488000&cdownpayment=71800&cdownpaymentunit=d&cloanterm=25&cinterestrate=3.6&cpropertytaxes=9113.44&cpropertytaxesunit=d&chomeins=0&chomeinsunit=d&cothercost=0.00&cothercostunit=d,Global,Society,-1,10000,-1
2024-11-01 13:31:20.687976,https://www.calculator.net/number-sequence-calculator.html?afirstnumber=100&afactor=5&athenumber=10&ctype=1&x=calculate,Global,Society,-1,10000,-1
2024-11-01 13:49:31.216589,https://beiseker.com/economic-development/,Global,Society,-1,1000,25
2024-11-01 13:55:06.600114,https://www.timhortons.com/store-locator/store/restaurant_71293,Global,Society,-1,100000,50
2024-11-01 13:55:08.556627,https://www.timhortons.com/fidelitim/terms-conditions/,Global,Society,-1,100000,50
2024-11-01 14:32:12.697277,https://plos.org/get-more-news/?interest=biological?utm_id=395&utm_source=blog&utm_medium=referral&utm_campaign=395jrn0423b,Global,News,-1,10000,-1
2024-11-01 14:32:13.961248,https://plos.org/resource/10-tips-for-getting-started-as-a-peer-reviewer/,Global,News,-1,10000,-1
2024-11-01 14:32:17.825105,https://plos.org/get-more-news/?interest=biological?utm_id=395&utm_source=blog&utm_medium=referral&utm_campaign=395jrn0423b,Global,News,-1,10000,-1
2024-11-01 14:32:23.447884,https://plos.org/an-exciting-new-era/,Global,News,-1,10000,25
2024-11-01 14:32:29.398839,https://plos.org/blogs/,Global,News,-1,10000,25
2024-11-01 14:34:20.302885,https://mcc.org/donate?where=&gl_code=247,Global,Society,-1,100000,50
2024-11-01 14:37:48.994980,https://hastymarketcorp.com,Local,Business,-1,-1,1
2024-11-01 15:22:56.080884,https://wolfecalgary.com,Local,Business,-1,-1,1
2024-11-01 15:52:58.424282,https://mcc.org/our-stories/20222023-annual-report-mcc-us,Global,Society,-1,100000,50
2024-11-02 11:42:08.349647,https://plos.org/resource/10-tips-for-getting-started-as-a-peer-reviewer/,Global,News,-1,10000,-1
2024-11-02 11:42:17.051721,https://plos.org/media/,Global,News,-1,10000,25
2024-11-02 11:42:24.171235,https://plos.org/subject_area/urology/,Global,News,-1,10000,25
2024-11-02 11:42:39.667409,https://plos.org/country/norway/,Global,News,-1,10000,25
2024-11-02 12:38:29.573549,https://guelph.ca/living/recreation/recreation-programs/,Global,Society,-1,100000,50
2024-11-03 16:05:11.668772,https://plos.org/resource/10-tips-for-getting-started-as-a-peer-reviewer/,Global,News,-1,10000,-1
2024-11-03 16:05:22.461282,https://plos.org/country/norway/,Global,News,-1,10000,25
2024-11-03 16:05:51.172835,https://plos.org/an-exciting-new-era/,Global,News,-1,10000,25
2024-11-03 20:08:21.283137,https://mcc.org/fr?keywords=%22mcc%20east%20coast%22&page=1,Global,Society,-1,100000,50
2024-11-04 07:50:50.196318,https://plos.org/metrics/,Global,News,-1,10000,25
2024-11-04 07:50:55.233990,https://plos.org/about/executive/,Global,News,-1,10000,25
