synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:43:29.455657,https://academiadiplomatica.cl/cdn-cgi/l/email-protection,Global,Society,-1,100000,50
2024-11-01 07:44:02.641069,https://www.nacion.com/el-pais/politica/carlos-alvarado-si-vamos-a-acudir-al-fmi/7blpycprbzgsnga6gym5737ype/story/,Global,News,-1,10000,-1
2024-11-01 07:44:06.306498,https://www.observador.cl/con-wanderers-de-local-en-quillota-autorizan-aforo-para-500-hinchas-de-san-luis/,Global,News,-1,10000,-1
2024-11-01 07:44:12.550126,https://www.anfp.cl/clubes/rangers/,Global,News,-1,10000,25
2024-11-01 08:45:43.130586,https://www.uni-koeln.de/inter-fak/cecad/uhlirova/people.html,Global,Business,-1,10000,50
2024-11-01 09:14:47.996756,https://liceocomercialsb.cl/2022/08/02/sistema-de-admision-escolar-online/,Global,Society,-1,100000,50
2024-11-01 09:14:49.426969,https://www.liquidos.cl/productos/22947/cocacola-j-daniels-lata-350,Global,Society,-1,100000,50
2024-11-01 10:04:53.228044,https://liceocomercialsb.cl/2022/08/02/prueba-de-nivel-aptus/,Global,Society,-1,100000,50
2024-11-01 10:05:00.439327,https://normandie.cl/avant-premiere-de-mr-kaplan/,Global,Society,-1,100000,50
2024-11-01 10:15:01.256309,https://www.clima.com/republica-de-santo-domingo/la-vega/el-rio/por-horas,Global,News,-1,10000,-1
2024-11-01 10:15:04.943419,https://www.nacion.com/brandvoice/la-nueva-era-de-chery-1-millon-de-exportaciones/wbrurkys2vck5b3n2cf3ffpjja/story/,Global,News,-1,10000,-1
2024-11-01 10:15:10.549947,https://www.clima.com/peru/lima,Global,News,-1,10000,25
2024-11-01 10:15:40.382921,https://www.anfp.cl/institucional/,Global,News,-1,10000,25
2024-11-01 10:38:24.643262,https://sernatur.cl,Global,Business,500,100000,1
2024-11-01 10:38:30.686307,https://pucv.cl,Global,Business,500,100000,1
2024-11-01 11:03:09.902406,https://www.liquidos.cl/productos/23230/pack-alto-del-carmen-1-lt-coca-cola-1-5-hielo-2kg,Global,Society,-1,10000,-1
2024-11-01 11:15:17.321447,https://www.liquidos.cl/productos/22849/pack-dieciochero-terremoto-liquidos-cl,Global,Society,-1,10000,-1
2024-11-01 11:15:30.449712,https://www.liquidos.cl/productos/23230/pack-alto-del-carmen-1-lt-coca-cola-1-5-hielo-2kg,Global,Society,-1,10000,-1
2024-11-01 11:15:34.298571,https://www.liquidos.cl/productos/630/vino-aliwen-sauvignon-blanc-botella-750cc-x6,Global,Society,-1,10000,-1
2024-11-01 12:08:10.757507,https://www.unirioja.es/masteres-universitarios/master-en-modelizacion-e-investigacion-matematica-estadistica-y-computacion/,Global,Shopping,100,100000,-1
2024-11-01 12:12:32.911011,https://www.liquidos.cl/productos/3109/vino-oveja-negra-cabernet-franc-carmenere-750cc,Global,Society,-1,10000,-1
2024-11-01 12:30:59.919214,https://www.liquidos.cl/productos/920/monster-energy-regular-473-cc-x6-liquidos-cl,Global,Society,-1,10000,-1
2024-11-01 12:45:08.253813,https://www.liquidos.cl/productos/3732/vino-terrunyo-cabernet-sauvignon-botella-750cc-liquidos-cl,Global,Society,-1,10000,-1
2024-11-01 12:46:52.807718,https://www.liquidos.cl/productos/2654/vino-leyda-reserva-cabernet-sauvignon-botella-750cc,Global,Society,-1,10000,-1
2024-11-01 12:54:28.664611,https://www.liquidos.cl/productos/920/monster-energy-regular-473-cc-x6-liquidos-cl,Global,Society,-1,10000,-1
2024-11-01 12:54:39.611778,https://www.liquidos.cl/productos/2612/la-junta-reserva-carmenere-botella-750cc,Global,Society,-1,10000,-1
2024-11-01 13:18:25.523916,https://academiadiplomatica.cl/category/noticias/page/16/,Global,Society,-1,100000,50
2024-11-01 13:18:27.480429,https://academiadiplomatica.cl/proceso-de-admision-acade-2023/,Global,Society,-1,100000,50
2024-11-01 13:55:31.621079,https://www.nacion.com/puro-deporte/futbol-nacional/guia-tv-cuando-se-juega-el-liberia-vs-san-carlos/ktwuaobbfba2zmca7ylpu5tigq/story/,Global,News,-1,10000,-1
