synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:55:56.021819,https://strahoninec.hr/cloud/index.php/s/lxdtjtkknwfojzk,Global,Society,-1,100000,50
2024-11-01 08:56:29.207231,https://strukovna.com/2025/05/06/promocija-projekta-pronadeni-u-prijevodu-ucenici-os-vladimir-nazor-dakovo/,Global,News,-1,10000,-1
2024-11-01 08:56:32.872660,https://www.orahovica.hr/2024/11/prije-deset-godina-preminula-orahovacka-legenda-pave-vukelic-pajo-suborci-i-prijatelji-mu-odali-pocast/,Global,News,-1,10000,-1
2024-11-01 08:56:39.116288,https://strukovna.com/author/ljupko-tomic/,Global,News,-1,10000,25
2024-11-01 09:58:09.696748,https://www.amadriapark.com/wellnessspa_category/amadria-park-hotel-milenij/,Global,Business,-1,10000,50
2024-11-01 10:27:14.562918,https://www.klubkulture.org/odrzana-godisnja-skupstina-udruge-k-v-a-r-k/,Global,Society,-1,100000,50
2024-11-01 10:27:15.993131,https://www.ppmi.hr/hr/patrimonio/katalog-predmeta/item/2342/,Global,Society,-1,100000,50
2024-11-01 11:17:19.794206,https://www.cres.hr/prosirenje-mreze-jr-poziv-doc/,Global,Society,-1,100000,50
2024-11-01 11:17:27.005489,https://www.edunova.hr/sprechen-sie-deutsch/edunova_seminar/,Global,Society,-1,100000,50
2024-11-01 11:27:27.822471,https://strukovna.com/2021/06/18/natjecaj-za-upis-ucenika-u-i-razred-za-2021-2022-skolsku-godinu/,Global,News,-1,10000,-1
2024-11-01 11:27:31.509581,https://www.orahovica.hr/2024/12/udruzenje-obrtnika-orahovica-odrzalo-redovnu-godisnju-skupstinu-podnesen-je-plan-rada-za-naredno-razdoblje/,Global,News,-1,10000,-1
2024-11-01 11:27:37.116109,https://strukovna.com/category/zbirka/page/2/,Global,News,-1,10000,25
2024-11-01 11:50:51.209424,https://mueller.hr,Global,Business,500,100000,1
2024-11-01 11:50:57.252469,https://green.hr,Global,Business,500,100000,1
2024-11-01 12:15:36.468568,https://www.cres.hr/prijedlog-pravilnika-o-provedbi-postupka-jednostavne-nabave-roba-radova-i-usluga/,Global,Society,-1,10000,-1
2024-11-01 12:27:43.887609,https://www.cres.hr/gradska-uprava/gradsko-vijece/radna-tijela-gradskog-vijeca/odbor-za-izbor-i-imenovanja/,Global,Society,-1,10000,-1
2024-11-01 13:20:37.323669,https://www.unist.hr/zavrsena-je-sveucilisna-sportska-manifestacija-unisport-finals-2021/10061,Global,Shopping,100,100000,-1
2024-11-01 13:24:59.477173,https://www.cres.hr/gradska-uprava/gradsko-vijece/radna-tijela-gradskog-vijeca/odbor-za-izbor-i-imenovanja/,Global,Society,-1,10000,-1
2024-11-01 13:57:34.819975,https://www.cres.hr/prijedlog-pravilnika-o-provedbi-postupka-jednostavne-nabave-roba-radova-i-usluga/,Global,Society,-1,10000,-1
2024-11-01 14:07:06.177940,https://www.cres.hr/gradska-uprava/gradsko-vijece/radna-tijela-gradskog-vijeca/odbor-za-izbor-i-imenovanja/,Global,Society,-1,10000,-1
2024-11-01 14:25:16.706553,https://www.cres.hr/?stranica=2,Global,Society,-1,1000,25
2024-11-01 14:30:52.090078,https://strahoninec.hr/cloud/index.php/s/ds3a6rszwxywpmt,Global,Society,-1,100000,50
2024-11-01 14:30:54.046591,https://omisalj.hr/dogadanja/duhovski-utorek-2024,Global,Society,-1,100000,50
2024-11-01 15:07:58.187241,https://www.orahovica.hr/2016/11/odrzana-skupstina-reda-vitezova-ruzice-grada/,Global,News,-1,10000,-1
2024-11-01 15:07:59.451212,https://strukovna.com/2018/11/19/zanimljiv-obilazak-zagreba-i-interlibera/,Global,News,-1,10000,-1
2024-11-01 15:08:03.315069,https://www.orahovica.hr/2025/04/poznat-datum-otvorenja-igralista-s-umjetnom-travom-u-orahovici-znaju-se-i-sudionici-revijalnog-turnira-u-povodu-velike-obljetnice-nk-papuk/,Global,News,-1,10000,-1
2024-11-01 15:08:08.937848,https://strukovna.com/author/ljupko-tomic/,Global,News,-1,10000,25
2024-11-01 15:10:05.792849,https://www.tomsoft.hr/luceed/knjigovodstveni-servis/,Global,Society,-1,100000,50
2024-11-01 15:13:34.484944,https://port-osijek.hr/,Local,Business,-1,-1,1
2024-11-01 15:58:41.570848,https://ljekarnerizk.com,Local,Business,-1,-1,1
2024-11-01 16:28:43.914246,https://dobrinj.hr/default_javnipozivi.asp?sid=5827&str=6,Global,Society,-1,100000,50
2024-11-02 12:17:53.839611,https://strukovna.com/2017/11/13/rezultati-javnog-poziva-za-put-u-zagreb-reboot-infogamer/,Global,News,-1,10000,-1
2024-11-02 12:17:56.901999,https://strukovna.com/2020/02/24/popis-clanova-organizacijskog-povjerenstva-meduzupanijskog-natjecanja-u-disciplini-pekarstvo/,Global,News,-1,10000,-1
2024-11-02 12:18:02.541685,https://strukovna.com/author/ljupko-tomic/,Global,News,-1,10000,25
2024-11-02 12:18:09.661199,https://www.orahovica.hr/povijest-grada/,Global,News,-1,10000,25
2024-11-02 12:18:25.157373,https://strukovna.com/author/ljupko-tomic/,Global,News,-1,10000,25
2024-11-02 13:14:15.063513,https://dobrinj.hr/default_obavijest.asp?sid=6344,Global,Society,-1,100000,50
2024-11-03 16:40:57.158736,https://strukovna.com/2018/11/19/zanimljiv-obilazak-zagreba-i-interlibera/,Global,News,-1,10000,-1
2024-11-03 16:41:01.937286,https://www.orahovica.hr/2016/11/odrzana-skupstina-reda-vitezova-ruzice-grada/,Global,News,-1,10000,-1
2024-11-03 16:41:07.951246,https://strukovna.com/author/ljupko-tomic/,Global,News,-1,10000,25
2024-11-03 20:44:06.773101,https://hrvatska-kostajnica.hr/o-gradu/povijest/povijesni-i-prostorni-razvoj/,Global,Society,-1,100000,50
2024-11-04 08:26:35.686282,https://strukovna.com/author/ljupko-tomic/,Global,News,-1,10000,25
2024-11-04 08:26:40.723954,https://www.orahovica.hr/povijest-grada/,Global,News,-1,10000,25
2024-11-04 08:26:51.054147,https://strukovna.com/category/zbirka/page/2/,Global,News,-1,10000,25
2024-11-04 08:33:32.889293,https://www.cres.hr/wp-content/uploads/2025/03/3294.pdf,Global,Society,-1,100000,50
2024-11-04 08:33:35.317293,https://cresanka.hr/de/covid-19/,Global,Society,-1,100000,25
2024-11-04 08:33:44.149278,https://cresanka.hr,Global,Society,-1,100000,1
2024-11-04 08:33:45.740247,https://kwizard.hr/5-razred/priroda-5-skolska-knjiga,Global,Society,-1,100000,50
2024-11-04 08:33:48.994347,https://sddosijek.com/predavanja-i-radionice-djelatnika,Global,Society,-1,100000,50
2024-11-04 08:33:57.862680,https://www.unin.hr,Global,Business,500,100000,1
2024-11-04 08:34:15.022394,https://www.trivago.hr/hr/opr/tre%c5%a1njevka-sjever-hoteli-u-blizini?search=500-2388303,Global,Business,500,100000,-1
2024-11-04 08:34:16.418343,https://www.cres.hr/gradska-uprava/gradsko-vijece/radna-tijela-gradskog-vijeca/odbor-za-izbor-i-imenovanja/,Global,Society,10,10,-1
2024-11-04 08:35:29.290587,https://strahoninec.hr/cloud/index.php/s/ijnpnzdw7bxzm9z,Global,Society,-1,100000,50
2024-11-04 09:25:36.815783,https://www.gunja.hr/2024/04/25/upu-groblja-sumanovci/,Global,Society,-1,100000,50
2024-11-04 09:25:39.289343,https://hrvatska-kostajnica.hr/category/novosti/page/44/,Global,Society,-1,100000,50
2024-11-04 09:25:46.158716,https://trivago.hr,Global,Business,500,100000,1
2024-11-04 09:25:50.963565,https://green.hr/boris-johnson-privatnim-avionom-napustio-cop26-kako-bi-stigao-na-veceru/,Global,Business,500,100000,-1
