synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:35:54.758829,"https://www.websnadno.cz/?banner=%5bzelvy.wbs.cz,88x31%5d",Global,Society,-1,100000,50
2024-11-01 08:36:27.944241,https://www.czu.cz/cs/r-7214-mezinarodni-vztahy/r-7737-aktuality-mezinarodni-vztahy/staz-na-velvyslanectvi-cr-ve-washingtonu-dc.html,Global,News,-1,10000,-1
2024-11-01 08:36:31.609670,https://www.czu.cz/en/r-9190-international-relations/r-18688-welcome-centre-for-international-scholars/r-18851-welcome-centre-news/easter-trip-with-the-welcome-centre.html,Global,News,-1,10000,-1
2024-11-01 08:36:37.853298,https://www.info-cechy.cz/jm-sport/index.html,Global,News,-1,10000,25
2024-11-01 09:38:08.433758,https://www.axa-hotel.cz/en/location/,Global,Business,-1,10000,50
2024-11-01 10:07:13.299928,https://www.zoopraha.cz/navsteva/program/week.listevents/2024/10/07/-,Global,Society,-1,100000,50
2024-11-01 10:57:18.531216,https://www.websnadno.cz/pricelist/terms/?personal,Global,Society,-1,100000,50
2024-11-01 10:57:25.742499,https://www.zoopraha.cz/navsteva/program/week.listevents/2024/10/07/-,Global,Society,-1,100000,50
2024-11-01 11:07:26.559481,https://www.czu.cz/cs/r-7584-projekty-a-spoluprace-s-praxi/r-11162-visual-projekty/vyzva-k-podavani-prihlasek-na-zahranicni-staz-v-eso-2024-202.html,Global,News,-1,10000,-1
2024-11-01 11:07:30.246591,https://www.czu.cz/cs/r-7229-aktuality-czu/czu-udelila-dva-cestne-doktoraty.html,Global,News,-1,10000,-1
2024-11-01 11:07:35.853119,https://geospeleos.com/pages/intro.htm,Global,News,-1,10000,25
2024-11-01 11:08:05.686093,https://www.info-cechy.cz/jm-sport/index.html,Global,News,-1,10000,25
2024-11-01 11:30:49.946434,https://ujep.cz,Global,Business,500,100000,1
2024-11-01 11:30:55.989479,https://utb.cz,Global,Business,500,100000,1
2024-11-01 11:55:35.205578,https://www.zoopraha.cz/aktualne/akce-v-zoo-praha/13124-oslava-u-lidoopu-a-vytvarna-soutez,Global,Society,-1,10000,-1
