synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:11:34.114536,https://www.mbc.net/ar/ir/reports-and-presentations,Global,Society,-1,100000,50
2024-11-01 09:12:07.299948,http://qsitint.com/portfolio/gis-for-the-supreme-commission-for-tourism-sct/,Global,News,-1,10000,-1
2024-11-01 09:12:10.965377,https://firnasshuman.com/projects/supply-installation-commissioning-and-om-of-80-meter-mast-for-wind-resource-measurement-in-ras-ghareb-egypt/,Global,News,-1,10000,-1
2024-11-01 09:12:17.209005,https://swisswellnessdive.ch/dive-courses/,Global,News,-1,10000,25
2024-11-01 10:13:47.789465,https://www.chegg.com/skills/internships-announcement/,Global,Business,-1,10000,50
2024-11-01 10:42:52.655635,https://www.mbc.net/ar/channels?title=mbc%20masr%202,Global,Society,-1,100000,50
2024-11-01 10:42:54.085848,https://www.mbc.net/ar/ir/reports-and-presentations,Global,Society,-1,100000,50
2024-11-01 11:32:57.886923,https://www.mbc.net/ar/channels?title=mbc%20masr%202,Global,Society,-1,100000,50
2024-11-01 11:33:05.098206,https://www.onuniverse.com/?ref=mobiledeveloperscafe.com,Global,Society,-1,100000,50
2024-11-01 11:43:05.915188,https://firnasshuman.com/projects/environmental-and-social-management-system-esms-consultancy-for-rift-valley-railways-in-kenya-and-uganda/,Global,News,-1,10000,-1
2024-11-01 11:43:09.602298,https://qsitint.com/portfolio/ministry-of-social-solidarity-moss-geospatial-platform/,Global,News,-1,10000,-1
2024-11-01 11:43:15.208826,https://swisswellnessdive.ch/dive-courses/,Global,News,-1,10000,25
2024-11-01 11:43:45.041800,https://qsitint.com/portfolio/town-gas/,Global,News,-1,10000,25
2024-11-01 12:06:29.302141,https://banquemisr.com,Global,Business,500,100000,1
2024-11-01 12:06:35.345186,https://rosheta.com,Global,Business,500,100000,1
2024-11-01 12:31:14.561285,https://www.onuniverse.com/?utm_source=www.aipeanuts.com&utm_medium=referral&utm_campaign=ist-der-eu-ai-act-der-tod-von-open-source,Global,Society,-1,10000,-1
