synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:23:02.850120,https://www.viljandi.ee/ru/taiskasvanud-isikule-eestkoste-maaramine,Global,Society,-1,100000,50
2024-11-01 09:23:36.035532,https://www.valimised.ee/en/noon-today-29-eligible-voters-have-voted-european-parliament-elections,Global,News,-1,10000,-1
2024-11-01 09:23:39.700961,https://www.valimised.ee/et/vabariigi-valimiskomisjoni-koosolek-25-juunil-2024,Global,News,-1,10000,-1
2024-11-01 09:23:45.944589,https://citybike.ee/blog/tag/train/,Global,News,-1,10000,25
2024-11-01 10:25:16.525049,https://www.meresuu.ee/en/beauty-center/for-hands-and-for-feet/,Global,Business,-1,10000,50
2024-11-01 10:54:21.391219,https://www.viljandi.ee/et/teenused-raske-voi-sugava-puudega-lastele,Global,Society,-1,100000,50
2024-11-01 10:54:22.821432,https://voruvald.ee/menetluses-detailplaneeringud,Global,Society,-1,100000,50
2024-11-01 11:44:26.622507,https://stswww.blogspot.com/2014/10/telco-dealmaking.html,Global,Society,-1,100000,50
2024-11-01 11:44:33.833790,https://eelk.ee/inc.vastus.php?id=2&liigi_id=2,Global,Society,-1,100000,50
2024-11-01 11:54:34.650772,https://etag.ee/en/funding/programmes/closed-programmes/mobilitas-pluss/mobilitas-pluss-post-doctoral-researcher-grant/,Global,News,-1,10000,-1
2024-11-01 11:54:38.337882,https://www.valimised.ee/en/afternoon-today-338-eligible-voters-have-voted-european-parliament-elections,Global,News,-1,10000,-1
2024-11-01 11:54:43.944410,https://citybike.ee/welcome-to-tartu/,Global,News,-1,10000,25
2024-11-01 11:55:13.777384,https://citybike.ee/tallinn-bike/,Global,News,-1,10000,25
2024-11-01 12:17:58.037725,https://infoweb.ee,Global,Business,500,100000,1
2024-11-01 12:18:04.080770,https://omniva.ee,Global,Business,500,100000,1
2024-11-01 12:42:43.296869,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 12:54:50.715910,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 12:55:03.844175,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 12:55:07.693034,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 13:47:44.151970,https://www.goodnews.ee/tantsusamaan-kareem-raihani-festivalidel-nagu-seda-on-uhenduses-high-on-life-naen-suurt-lootust-inimkonna-jaoks/,Global,Shopping,100,100000,-1
2024-11-01 13:52:06.305474,https://www.wondershare.com/products-solutions/digital-creativity/?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:10:33.313677,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:24:41.648276,https://www.wondershare.com/?utm_source=sr.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 14:26:26.202181,https://www.wondershare.com/trustcenter/?utm_source=filmorasite&utm_medium=buypage,Global,Society,-1,10000,-1
2024-11-01 14:34:02.059074,https://www.wondershare.com/products-solutions/digital-creativity/?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:34:13.006241,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 14:52:23.534854,https://mollerauto.ee/ee_ru/10631378.html,Global,Society,-1,1000,25
2024-11-01 14:57:58.918379,https://eelk.ee/inc.vastus.php?id=67&liigi_id=2,Global,Society,-1,100000,50
2024-11-01 14:58:00.874892,https://voruvald.ee/menetluses-detailplaneeringud,Global,Society,-1,100000,50
2024-11-01 15:35:05.015542,https://www.valimised.ee/en/electoral-organizers/state-electoral-office/state-electoral-office-estonia,Global,News,-1,10000,-1
