synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:27:30.645765,https://stswww.blogspot.com/2012/03/vision-of-digital-native.html,Global,Society,-1,100000,50
2024-11-01 09:28:03.831177,https://www.provocateur.gr/manners/24996/cyril-chauquet-osoi-soy-lene-oti-den-foboyntai-den-einai-ygieis/,Global,News,-1,10000,-1
2024-11-01 09:28:07.496606,http://www.polydroso.gr/multimedia/fotografies/1-mia-mera-mia-eikona/detail/208-mia-mera-mia-eikona.html?tmpl=component&phocaslideshow=1,Global,News,-1,10000,-1
2024-11-01 09:28:13.740234,https://www.elta-courier.gr/profile,Global,News,-1,10000,25
2024-11-01 10:29:44.320694,http://www.iatriko.gr/el/tmima/ofthalmologiko-0?cl=614,Global,Business,-1,10000,50
2024-11-01 10:58:49.186864,https://www.wondershare.com/shop/individuals.html?cmpscreencustom,Global,Society,-1,100000,50
2024-11-01 10:58:50.617077,https://stswww.blogspot.com/2012/03/vision-of-digital-native.html,Global,Society,-1,100000,50
2024-11-01 11:48:54.418152,https://www.wondershare.com/ai-solutions/education.html?cmpscreencustom,Global,Society,-1,100000,50
2024-11-01 11:49:01.629435,https://www.wondershare.com/education.html?cmpscreencustom,Global,Society,-1,100000,50
2024-11-01 11:59:02.446417,https://www.provocateur.gr/manners/1953/ti-moy-emathe-h-zwh-ndash-andrikes-kai-romantikes-koybentes-me-ton-stefano-dandolo/,Global,News,-1,10000,-1
2024-11-01 11:59:06.133527,https://www.eosthessalonikis.gr/anavash/543/25/05-korufi-sokolkataraktis-kounoupitsas.html,Global,News,-1,10000,-1
2024-11-01 11:59:11.740055,https://www.epagelmatias.gr/tag/cafe-argyroypoli,Global,News,-1,10000,25
2024-11-01 11:59:41.573029,https://www.elta-courier.gr/fpc?lang=el,Global,News,-1,10000,25
2024-11-01 12:22:25.833370,https://uoi.gr,Global,Business,500,100000,1
2024-11-01 12:22:31.876415,https://duth.gr,Global,Business,500,100000,1
2024-11-01 12:47:11.092514,https://www.wondershare.com/?utm_source=sr.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 12:59:18.511555,https://www.wondershare.com/trustcenter/?utm_source=filmorasite&utm_medium=buypage,Global,Society,-1,10000,-1
2024-11-01 12:59:35.488679,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 13:52:11.947615,https://www.etsy.com/invites/sell/?iid=_3snqbvncv89dehdnrwoszrv7p6mwiiwztb337o03lw.,Global,Shopping,100,100000,-1
2024-11-01 13:56:34.101119,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:15:01.109322,https://www.wondershare.com/pro/allmytube-video-downloader.html?src=cj&cjevent=0147636f17b411ed833c4f1c0a180513,Global,Society,-1,10000,-1
2024-11-01 14:29:09.443921,https://www.wondershare.com/products-solutions/digital-creativity/?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:30:53.997826,https://www.wondershare.com/pro/allmytube-video-downloader.html?src=cj&cjevent=0147636f17b411ed833c4f1c0a180513,Global,Society,-1,10000,-1
2024-11-01 14:38:29.854719,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 14:38:40.801886,https://www.wondershare.com/?utm_source=sr.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 14:56:51.330499,https://www.wondershare.com/wonderworld.html,Global,Society,-1,1000,25
2024-11-01 15:02:26.714024,https://www.wondershare.com/shop/individuals.html?cmpscreencustom,Global,Society,-1,100000,50
2024-11-01 15:02:28.670537,https://www.wondershare.com/company/terms_conditions.html,Global,Society,-1,100000,50
2024-11-01 15:39:32.811187,https://thessaloniki.gr/%cf%80%cf%81%ce%bf%ce%ba%ce%ae%cf%81%cf%85%ce%be%ce%b7-%ce%b7%ce%bb%ce%b5%ce%ba%cf%84%cf%81%ce%bf%ce%bd%ce%b9%ce%ba%ce%bf%cf%8d-%ce%b1%ce%bd%ce%bf%ce%b9%ce%ba%cf%84%ce%bf%cf%8d-%ce%b4%ce%b9%ce%b1-67/,Global,News,-1,10000,-1
2024-11-01 15:39:34.075158,https://www.fa3.gr/nomothesia_2/nomoth_education/1566-85-me-tropopiisi_11.htm,Global,News,-1,10000,-1
2024-11-01 15:39:37.939015,https://thecaller.gr/oikonomia/teli-kykloforias-me-ton-mina-ti-allazei-stis-imerominies-kai-tin-akinisia-analytika-o-dekalogos-tis-aade/,Global,News,-1,10000,-1
2024-11-01 15:39:43.561794,https://thessaloniki.gr/business/?lang=en,Global,News,-1,10000,25
