synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:59:32.458959,http://shp.hu/hpc/web.php?a=kaszatamas&o=konyv_akcio,Global,Society,-1,100000,50
2024-11-01 08:00:05.644371,https://nytud.hu/esemeny/kutatok-ejszkaja-a-hun-ren-nyelvtudomanyi-kutatokozpontban,Global,News,-1,10000,-1
2024-11-01 08:00:15.553428,https://nytud.hu/kutatas,Global,News,-1,10000,25
2024-11-01 09:01:46.133888,https://nemeth-fa.hu/en/product/shading-technique/roller-shutters/,Global,Business,-1,10000,50
2024-11-01 09:30:51.000058,http://shp.hu/hpc/web.php?a=fatimahaz&o=kuratorium_syhs,Global,Society,-1,100000,50
2024-11-01 10:31:04.259611,https://nytud.hu/kiadvany/a-magyar-terminologiastrategia-kialakitasa-zold-konyv,Global,News,-1,10000,-1
2024-11-01 10:31:07.946721,https://nytud.hu/esemeny/a-beszed-valtozatossaganak-kerdesei-korszeru-vizsgalati-modszerei-es-kihivasai,Global,News,-1,10000,-1
2024-11-01 10:31:13.553249,https://nytud.hu/szolgaltatasok,Global,News,-1,10000,25
2024-11-01 10:31:43.386223,https://nytud.hu/kiadvanyok,Global,News,-1,10000,25
2024-11-01 10:54:27.646564,https://posta.hu,Global,Business,500,100000,1
2024-11-01 11:19:12.905708,https://mol.hu/hu/autozzon_velunk/aktualis_ajanlataink/toltse_fel_a_kamrajat_is/,Global,Society,-1,10000,-1
2024-11-01 11:31:33.453014,https://mol.hu/hu/kenoanyag-es-autoapolas/autosok/motorolajok/mol-botond-20w-50-tobbfokozatu-motorolaj,Global,Society,-1,10000,-1
2024-11-01 12:24:13.760809,https://www.zooplus.hu/magazin/kutya-magazin/kutya-egeszseg-es-gondozas/kutya-borgomba,Global,Shopping,100,100000,-1
2024-11-01 12:28:35.914313,https://mol.hu/hu/molrol/mediaszoba/8142-uj-olajmezot-fedezett-fel-a-mol-a-dunantulon,Global,Society,-1,10000,-1
2024-11-01 12:47:02.922516,https://mol.hu/hu/molrol/mediaszoba/6493-hatodik-alkalommal-adtak-at-a-media-a-tehetsegekert-dijakat,Global,Society,-1,10000,-1
2024-11-01 13:01:11.257115,https://mol.hu/hu/molrol/tarsadalmi-szerepvallalas/egyuttmukodeseink/,Global,Society,-1,10000,-1
2024-11-01 13:02:55.811020,https://mol.hu/hu/kenoanyag-es-autoapolas/autosok/motorolajok/mol-essence-5w-30-szintetikus-motorolaj,Global,Society,-1,10000,-1
2024-11-01 13:10:42.615080,https://mol.hu/hu/gardonyi-termekvezetek-repedes-okozta-talajszennyezes-es-hozza-kapcsolodo-karmentesites-gyakran-ismetelt-kerdesek,Global,Society,-1,10000,-1
2024-11-01 13:28:53.143693,https://mol.hu/zoldovezet,Global,Society,-1,1000,25
2024-11-01 13:34:28.527218,http://shp.hu/hpc/web.php?a=balazsagnes,Global,Society,-1,100000,50
2024-11-01 13:34:30.483731,http://shp.hu/hpc/web.php?a=kaszatamas&o=konyv_akcio,Global,Society,-1,100000,50
2024-11-01 14:11:34.624381,https://nytud.hu/kiadvany/a-magyar-terminologiastrategia-kialakitasa-zold-konyv,Global,News,-1,10000,-1
2024-11-01 14:11:35.888352,https://nytud.hu/esemeny/a-beszed-valtozatossaganak-kerdesei-korszeru-vizsgalati-modszerei-es-kihivasai,Global,News,-1,10000,-1
2024-11-01 14:11:45.374988,https://nytud.hu/en/page/about-us,Global,News,-1,10000,25
2024-11-01 14:11:51.325943,https://nytud.hu/kiadvanyok,Global,News,-1,10000,25
2024-11-01 14:13:42.229989,http://www.shp.hu/hpc/hirdetes_modul.php?a=victorysm,Global,Society,-1,100000,50
2024-11-01 14:17:10.922084,https://varmuzeum.hu,Local,Business,-1,-1,1
2024-11-01 15:02:18.007988,https://safaritravel.hu,Local,Business,-1,-1,1
2024-11-01 15:32:20.351386,http://shp.hu/hpc/web.php?a=balazsagnes,Global,Society,-1,100000,50
