synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:47:59.743697,https://www.scaler.com/topics/update-multiple-columns-in-sql/,Global,Society,-1,100000,50
2024-11-01 07:48:32.929109,https://www.webindia123.com/city/asp/popular_destinations.asp?city=delhi&url=/city/delhi/destinations/shopping/centralcottageindustriesemporium.htm,Global,News,-1,10000,-1
2024-11-01 07:48:36.594538,https://www.webindia123.com/user_interaction/asp/article/comment.asp?a_id=4996,Global,News,-1,10000,-1
2024-11-01 07:48:42.838166,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-01 08:50:13.418626,https://www.kgcas.com/latest-news/mega-job-fair-2023/,Global,Business,-1,10000,50
2024-11-01 09:19:18.284796,https://www.astrosage.com/rashifal/saptahik/vrishabha-rashifal.asp,Global,Society,-1,100000,50
2024-11-01 09:19:19.715009,https://www.soft112.com/latest-additions.html?categ=development,Global,Society,-1,100000,50
2024-11-01 10:09:30.727367,https://www.scaler.com/topics/update-multiple-columns-in-sql/,Global,Society,-1,100000,50
2024-11-01 10:19:31.544349,https://crickettimes.com/2024/10/statistical-comparison-of-fab-4-centuries-in-test-cricket-since-2021-ft-virat-kohli/,Global,News,-1,10000,-1
2024-11-01 10:19:35.231459,https://crickettimes.com/web-stories/test-matches-that-were-abandoned-without-a-single-ball-being-bowled/,Global,News,-1,10000,-1
2024-11-01 10:19:40.837987,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-01 10:42:54.931302,https://lumenlearning.com/,Global,Business,500,100000,1
2024-11-01 10:43:00.974347,https://chegg.com,Global,Business,500,100000,1
2024-11-01 11:07:40.190446,https://www.calculator.net/salary-calculator.html?camount=16.50&cunit=hourly&chours=40&cdays=5&cholidays=10&cvacation=15&x=calculate,Global,Society,-1,10000,-1
2024-11-01 11:19:47.609487,https://www.calculator.net/interest-rate-calculator.html?cloanamount=30000000&cloanterm=20&cmonthlypay=60416&x=85&y=21,Global,Society,-1,10000,-1
2024-11-01 11:20:00.737752,https://www.calculator.net/inflation-calculator.html?cstartingamount1=7&cinmonth1=13&cinyear1=1999&coutmonth1=7&coutyear1=2011&calctype=1&x=calculate,Global,Society,-1,10000,-1
2024-11-01 11:20:04.586611,https://www.calculator.net/ideal-weight-calculator.html?ctype=standard&cage=19&csex=m&cheightfeet=6&cheightinch=0&cheightmeter=180&printit=0&x=52&y=14,Global,Society,-1,10000,-1
2024-11-01 12:12:41.045547,https://www.etsy.com/invites/sell/?iid=_3snqbvncv89dehdnrwoszrv7p6mwiiwztb337o03lw.,Global,Shopping,100,100000,-1
2024-11-01 12:17:03.199051,https://www.zoominfo.com/newsroom/press-releases/zoominfo-has-been-named-to-the-2017-inc-5000-list-1503,Global,Society,-1,10000,-1
2024-11-01 12:35:30.207254,https://www.calculator.net/annuity-calculator.html?cstartingprinciple=100&cannualaddition=100&cmonthlyaddition=0&cadditionat1=end&cinterestrate=10&cyears=18&printit=0&x=78&y=21,Global,Society,-1,10000,-1
2024-11-01 12:49:38.541853,https://www.calculator.net/mortgage-calculator.html?chouseprice=3488000&cdownpayment=71800&cdownpaymentunit=d&cloanterm=25&cinterestrate=3.6&cpropertytaxes=9113.44&cpropertytaxesunit=d&chomeins=0&chomeinsunit=d&cothercost=0.00&cothercostunit=d,Global,Society,-1,10000,-1
2024-11-01 12:51:23.095758,https://www.calculator.net/salary-calculator.html?camount=16.50&cunit=hourly&chours=40&cdays=5&cholidays=10&cvacation=15&x=calculate,Global,Society,-1,10000,-1
2024-11-01 12:58:58.952651,https://www.calculator.net/annuity-calculator.html?cstartingprinciple=100&cannualaddition=100&cmonthlyaddition=0&cadditionat1=end&cinterestrate=10&cyears=18&printit=0&x=78&y=21,Global,Society,-1,10000,-1
2024-11-01 13:17:20.428431,https://www.howstuffworks.com/hsw-contact.htm,Global,Society,-1,1000,25
2024-11-01 13:22:55.811956,http://www.astrosage.com/2012/horoscope/health-horoscope-2012.asp,Global,Society,-1,100000,50
2024-11-01 13:22:57.768469,https://www.astrosage.com/horoscope/yearly-aquarius-horoscope.asp,Global,Society,-1,100000,50
2024-11-01 14:00:01.909119,https://www.webindia123.com/city/goa/destinations/churches/reismagoschurch.htm,Global,News,-1,10000,-1
2024-11-01 14:00:03.173090,https://www.webindia123.com/city/asp/popular_destinations.asp?city=delhi&url=/city/delhi/destinations/forts-museums/redfortmuseumofarmsandweapons.htm,Global,News,-1,10000,-1
2024-11-01 14:00:07.036947,https://crickettimes.com/2024/09/br-vs-tkr-cpl-2024-match-prediction-dream11-team-fantasy-tips-pitch-report-barbados-royals-vs-trinbago-knight-riders/,Global,News,-1,10000,-1
2024-11-01 14:00:12.659726,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-01 14:00:18.610681,https://www.webindia123.com/punjab/arts/index.htm,Global,News,-1,10000,25
2024-11-01 14:02:09.514727,https://www.scaler.com/topics/bootstrap-tutorial/bootstrap-loader/,Global,Society,-1,100000,50
2024-11-01 14:05:38.206822,https://yatramantra.com,Local,Business,-1,-1,1
2024-11-01 14:50:45.292726,https://coirmedia.com/,Local,Business,-1,-1,1
2024-11-01 15:20:47.636124,https://www.scaler.com/topics/course/sql-vs-nosql/video/188/,Global,Society,-1,100000,50
2024-11-02 11:09:57.561489,https://www.skymetweather.com/hi/forecast/weather/india/jammu%20and%20kashmir/anantnag,Global,News,-1,10000,-1
2024-11-02 11:10:00.623877,https://www.irclass.org/technical-circulars/rmi-named-entity-on-mlc-2006-financial-security-certificates/,Global,News,-1,10000,-1
2024-11-02 11:10:06.263563,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-02 11:10:13.383077,https://www.webindia123.com/punjab/arts/index.htm,Global,News,-1,10000,25
2024-11-02 11:10:28.879251,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-02 12:06:18.785391,https://www.soft112.com/latest-additions.html?page=2,Global,Society,-1,100000,50
2024-11-03 15:33:00.880614,https://crickettimes.com/2025/04/from-jessica-head-to-becky-cummins-meet-the-wives-of-sunrisers-hyderabad-srh-players-in-ipl-2025/,Global,News,-1,10000,-1
2024-11-03 15:33:05.659164,https://www.webindia123.com/history/medieval/delhisultanate/delhi%20sultanate4.htm,Global,News,-1,10000,-1
2024-11-03 15:33:11.673124,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-03 19:36:10.494979,https://www.soft112.com/latest-additions.html?page=2,Global,Society,-1,100000,50
2024-11-04 07:18:39.408160,https://www.webindia123.com/punjab/arts/index.htm,Global,News,-1,10000,25
2024-11-04 07:18:44.445832,https://www.webindia123.com/health/pain/neck.htm,Global,News,-1,10000,25
2024-11-04 07:25:36.611171,https://www.soft112.com/latest-additions.html?categ=home-and-hobby,Global,Society,-1,100000,50
2024-11-04 07:25:39.039171,https://www.soft112.com/dmca.html,Global,Society,-1,100000,25
2024-11-04 07:25:47.871156,https://soft112.com,Global,Society,-1,100000,1
