synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:35:48.232301,https://heritageireland.ie/magazine/?magtag=lough-corrib-logboats,Global,Society,-1,100000,50
2024-11-01 08:36:21.417713,https://www.limbicycleshop.com/product-page/blb-la-piovra-atk-fixie-single-speed-bike-green,Global,News,-1,10000,-1
2024-11-01 08:36:25.083142,https://www.limbicycleshop.com/product-page/gt-transeo-sport-tourney-city-bike-2021,Global,News,-1,10000,-1
2024-11-01 08:36:31.326770,https://www.2wheels.ie/forks-and-shocks,Global,News,-1,10000,25
2024-11-01 09:38:01.907230,https://www.michelin.com/publications?year=2014&page=7,Global,Business,-1,10000,50
2024-11-01 10:07:06.773400,https://www.thecalculatorsite.com/conversions/common/newton-meters-inch-pounds.php,Global,Society,-1,100000,50
2024-11-01 10:07:08.203613,https://heritageireland.ie/visit/places-to-visit/askeaton-castle/,Global,Society,-1,100000,50
2024-11-01 10:57:12.004688,https://www.thecalculatorsite.com/conversions/common/water-weight.php,Global,Society,-1,100000,50
2024-11-01 10:57:19.215971,https://heritageireland.ie/learn/newgrange-winter-solstice/,Global,Society,-1,100000,50
2024-11-01 11:07:20.032953,https://www.limbicycleshop.com/product-page/gt-aggressor-sport-29-tourney-mountain-bike-2021,Global,News,-1,10000,-1
2024-11-01 11:07:23.720063,https://www.limbicycleshop.com/product-page/cannondale-quick-cx-4-tourney-city-bike-2021,Global,News,-1,10000,-1
2024-11-01 11:07:29.326591,https://www.farnhamestate.ie/spring.html,Global,News,-1,10000,25
2024-11-01 11:07:59.159565,https://www.farnhamestate.ie/golf-resort.html,Global,News,-1,10000,25
2024-11-01 11:30:43.419906,https://harveynorman.ie,Global,Business,500,100000,1
2024-11-01 11:55:28.679050,https://www.howstuffworks.com/?fbclid=iwar0ofuhbzikb2apmptv6otddioccwewxdialasbdd_ledlq_mc4bf-rhpsi,Global,Society,-1,10000,-1
2024-11-01 12:07:36.098091,https://castlecomputers.ie/uncategorized/5-things-to-check-if-your-expericence-slow-pc-performance,Global,Society,-1,10000,-1
