synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:29:32.062191,https://www.bahai.org/action/family-life-children,Global,Society,-1,100000,50
2024-11-01 09:30:05.247603,https://www.store-dot.com/press/storedot-on-schedule-for-its-100inx-product-roadmap-capable-of-adding-100-miles-of-range-in-just-4-minutes?ref=evinfocus.com,Global,News,-1,10000,-1
2024-11-01 09:30:08.913032,https://www.store-dot.com/blog/securing-the-ev-revolution-the-road-to-safe-charging-stations,Global,News,-1,10000,-1
2024-11-01 09:30:15.156660,https://www.store-dot.com/events/move-2023-london,Global,News,-1,10000,25
2024-11-01 10:31:45.737120,https://www.danhotels.com/northhotels/maryswellnazarethhotel/rooms,Global,Business,-1,10000,50
2024-11-01 11:00:50.603290,https://www.varonis.com/blog/author/rsobers/page/4,Global,Society,-1,100000,50
2024-11-01 11:00:52.033503,https://www.varonis.com/blog/the-superpower-of-grc,Global,Society,-1,100000,50
2024-11-01 11:50:55.834578,https://www.varonis.com/solutions/policy-automation,Global,Society,-1,100000,50
2024-11-01 11:51:03.045861,https://www.varonis.com/blog/author/rsobers/page/4,Global,Society,-1,100000,50
2024-11-01 12:01:03.862843,https://www.store-dot.com/press/storedots-battery-technology-offers-ev-owners-a-winterproof-charging-experience,Global,News,-1,10000,-1
2024-11-01 12:01:07.549953,https://www.store-dot.com/press/storedot-on-schedule-for-its-100inx-product-roadmap-capable-of-adding-100-miles-of-range-in-just-4-minutes?ref=evinfocus.com,Global,News,-1,10000,-1
2024-11-01 12:01:13.156481,https://www.store-dot.com/events/move-2023-london,Global,News,-1,10000,25
2024-11-01 12:24:27.249796,https://cld.bz,Global,Business,500,100000,1
2024-11-01 12:49:12.508940,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 13:01:19.927981,https://www.wondershare.com/products-solutions/digital-creativity/?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 13:01:33.056246,https://www.wondershare.com/trustcenter/?utm_source=filmorasite&utm_medium=buypage,Global,Society,-1,10000,-1
2024-11-01 13:01:36.905105,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 13:54:13.364041,https://www.yaarhashirim.org/artists/%d7%9c%d7%95%d7%99%d7%9f-%d7%a7%d7%99%d7%a4%d7%a0%d7%99%d7%a1,Global,Shopping,100,100000,-1
2024-11-01 13:58:35.517545,https://www.website.com/website-builder-and-web-design/adding-a-thumbnail-gallery-to-your-website,Global,Society,-1,10000,-1
2024-11-01 14:17:02.525748,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:31:10.860347,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 14:32:55.414252,https://www.wondershare.com/trustcenter/?utm_source=filmorasite&utm_medium=buypage,Global,Society,-1,10000,-1
2024-11-01 14:40:31.271145,https://www.wondershare.com/pro/allmytube-video-downloader.html?src=cj&cjevent=0147636f17b411ed833c4f1c0a180513,Global,Society,-1,10000,-1
2024-11-01 14:40:42.218312,https://www.wondershare.com/products-solutions/digital-creativity/?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 14:58:52.746925,https://stswww.blogspot.com/2012/09/,Global,Society,-1,1000,25
2024-11-01 15:04:28.130450,https://www.bahai.org/fr/abdul-baha/quotations,Global,Society,-1,100000,50
2024-11-01 15:04:30.086963,https://www.bahai.org/action/family-life-children,Global,Society,-1,100000,50
2024-11-01 15:41:34.227613,https://www.store-dot.com/blog/cell-chemistry-r-d-productivity-improvement-with-agile-methodology,Global,News,-1,10000,-1
2024-11-01 15:41:35.491584,https://www.store-dot.com/blog/can-cell-to-pack-technology-rekindle-interest-in-the-lfp-battery,Global,News,-1,10000,-1
2024-11-01 15:41:44.978220,https://www.store-dot.com/blog/hello-new-brand,Global,News,-1,10000,25
2024-11-01 15:41:50.929175,https://www.store-dot.com/newsletters/issue-154,Global,News,-1,10000,25
2024-11-01 15:43:41.833221,https://www.varonis.com/blog/exchange-journaling-and-diagnostics-how-to,Global,Society,-1,100000,50
2024-11-01 15:47:10.525316,https://oogio.net,Local,Business,-1,-1,1
2024-11-01 16:32:17.611220,https://jrshotel.com/,Local,Business,-1,-1,1
2024-11-01 17:02:19.954618,https://www.varonis.com/platform/data-discovery-and-classification,Global,Society,-1,100000,50
2024-11-02 12:51:29.879983,https://www.store-dot.com/press/storedot-on-schedule-for-its-100inx-product-roadmap-capable-of-adding-100-miles-of-range-in-just-4-minutes?ref=evinfocus.com,Global,News,-1,10000,-1
2024-11-02 12:51:32.942371,https://www.store-dot.com/press/storedots-battery-technology-offers-ev-owners-a-winterproof-charging-experience,Global,News,-1,10000,-1
2024-11-02 12:51:38.582057,https://www.store-dot.com/newsletters/issue-219,Global,News,-1,10000,25
2024-11-02 12:51:45.701571,https://www.store-dot.com/events/move-2023-london,Global,News,-1,10000,25
2024-11-02 13:47:51.103885,https://www.varonis.com/blog/the-superpower-of-grc,Global,Society,-1,100000,50
2024-11-03 17:14:33.199108,https://www.store-dot.com/press/storedot-wins-kumyang-as-partner-for-battery-production,Global,News,-1,10000,-1
2024-11-03 17:14:37.977658,https://www.store-dot.com/press/extreme-fast-charging-battery-technology-is-as-important-as-infrastructure-roll-out-to-achieve-mass-adoption-of-electric-vehicles-says-storedot,Global,News,-1,10000,-1
2024-11-03 17:14:43.991618,https://www.store-dot.com/terms-conditions,Global,News,-1,10000,25
2024-11-03 17:15:12.703171,https://www.store-dot.com/events/move-2023-london,Global,News,-1,10000,25
2024-11-03 21:17:42.813473,https://www.varonis.com/blog/author/rsobers/page/4,Global,Society,-1,100000,50
2024-11-04 09:00:11.726654,https://www.store-dot.com/blog/hello-new-brand,Global,News,-1,10000,25
2024-11-04 09:00:16.764326,https://www.store-dot.com/newsletters/issue-219,Global,News,-1,10000,25
2024-11-04 09:00:27.094519,https://www.store-dot.com/newsletters/issue-154,Global,News,-1,10000,25
2024-11-04 09:07:08.929665,https://www.varonis.com/solutions/policy-automation,Global,Society,-1,100000,50
2024-11-04 09:07:11.357665,https://www.varonis.com/coverage/saas,Global,Society,-1,100000,25
2024-11-04 09:07:20.189650,https://varonis.com,Global,Society,-1,100000,1
2024-11-04 09:07:21.780619,https://www.varonis.com/blog/exchange-journaling-and-diagnostics-how-to,Global,Society,-1,100000,50
2024-11-04 09:07:25.034719,https://www.bahai.org/national-communities/andaman-and-nicobar-islands,Global,Society,-1,100000,50
2024-11-04 09:07:33.903052,https://cld.bz,Global,Business,500,100000,1
