synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:27:59.887648,https://www.chatwork.com/g/jinjitech_tool,Global,Society,-1,100000,50
2024-11-01 09:28:33.073060,https://www.jfa.jp/match_47fa/102_tohoku/2025_ladies_league/top/thfa/star.html,Global,News,-1,10000,-1
2024-11-01 09:28:36.738489,https://www.jfa.jp/match_47fa/102_tohoku/2025_university/div2_north/thfa/star.html,Global,News,-1,10000,-1
2024-11-01 09:28:42.982117,https://www.gltjp.com/en/article/item/20127/,Global,News,-1,10000,25
2024-11-01 10:30:13.562577,https://cocowalk.jp/sitemap-pt-page-2020-09.html,Global,Business,-1,10000,50
2024-11-01 10:59:18.428747,https://www.chatwork.com/world_odar,Global,Society,-1,100000,50
2024-11-01 10:59:19.858960,https://www.chatwork.com/2idy19veojwgo,Global,Society,-1,100000,50
2024-11-01 11:49:23.660035,https://chatwork.com,Global,Society,-1,100000,50
2024-11-01 11:49:30.871318,https://www.chatwork.com/g/jinjitech_tool,Global,Society,-1,100000,50
2024-11-01 11:59:31.688300,http://www.jfa.jp/match/japan_u12_football_championship_2015/standings/nara/,Global,News,-1,10000,-1
2024-11-01 11:59:40.981938,https://www.gltjp.com/en/article/item/20631/,Global,News,-1,10000,25
2024-11-01 12:00:10.814912,https://www.gltjp.com/en/article/item/20127/,Global,News,-1,10000,25
2024-11-01 12:22:55.075253,https://yamap.com,Global,Business,500,100000,1
2024-11-01 12:47:40.334397,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1705445263&preview=0,Global,Society,-1,10000,-1
2024-11-01 13:00:00.881703,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1339661859&preview=0,Global,Society,-1,10000,-1
2024-11-01 13:00:04.730562,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1705445263&preview=0,Global,Society,-1,10000,-1
2024-11-01 13:52:41.189498,https://www.exblog.jp/genre/education/history?p=education&c=history&page=5,Global,Shopping,100,100000,-1
2024-11-01 13:57:03.343002,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1339661859&preview=0,Global,Society,-1,10000,-1
2024-11-01 14:15:30.351205,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1705445263&preview=0,Global,Society,-1,10000,-1
2024-11-01 14:31:23.239709,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1339661859&preview=0,Global,Society,-1,10000,-1
2024-11-01 14:38:59.096602,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1705445263&preview=0,Global,Society,-1,10000,-1
2024-11-01 14:39:10.043769,https://www.chatwork.com/gateway/download_file.php?bin=1&file_id=1339661859&preview=0,Global,Society,-1,10000,-1
2024-11-01 14:57:20.572382,https://www.ywcastpaul.org/fitness/groupfitness/,Global,Society,-1,1000,25
2024-11-01 15:02:55.955907,https://www.chatwork.com/g/e5f75fzrpusdgs,Global,Society,-1,100000,50
2024-11-01 15:02:57.912420,https://www.chatwork.com/g/e9lfyhl10qg2v7,Global,Society,-1,100000,50
2024-11-01 15:40:02.053070,https://www.jfa.jp/national_team/u23_2020/20200327/youth_programme.html,Global,News,-1,10000,-1
2024-11-01 15:40:03.317041,https://www.jfa.jp/match_47fa/102_tohoku/2025_university/div2_north/thfa/star.html,Global,News,-1,10000,-1
2024-11-01 15:40:07.180898,https://www.jfa.jp/match_47fa/102_tohoku/2025_ladies_league/top/thfa/star.html,Global,News,-1,10000,-1
2024-11-01 15:40:12.803677,https://www.gltjp.com/en/article/item/20631/,Global,News,-1,10000,25
2024-11-01 15:40:18.754632,https://www.gltjp.com/en/article/item/20932/,Global,News,-1,10000,25
2024-11-01 15:42:09.658678,https://www.chatwork.com/3v22dly7n3okc,Global,Society,-1,100000,50
2024-11-01 15:45:38.350773,https://higashi-kochi.jp,Local,Business,-1,-1,1
