synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:23:48.745725,https://www.wondershare.com/guide/streaming-audio-recorder.html,Global,Society,-1,100000,50
2024-11-01 07:24:21.931137,https://enudiena.lv/par-enu-dienu/veiksmes-stasti/enu-diena-sizets-tv3-zinas,Global,News,-1,10000,-1
2024-11-01 07:24:25.596566,https://enudiena.lv/vakances?profession=&organization=3444&region=&search=&p=&sort=default,Global,News,-1,10000,-1
2024-11-01 07:24:31.840194,https://enudiena.lv/apskatit/enu-devejs/86,Global,News,-1,10000,25
2024-11-01 08:26:02.420654,https://www.zgb.lv/portfolio/bri%c4%81na-ielas-m%c4%81ja,Global,Business,-1,10000,50
2024-11-01 08:55:07.286824,https://ergli.lv/public/lat/aktualitates/1746/,Global,Society,-1,100000,50
2024-11-01 08:55:08.717037,https://www.nica.lv/lv/nicas-kulturas-centrs-1/,Global,Society,-1,100000,50
2024-11-01 09:45:12.518112,https://www.cvk.lv/lv/jaunumi?category%5b115%5d=115,Global,Society,-1,100000,50
2024-11-01 09:45:19.729395,https://www.nica.lv/lv/senioru-vokalais-ansamblis-sentiments/,Global,Society,-1,100000,50
2024-11-01 09:55:20.546377,https://enudiena.lv/vakances?profession=&organization=&region=160&search=&p=&sort=default,Global,News,-1,10000,-1
2024-11-01 09:55:24.233487,https://enudiena.lv/vakances?profession=&organization=&region=159&search=&p=&sort=default,Global,News,-1,10000,-1
2024-11-01 09:55:29.840015,https://enudiena.lv/vakances,Global,News,-1,10000,25
2024-11-01 09:55:59.672989,https://enudiena.lv/apskatit/enu-devejs/81,Global,News,-1,10000,25
2024-11-01 10:18:43.933330,https://menessaptieka.lv,Global,Business,500,100000,1
2024-11-01 10:18:49.976375,https://arsts.lv,Global,Business,500,100000,1
2024-11-01 10:43:29.192474,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2zsawdodhmtznjvbs9wz2evy2hlyxatzmxpz2h0cy1mcm9tlxbhz2utywlycg9ydc5odg1spw==&uuid=4d99adc0-307e-11f0-8bb4-944207f6886d&vid=,Global,Society,-1,10000,-1
2024-11-01 10:55:36.611515,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2zsawdodhmtdg8vbwevy2hlyxatzmxpz2h0cy10by1tb3jvy2nvlmh0bww/&uuid=ed3b3411-377a-11f0-bddf-7b7cece9bc80&vid=,Global,Society,-1,10000,-1
2024-11-01 10:55:49.739780,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2jll2zylwzyl2v1ci90cmfuc3bvcnqvzmxpz2h0cy1mcm9tl0jfpw==&uuid=fbfa5230-3778-11f0-b27c-7b7cece9bc80&vid=,Global,Society,-1,10000,-1
2024-11-01 10:55:53.588639,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2zsawdodhmtdg8vcguvy2hlyxatzmxpz2h0cy10by1jyw1lcm9vbi5odg1spw==&uuid=7d53fa9c-38a5-11f0-bc70-35e2e99d5e09&vid=,Global,Society,-1,10000,-1
2024-11-01 11:48:30.047575,http://www.1182.lv/323608/scandinavian-airlines-system-denmark-norway-sweden-arvalstu-komersanta-parstavnieciba,Global,Shopping,100,100000,-1
2024-11-01 11:52:52.201079,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2zsawdodhmtdg8vcguvy2hlyxatzmxpz2h0cy10by1jyw1lcm9vbi5odg1spw==&uuid=7d53fa9c-38a5-11f0-bc70-35e2e99d5e09&vid=,Global,Society,-1,10000,-1
2024-11-01 12:11:19.209282,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2fpcnbvcnrzl2xkes9kzxjyes1haxjwb3j0lmh0bww/&uuid=36d84ae7-3600-11f0-ad10-e713f9332a02&vid=,Global,Society,-1,10000,-1
2024-11-01 12:25:27.543881,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2rlc3rpbmf0aw9ucy9jaxr5lwrlc3rpbmf0aw9ucy8ynzu0ode1ms91bml0zwqtc3rhdgvzl2fzcgvupw==&uuid=20fa1cb3-3313-11f0-9b77-65f3f1584d82&vid=,Global,Society,-1,10000,-1
2024-11-01 12:27:12.097786,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2nhcmhpcmu/zhjvcf9vzmy9tufsuizwawnrx3vwpu1buli=&uuid=3dd8a1d9-377a-11f0-bb64-c00512831a30&vid=,Global,Society,-1,10000,-1
2024-11-01 12:34:47.954679,https://www.wondershare.com/trustcenter/?utm_source=filmorasite&utm_medium=buypage,Global,Society,-1,10000,-1
2024-11-01 12:34:58.901846,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 12:53:09.430459,https://www.novatours.lv/ru/search/eslkumaras,Global,Society,-1,1000,25
2024-11-01 12:58:44.813984,https://www.limbazunovads.lv/lv/informacijas-pieprasisana,Global,Society,-1,100000,50
2024-11-01 12:58:46.770497,https://alsunga.lv/category/aktualitates/page/199/,Global,Society,-1,100000,50
2024-11-01 13:35:50.911147,https://enudiena.lv/vakances?profession=&organization=1807&region=&search=&p=1&sort=default,Global,News,-1,10000,-1
2024-11-01 13:35:52.175118,https://enudiena.lv/vakances?fbclid=iwar1bxhqmby57ijlsmbkkpd5nrsfrb1aruoyy7ka2f8zblane-nuhtlpz61w,Global,News,-1,10000,-1
2024-11-01 13:35:56.038975,https://enudiena.lv/vakances?region=&profession=&field=&organization=1040&search_text=,Global,News,-1,10000,-1
2024-11-01 13:36:01.661754,https://enudiena.lv/ed/piedavajumi,Global,News,-1,10000,25
2024-11-01 13:36:07.612709,https://enudiena.lv/apskatit/enu-devejs/86,Global,News,-1,10000,25
2024-11-01 13:37:58.516755,https://www.kraslava.lv/lv/izglitiba/kraslavas-novada-sporta-skola,Global,Society,-1,100000,50
2024-11-01 13:41:27.208850,https://narvesen.lv,Local,Business,-1,-1,1
2024-11-01 14:26:34.294754,https://citro.lv/,Local,Business,-1,-1,1
2024-11-01 14:56:36.638152,https://ergli.lv/public/lat/aktualitates/1901/,Global,Society,-1,100000,50
2024-11-02 10:45:46.563517,https://enudiena.lv/vakances?profession=&organization=&region=159&search=&p=&sort=default,Global,News,-1,10000,-1
2024-11-02 10:45:49.625905,https://enudiena.lv/par-enu-dienu/veiksmes-stasti/enu-diena-sizets-tv3-zinas,Global,News,-1,10000,-1
2024-11-02 10:45:55.265591,https://enudiena.lv/vakances,Global,News,-1,10000,25
2024-11-02 10:46:02.385105,https://enudiena.lv/apskatit/enu-devejs/81,Global,News,-1,10000,25
2024-11-02 10:46:17.881279,https://enudiena.lv/ed/piedavajumi,Global,News,-1,10000,25
2024-11-02 11:42:07.787419,https://www.wondershare.com/alternative-tools-to-capcut.html,Global,Society,-1,100000,50
2024-11-03 15:08:49.882642,https://enudiena.lv/vakances?profession=&organization=3444&region=&search=&p=&sort=default,Global,News,-1,10000,-1
2024-11-03 15:08:54.661192,https://enudiena.lv/vakances?profession=&organization=&region=159&search=&p=&sort=default,Global,News,-1,10000,-1
2024-11-03 15:09:00.675152,https://enudiena.lv/apskatit/enu-devejs/81,Global,News,-1,10000,25
2024-11-03 19:11:59.497007,https://www.xsrotallietas.lv/product/melissa-doug-geometriska-piramida-10567,Global,Society,-1,100000,50
2024-11-04 06:54:28.410188,https://enudiena.lv/apskatit/enu-devejs/81,Global,News,-1,10000,25
2024-11-04 06:54:33.447860,https://enudiena.lv/ed/piedavajumi,Global,News,-1,10000,25
2024-11-04 07:01:25.613199,https://ergli.lv/public/lat/pieklustamiba/,Global,Society,-1,100000,50
2024-11-04 07:01:28.041199,https://www.novatours.lv/search/tramrdlmar,Global,Society,-1,100000,25
2024-11-04 07:01:36.873184,https://limbazunovads.lv,Global,Society,-1,100000,1
2024-11-04 07:01:38.464153,https://alsunga.lv/pasvaldiba/sikdatnu-politika/,Global,Society,-1,100000,50
2024-11-04 07:01:41.718253,https://www.limbazunovads.lv/lv/jaunumi?category%5b384%5d=384,Global,Society,-1,100000,50
2024-11-04 07:01:50.586586,https://celojumubode.lv,Global,Business,500,100000,1
2024-11-04 07:02:07.746300,https://www.menessaptieka.lv/raksti-jaunumi/raksti/mates-diena-meness-aptieka-dava-dietas-arstes-lolitas-neimanes-padomu-celvedi-par-joda-nozimi-uztura-180,Global,Business,500,100000,-1
2024-11-04 07:02:09.142249,https://www.saldus.lv/pasvaldiba/dokumenti/posts/lokalplanojums-bijusas-darzkopibas-sabiedribas-teritorijai-aronija-zirnu-pagasta-un-saldus-pagasta-saldus-novada/,Global,Society,10,10,-1
2024-11-04 07:03:22.014493,https://www.limbazunovads.lv/lv/notikums/pavasara-balle-0?date=0,Global,Society,-1,100000,50
2024-11-04 07:53:29.539689,https://alsunga.lv/alsungas-pagasts/pasakumi-alsunga/,Global,Society,-1,100000,50
2024-11-04 07:53:32.013249,https://alsunga.lv/suiti-macas-no-nicas-kulturtelpas/,Global,Society,-1,100000,50
2024-11-04 07:53:38.882622,https://vc4.lv,Global,Business,500,100000,1
2024-11-04 07:53:43.687471,https://www.liveriga.com/en/visit/what-to-see/museums-and-galleries/memorial-sites/jewish-memorial-at-rumbula,Global,Business,500,100000,-1
2024-11-04 07:57:39.805590,https://www.nica.lv/lv/senioru-vokalais-ansamblis-sentiments/,Global,Society,-1,100000,50
2024-11-04 07:58:48.625343,https://twitch.tv,Global,Business,500,100000,1
2024-11-04 07:58:51.975370,https://www.menessaptieka.lv/raksti-jaunumi/jaunumi/paralimpiesi-sanem-iedvesmojosus-sveicienus-pirms-startiem-tokija-351,Global,Business,500,100000,-1
2024-11-04 07:58:52.359465,https://saimnieks.lv/raksts/izbuveti-aizsprosti-kreicu-purva-hidrologiska-rezima-atveselosanai,Global,Business,500,100000,-1
2024-11-04 07:58:54.225933,https://www.swedbank.lv/private/credit/loans/home?campaigncode=apini_3&language=lat,Global,Business,500,100000,-1
2024-11-04 07:58:56.057906,https://www.saimnieks.lv/raksts/sosnovska-latvana-izplatibas-ierobezosana-pasvaldibas,Global,Business,500,100000,-1
2024-11-04 07:58:56.601626,https://www.menessaptieka.lv/raksti-jaunumi/jaunumi/paralimpiesi-sanem-iedvesmojosus-sveicienus-pirms-startiem-tokija-351,Global,Business,500,100000,-1
2024-11-04 07:58:56.819034,https://www.celojumubode.lv/lv/resorts/al-fujairah,Global,Business,500,100000,25
2024-11-04 07:58:58.910697,https://www.twitch.tv/p/fi-fi/legal/community-guidelines/harassment/20210122/,Global,Business,500,100000,-1
2024-11-04 07:58:59.258724,https://talakizglitiba.lv/programmas?theme=21&field_programma_aktuala_target_id=37,Global,Business,500,100000,-1
2024-11-04 07:59:00.003664,https://vc4.lv/pakalpojumi/diagnostika/attelu-diagnostika-rtg-dt-mr-uc/kermena-masas-un-strukturas-analize-whole-body,Global,Business,500,100000,-1
2024-11-04 07:59:01.843990,https://www.seb.lv/privatpersonam/uzkrajumi-un-ieguldijumi/pensija,Global,Business,500,100000,50
2024-11-04 07:59:51.314157,https://www.seb.lv/eakademija/izaugsmei?hash=biznesa%20izaugsme,Global,Business,500,100000,50
2024-11-04 08:16:05.695976,http://www.1182.lv/379283/latvijas-juras-medicinas-centrs-as-vecmilgravja-primaras-veselibas-aprupes-centrs,Global,Shopping,100,100000,-1
2024-11-04 08:16:19.945256,http://www.1182.lv/353869/rb-nami-sia,Global,Shopping,100,100000,25
2024-11-04 08:16:27.987839,http://www.1182.lv/325361/ludzas-novada-bernu-nams-patversme,Global,Shopping,100,100000,50
2024-11-04 08:16:34.499003,http://www.1182.lv/353869/rb-nami-sia,Global,Shopping,100,100000,25
2024-11-04 08:16:37.060700,http://www.1182.lv/556377/skandi-motors-sia-autosalons,Global,Shopping,100,100000,50
2024-11-04 08:16:38.777103,http://www.1182.lv/562381/vides-aizsardzibas-klubs-biedriba,Global,Shopping,100,100000,50
2024-11-04 08:16:53.798423,http://www.1182.lv/379283/latvijas-juras-medicinas-centrs-as-vecmilgravja-primaras-veselibas-aprupes-centrs,Global,Shopping,100,100000,-1
2024-11-04 08:17:24.818449,http://www.1182.lv/323608/scandinavian-airlines-system-denmark-norway-sweden-arvalstu-komersanta-parstavnieciba,Global,Shopping,100,100000,-1
2024-11-04 08:18:06.478612,http://www.1182.lv/592901/wasaby-neo-sia-wasaby-susi-bars,Global,Shopping,100,100000,50
2024-11-04 08:18:10.050689,http://www.1182.lv/nozaru-katalogs/nozare/gramatvedibas-pakalpojumi-konsultacijas,Global,Shopping,100,100000,-1
2024-11-04 08:20:49.401360,http://www.1182.lv/search?q=valsts%20aizsardz%c4%abba,Global,Shopping,100,100000,50
2024-11-04 08:22:20.652689,http://www.1182.lv/nozaru-katalogs/nozare/gramatvedibas-pakalpojumi-konsultacijas,Global,Shopping,100,100000,-1
2024-11-04 08:22:31.842226,http://www.1182.lv/323608/scandinavian-airlines-system-denmark-norway-sweden-arvalstu-komersanta-parstavnieciba,Global,Shopping,100,100000,-1
2024-11-04 08:23:08.906043,http://www.1182.lv/556672/transocean-latvia-sia,Global,Shopping,100,100000,50
2024-11-04 08:23:11.555471,http://www.1182.lv/325361/ludzas-novada-bernu-nams-patversme,Global,Shopping,100,100000,50
2024-11-04 08:23:14.696935,http://www.1182.lv/nozaru-katalogs/nozare/stadu-tirdznieciba,Global,Shopping,100,100000,50
2024-11-04 08:23:18.440581,http://www.1182.lv/592901/wasaby-neo-sia-wasaby-susi-bars,Global,Shopping,100,100000,50
2024-11-04 08:41:20.058360,https://www.takealot.com/fashion,Global,Generic,-1,100000,25
2024-11-04 08:41:41.449070,https://www.takealot.com/deli-stationery,Global,Generic,-1,100000,25
2024-11-04 08:42:08.041469,https://www.takealot.com/promotion/funkostore,Global,Generic,-1,100000,25
2024-11-04 08:43:01.379840,https://www.takealot.com/deals--promotions?srsltid=afmbooowbmnikmslahlgrnnvno-vp8z_pirn_ghtufxad6vcjxjszbt8,Global,Generic,-1,100000,-1
