synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:47:44.185607,https://www.sitew.com/conseils-experts-en-creation-de-site?page=2,Global,Society,-1,100000,50
2024-11-01 08:48:17.371019,https://media7.ma/de-la-comptabilite-au-stand-up-amine-radi-lhumoriste-a-800-millions-de-vues/,Global,News,-1,10000,-1
2024-11-01 08:48:27.280076,https://media7.ma/tag/saoudite/,Global,News,-1,10000,25
2024-11-01 09:49:57.860536,https://www.royalairmaroc.com/se-en/general-terms-and-conditions,Global,Business,-1,10000,50
2024-11-01 10:19:02.726706,https://www.sitew.com/comment-faire-un-site?page=2,Global,Society,-1,100000,50
2024-11-01 10:19:04.156919,https://www.sitew.com/comment-optimiser-son-referencement/balises-html,Global,Society,-1,100000,50
2024-11-01 11:09:15.169277,https://www.aufeminin.com/debats-de-societes/droit-du-travail-tp19747.html,Global,Society,-1,100000,50
2024-11-01 11:19:15.986259,https://media7.ma/de-la-comptabilite-au-stand-up-amine-radi-lhumoriste-a-800-millions-de-vues/,Global,News,-1,10000,-1
2024-11-01 11:19:25.279897,https://media7.ma/tag/importes/,Global,News,-1,10000,25
2024-11-01 11:42:39.373212,https://marocannuaire.org,Global,Business,500,100000,1
2024-11-01 11:42:45.416257,https://dreamjob.ma,Global,Business,500,100000,1
2024-11-01 12:07:24.632356,http://www.orient-occident.org/english-courses-at-the-fondation-orient-occident-of-rabat/,Global,Society,-1,10000,-1
2024-11-01 12:19:32.051397,https://www.orient-occident.org/yasmina-filalis-intervention-at-the-forum-vi-in-beyrouth-migration-and-identity-in-the-mediterranean/?lang=fr,Global,Society,-1,10000,-1
2024-11-01 12:19:45.179662,https://www.orient-occident.org/launch-of-the-15th-edition-of-the-festival-rabat-africa/,Global,Society,-1,10000,-1
2024-11-01 12:19:49.028521,https://www.orient-occident.org/we-wait-for-you-at-dub-station-on-the-28-september/,Global,Society,-1,10000,-1
2024-11-01 13:12:25.487457,https://www.etsy.com/invites/sell/?iid=tvwufzva-skqkdjogk2kwyars40gqwwx4l0l7mjrfaa.,Global,Shopping,100,100000,-1
2024-11-01 13:16:47.640961,https://www.orient-occident.org/we-wait-for-you-at-dub-station-on-the-28-september/,Global,Society,-1,10000,-1
2024-11-01 13:35:14.649164,http://www.orient-occident.org/english-courses-at-the-fondation-orient-occident-of-rabat/,Global,Society,-1,10000,-1
2024-11-01 13:49:22.983763,https://www.orient-occident.org/intercultural-village-at-the-fondation-orient-occident-of-rabat/,Global,Society,-1,10000,-1
2024-11-01 13:51:07.537668,http://www.orient-occident.org/english-courses-at-the-fondation-orient-occident-of-rabat/,Global,Society,-1,10000,-1
2024-11-01 13:58:43.394561,https://www.orient-occident.org/after-school-support-courses-at-the-fondation-orient-occident-of-rabat/?lang=fr,Global,Society,-1,10000,-1
2024-11-01 13:58:54.341728,https://www.orient-occident.org/photogallery-from-the-workshop-of-artisanal-art-organized-by-the-association-hiba-fenn/?lang=fr,Global,Society,-1,10000,-1
2024-11-01 14:17:04.870341,https://www.genious.net/en/company,Global,Society,-1,1000,25
2024-11-01 14:22:40.253866,https://www.sitew.com/intelligence-artificielle/ia-et-webdesign,Global,Society,-1,100000,50
2024-11-01 14:22:42.210379,https://www.sitew.com/comment-faire-un-site?page=2,Global,Society,-1,100000,50
2024-11-01 14:59:46.351029,https://media7.ma/de-la-comptabilite-au-stand-up-amine-radi-lhumoriste-a-800-millions-de-vues/,Global,News,-1,10000,-1
2024-11-01 14:59:57.101636,https://media7.ma/tag/commerce/,Global,News,-1,10000,25
