synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:54:22.023635,https://www.denhaag.nl/en/safety/camera-surveillance/,Global,Society,-1,100000,50
2024-11-01 07:54:55.209047,https://vanderkrogt.net/statues/artist_kaart.php?webpage=st&id=noble.matthew,Global,News,-1,10000,-1
2024-11-01 07:54:58.874476,https://vanderkrogt.net/statues/artist.php?id=dreysse.wolfgang&object=a&page=1,Global,News,-1,10000,-1
2024-11-01 07:55:05.118104,http://erasmussport.nl/en/personal-training/,Global,News,-1,10000,25
2024-11-01 08:56:35.698564,https://kleinparamaribo.nl/menuitems/plastic-bestekset/,Global,Business,-1,10000,50
2024-11-01 09:25:40.564734,https://www.delft.nl/paspoort-identiteitskaart-verloren,Global,Society,-1,100000,50
2024-11-01 09:25:41.994947,https://www.denhaag.nl/nl/gemeenteraad/de-gemeenteraad/,Global,Society,-1,100000,50
2024-11-01 10:15:45.796022,https://www.delft.nl/circulaire-prijswinnaars,Global,Society,-1,100000,50
2024-11-01 10:15:53.007305,https://www.denhaag.nl/en/parking/purchase-extra-parking-credit/,Global,Society,-1,100000,50
2024-11-01 10:25:53.824287,https://vanderkrogt.net/statues/artist.php?id=dreysse.wolfgang&object=a&page=1,Global,News,-1,10000,-1
2024-11-01 10:26:03.117925,http://erasmussport.nl/en/erasmus-sport-cafe/,Global,News,-1,10000,25
2024-11-01 10:26:32.950899,http://erasmussport.nl/en/verenigingen/,Global,News,-1,10000,25
2024-11-01 10:49:17.211240,https://9292.nl,Global,Business,500,100000,1
2024-11-01 10:49:23.254285,https://9292.nl/,Global,Business,500,100000,1
2024-11-01 11:14:02.470384,https://www.eindhoven.nl/stad-en-wonen/stad/onderscheidingen/koninklijke-onderscheidingen,Global,Society,-1,10000,-1
2024-11-01 11:26:09.889425,https://sintjabik.nl/actueel/leen-een-fries-fasil-over-zijn-passie-voor-muziek/,Global,Society,-1,10000,-1
2024-11-01 11:26:23.017690,https://www.aalsmeer.nl/uittreksel-uit-basisregistratie-personen-brp-aanvragen,Global,Society,-1,10000,-1
2024-11-01 11:26:26.866549,https://www.oegstgeest.nl/inwoners/wonen-verbouwen-en-leefomgeving/natuur-en-landschap/duurzame-inrichting-tuinen,Global,Society,-1,10000,-1
2024-11-01 12:19:03.325485,https://www.ah.nl/inspiratie/leefstijl/zwangerschap-en-kind/zwanger-worden/leefstijltips-zwangere,Global,Shopping,100,100000,-1
2024-11-01 12:23:25.478989,https://www.denhaag.nl/nl/werk-bijstand-en-uitkering/maatregel-op-bijstandsuitkering-opnieuw-laten-beoordelen/,Global,Society,-1,10000,-1
2024-11-01 12:41:52.487192,https://www.alkmaar.nl/actueel/bevrijdingsdag-5-mei-vier-80-jaar-vrijheid-in-alkmaar/,Global,Society,-1,10000,-1
2024-11-01 12:56:00.821791,https://www.eindhoven.nl/stad-en-wonen/uittreksels-en-documenten/paspoort-en-identiteitskaart,Global,Society,-1,10000,-1
2024-11-01 12:57:45.375696,https://sintjabik.nl/agenda/26-en-27-september-silt-fest-verzorgd-door-stichting-jacpop/,Global,Society,-1,10000,-1
2024-11-01 13:05:21.232589,https://www.teylingen.nl/nieuws/nieuwsbericht/artikel/kindergemeenteraad-zoekt-projecten-1,Global,Society,-1,10000,-1
2024-11-01 13:05:32.179756,https://www.teylingen.nl/inwoners-en-ondernemers/bouwen-wonen-en-mobiliteit/parkeerterreinen-en-parkeerschijfzones,Global,Society,-1,10000,-1
2024-11-01 13:23:42.708369,https://www.rijswijk.nl/rijswijk-schakelt-over,Global,Society,-1,1000,25
2024-11-01 13:29:18.091894,https://www.delft.nl/en/immigration-procedure,Global,Society,-1,100000,50
2024-11-01 13:29:20.048407,https://www.delft.nl/fiets-stallen-station-delft,Global,Society,-1,100000,50
2024-11-01 14:06:24.189057,https://vanderkrogt.net/statues/artist_kaart.php?webpage=st&id=noble.matthew,Global,News,-1,10000,-1
2024-11-01 14:06:25.453028,https://www.vanderkrogt.net/statues/regio.php?webpage=co&land=us&regio=pa&page=1,Global,News,-1,10000,-1
2024-11-01 14:06:34.939664,https://erasmussport.nl/en/,Global,News,-1,10000,25
2024-11-01 14:06:40.890619,https://erasmussport.nl/en/contact/,Global,News,-1,10000,25
2024-11-01 14:08:31.794665,https://www.delft.nl/duurzame-toekomst-voor-de-prelude,Global,Society,-1,100000,50
2024-11-01 14:12:00.486760,https://www.city-hotel.nl/,Local,Business,-1,-1,1
2024-11-01 14:57:07.572664,https://museum-ommen.nl,Local,Business,-1,-1,1
2024-11-01 15:27:09.916062,https://www.denhaag.nl/nl/verkeer-en-vervoer/rotterdamsebaan/,Global,Society,-1,100000,50
2024-11-02 11:16:19.841427,https://vanderkrogt.net/statues/artist.php?id=dreysse.wolfgang&object=a&page=1,Global,News,-1,10000,-1
2024-11-02 11:16:22.903815,https://www.vanderkrogt.net/statues/regio.php?webpage=co&land=us&regio=pa&page=1,Global,News,-1,10000,-1
2024-11-02 11:16:28.543501,https://erasmussport.nl/en/contact/,Global,News,-1,10000,25
2024-11-02 11:16:35.663015,http://erasmussport.nl/en/openingstijden/,Global,News,-1,10000,25
2024-11-02 11:16:51.159189,http://erasmussport.nl/en/erasmus-sport-cafe/,Global,News,-1,10000,25
2024-11-02 12:12:41.065329,https://www.denhaag.nl/en/parking/purchase-extra-parking-credit/,Global,Society,-1,100000,50
2024-11-03 15:39:23.160552,https://vanderkrogt.net/statues/artist.php?id=dreysse.wolfgang&object=a&page=1,Global,News,-1,10000,-1
2024-11-03 15:39:27.939102,https://www.vanderkrogt.net/statues/regio.php?webpage=co&land=us&regio=pa&page=1,Global,News,-1,10000,-1
2024-11-03 15:39:33.953062,http://erasmussport.nl/en/contact/,Global,News,-1,10000,25
2024-11-03 15:40:02.664615,http://erasmussport.nl/en/personal-training/,Global,News,-1,10000,25
2024-11-03 19:42:32.774917,https://www.delft.nl/digitaal-gewaarmerkte-documenten,Global,Society,-1,100000,50
2024-11-04 07:25:01.688098,http://erasmussport.nl/en/faq/,Global,News,-1,10000,25
2024-11-04 07:25:06.725770,http://erasmussport.nl/en/contact/,Global,News,-1,10000,25
2024-11-04 07:25:17.055963,http://erasmussport.nl/en/erasmus-sport-cafe/,Global,News,-1,10000,25
2024-11-04 07:31:58.891109,https://www.denhaag.nl/nl/verkeer-en-vervoer/rotterdamsebaan/,Global,Society,-1,100000,50
2024-11-04 07:32:01.319109,https://www.eindhoven.nl/ajax/zoeken/site/2/zorg,Global,Society,-1,100000,25
2024-11-04 07:32:10.151094,https://eindhoven.nl,Global,Society,-1,100000,1
2024-11-04 07:32:11.742063,https://www.denhaag.nl/nl/verkeer-en-vervoer/rotterdamsebaan/,Global,Society,-1,100000,50
2024-11-04 07:32:14.996163,https://www.delft.nl/werelddag-door-en-voor-voorhof,Global,Society,-1,100000,50
2024-11-04 07:32:23.864496,https://tui.nl,Global,Business,500,100000,1
2024-11-04 07:32:41.024210,https://9292.nl/contact/veelgestelde-vragen/vragen-over-e-tickets/,Global,Business,500,100000,-1
2024-11-04 07:32:42.420159,https://www.rijswijk.nl/parkeervergunning-bedrijven-overige-gebieden-rijswijk-maand,Global,Society,10,10,-1
2024-11-04 07:33:55.292403,https://www.delft.nl/duurzame-toekomst-voor-de-prelude,Global,Society,-1,100000,50
2024-11-04 08:24:02.817599,https://www.denhaag.nl/en/parking/purchase-extra-parking-credit/,Global,Society,-1,100000,50
2024-11-04 08:24:05.291159,https://www.denhaag.nl/nl/verkeer-en-vervoer/rotterdamsebaan/,Global,Society,-1,100000,50
2024-11-04 08:24:12.160532,https://9292.nl/,Global,Business,500,100000,1
2024-11-04 08:24:16.965381,https://www.tui.nl/informatie/oostenrijk/kitzbuhel-kirchberg/kitzbuheler-alpen/tirol/aurach-bei-kitzbuhel/,Global,Business,500,100000,-1
