synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:10:47.877405,https://one.nz/legal/terms-conditions/bonus-minutes/,Global,Society,-1,100000,50
2024-11-01 09:11:21.062817,https://www.glacierkayaks.com/kayaking-in-york-maine/,Global,News,-1,10000,-1
2024-11-01 09:11:24.728246,https://www.glacierkayaks.com/tag/water/,Global,News,-1,10000,-1
2024-11-01 09:11:30.971874,https://www.glacierkayaks.com/tag/york/,Global,News,-1,10000,25
2024-11-01 10:13:01.552334,https://lumenlearning.com/champion-playbook/making-the-case/,Global,Business,-1,10000,50
2024-11-01 10:42:06.418504,https://one.nz/careers/technology-jobs/,Global,Society,-1,100000,50
2024-11-01 10:42:07.848717,https://one.nz/legal/terms-conditions/ifpbusiness/,Global,Society,-1,100000,50
2024-11-01 11:32:11.649792,https://one.nz/business/mobile-plans/aussie-roaming/,Global,Society,-1,100000,50
2024-11-01 11:32:18.861075,https://one.nz/online-shop/accessory/samsung/a35/silicone-case/,Global,Society,-1,100000,50
2024-11-01 11:42:19.678057,https://www.glacierkayaks.com/average-kayak-speed/,Global,News,-1,10000,-1
2024-11-01 11:42:23.365167,https://www.glacierkayaks.com/author/jack/,Global,News,-1,10000,-1
2024-11-01 11:42:28.971695,https://www.glacierkayaks.com/tag/kayak-brands/,Global,News,-1,10000,25
2024-11-01 11:42:58.804669,https://www.glacierkayaks.com/tag/canoe/,Global,News,-1,10000,25
2024-11-01 12:05:43.065010,https://fresherslive.com,Global,Business,500,100000,1
2024-11-01 12:30:28.324154,https://www.christchurchnz.com/see-do/activity/te-matatiki-toi-ora-the-arts-centre-guided-walking-tour?q=trade,Global,Society,-1,10000,-1
2024-11-01 12:42:35.743195,https://www.re-leased.com/blog/10-reasons-to-implement-property-management-software-in-2023,Global,Society,-1,10000,-1
2024-11-01 12:42:48.871460,https://www.christchurchnz.com/see-do/activity/te-matatiki-toi-ora-the-arts-centre-guided-walking-tour?q=trade,Global,Society,-1,10000,-1
2024-11-01 12:42:52.720319,https://whakarewarewa.com/how-hinemoas-unrelenting-love-for-tutanekai-conquered-all/,Global,Society,-1,10000,-1
2024-11-01 13:35:29.179255,https://www.etsy.com/invites/sell/?iid=hm0_pa75bzyrw_afk-1-xwoi4z-kuazovex7ftsh3gs.,Global,Shopping,100,100000,-1
2024-11-01 13:39:51.332759,https://www.christchurchnz.com/see-do/activity/south-pacific-helicopters-ultimate-adventure,Global,Society,-1,10000,-1
2024-11-01 13:58:18.340962,https://abletech.nz/portfolio/driving-organic-sign-up-with-user-experience/index.html,Global,Society,-1,10000,-1
2024-11-01 14:12:26.675561,https://www.re-leased.com/resources/client-stories/how-monopro-use-real-time-data-commercial-property-asset-management,Global,Society,-1,10000,-1
2024-11-01 14:14:11.229466,https://abletech.nz/article/the-elixir-equivalent-of-rspecs-focus-true/,Global,Society,-1,10000,-1
2024-11-01 14:21:47.086359,https://whakarewarewa.com/experiences/the-whakarewarewa-legacy-guided-tour/,Global,Society,-1,10000,-1
2024-11-01 14:21:58.033526,https://www.christchurchnz.com/explore/walking-guide/locations/our-turangawaewae-cultural-guide/whariki-kahataioreore,Global,Society,-1,10000,-1
2024-11-01 14:40:08.562139,https://rykenlaw.nz/tag/covid-19/,Global,Society,-1,1000,25
2024-11-01 14:45:43.945664,https://one.nz/online-shop/accessory/samsung/a35/silicone-case/,Global,Society,-1,100000,50
2024-11-01 14:45:45.902177,https://one.nz/support/broadband-plans/retired-plans/,Global,Society,-1,100000,50
2024-11-01 15:22:50.042827,https://www.glacierkayaks.com/tag/water/,Global,News,-1,10000,-1
2024-11-01 15:22:51.306798,https://www.glacierkayaks.com/tag/wakeboard-boats/,Global,News,-1,10000,-1
2024-11-01 15:22:55.170655,https://www.glacierkayaks.com/tag/canoe/,Global,News,-1,10000,-1
2024-11-01 15:23:00.793434,https://www.glacierkayaks.com/author/jack/,Global,News,-1,10000,25
2024-11-01 15:23:06.744389,https://www.glacierkayaks.com/author/rory/,Global,News,-1,10000,25
2024-11-01 15:24:57.648435,https://one.nz/legal/terms-conditions/bonus-minutes/,Global,Society,-1,100000,50
2024-11-01 15:28:26.340530,https://paritua.com/,Local,Business,-1,-1,1
2024-11-01 16:13:33.426434,https://flexaclinic.com,Local,Business,-1,-1,1
2024-11-01 16:43:35.769832,https://one.nz/careers/technology-jobs/,Global,Society,-1,100000,50
2024-11-02 12:32:45.695197,https://www.glacierkayaks.com/tag/water/,Global,News,-1,10000,-1
2024-11-02 12:32:48.757585,https://www.glacierkayaks.com/best-wetsuits-for-kayaking/,Global,News,-1,10000,-1
2024-11-02 12:32:54.397271,https://www.glacierkayaks.com/tag/water/,Global,News,-1,10000,25
2024-11-02 12:33:01.516785,https://www.glacierkayaks.com/kayaking-in-york-maine/,Global,News,-1,10000,25
2024-11-02 12:33:17.012959,https://www.glacierkayaks.com/author/rory/,Global,News,-1,10000,25
2024-11-02 13:29:06.919099,https://one.nz/legal/terms-conditions/bonus-minutes/,Global,Society,-1,100000,50
2024-11-03 16:55:49.014322,https://glacierkayaks.com,Global,News,-1,10000,-1
2024-11-03 16:55:53.792872,https://www.glacierkayaks.com/author/rory/,Global,News,-1,10000,-1
2024-11-03 16:55:59.806832,https://www.glacierkayaks.com/tag/kayak/,Global,News,-1,10000,25
2024-11-03 16:56:28.518385,https://www.glacierkayaks.com/kayaking-in-york-maine/,Global,News,-1,10000,25
2024-11-03 20:58:58.628687,https://one.nz/support/broadband-plans/retired-plans/,Global,Society,-1,100000,50
2024-11-04 08:41:27.541868,https://www.glacierkayaks.com/tag/kayak-brands/,Global,News,-1,10000,25
2024-11-04 08:41:32.579540,https://www.glacierkayaks.com/tag/york/,Global,News,-1,10000,25
2024-11-04 08:41:42.909733,https://www.glacierkayaks.com/tag/kayak-brands/,Global,News,-1,10000,25
