synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:25:31.135816,https://www.nationsonline.org/oneworld/map/chad_map.htm,Global,Society,-1,100000,50
2024-11-01 07:26:04.321228,https://www.ssrn.com/index.cfm/en/planetscirn/planetscirn-subscribe-orgs/,Global,News,-1,10000,-1
2024-11-01 07:26:07.986657,https://cricketaddictor.com/livescore/india-women-vs-sri-lanka-women-final-tri-nation-series-2025/,Global,News,-1,10000,-1
2024-11-01 07:26:14.230285,https://bahriatown.com/tag/bahria-sports-city/,Global,News,-1,10000,25
2024-11-01 08:27:44.810745,https://9ledgefeed.com/learn-e-commerce-start-dropshipping-in-pakistan/,Global,Business,-1,10000,50
2024-11-01 08:56:49.676915,https://www.nationsonline.org/oneworld/map/google_map_malaysia.htm,Global,Society,-1,100000,50
2024-11-01 08:56:51.107128,https://www.dfa.ie/home/index.aspx?id=81396,Global,Society,-1,100000,50
2024-11-01 09:46:54.908203,https://www.nationsonline.org/oneworld/rich_poor_countries.htm,Global,Society,-1,100000,50
2024-11-01 09:47:02.119486,https://www.gingersoftware.com/content/phrases/smell-a-rat,Global,Society,-1,100000,50
2024-11-01 09:57:02.936468,https://www.ssrn.com/index.cfm/en/janda/professional-announcements/?annsnet=3698353,Global,News,-1,10000,-1
2024-11-01 09:57:06.623578,https://bahriatown.com/bahria-town-karachi-inaugurates-bahria-town-auditorium-2/,Global,News,-1,10000,-1
2024-11-01 09:57:12.230106,https://orangitown.com/?nd,Global,News,-1,10000,25
2024-11-01 09:57:42.063080,https://plos.org/subject_area/urology/,Global,News,-1,10000,25
2024-11-01 10:20:26.323421,https://englishtourdutranslation.com,Global,Business,500,100000,1
2024-11-01 10:20:32.366466,https://www.abl.com/,Global,Business,500,100000,1
2024-11-01 10:45:11.582565,https://www.gingersoftware.com/english-online/spelling-book/misspelling/environment-enviroment-enviorment,Global,Society,-1,10000,-1
2024-11-01 10:57:19.001606,https://www.dfa.ie/our-role-policies/international-priorities/our-international-partners/united-nations/unsecuritycouncilstatements/,Global,Society,-1,10000,-1
2024-11-01 10:57:32.129871,https://www.gingersoftware.com/content/grammar-rules/conjunctions/conjunction-exercises,Global,Society,-1,10000,-1
2024-11-01 10:57:35.978730,https://arbisoft.com/blogs/how-to-choose-the-right-tech-stack-for-your-custom-software-project,Global,Society,-1,10000,-1
2024-11-01 11:50:12.437666,https://www.daraz.pk/wow/i/pk/appyversary-2019/mega-deals-automotive?hybrid=1&scm=1003.4.icms-zebra-100996892-4805157.other_5971294097_4686408,Global,Shopping,100,100000,-1
2024-11-01 11:54:34.591170,https://www.gingersoftware.com/content/grammar-rules/adjectives/farther-vs-further,Global,Society,-1,10000,-1
2024-11-01 12:13:01.599373,https://www.onuniverse.com/?utm_source=www.aipeanuts.com&utm_medium=referral&utm_campaign=ist-der-eu-ai-act-der-tod-von-open-source,Global,Society,-1,10000,-1
2024-11-01 12:27:09.933972,https://digilog.pk/products/18-pin-dip-ic-socket-base-adaptor-connector,Global,Society,-1,10000,-1
2024-11-01 12:28:54.487877,https://www.gingersoftware.com/english-online/spelling-book/misspelling/conscience-consciencia-concience,Global,Society,-1,10000,-1
2024-11-01 12:36:30.344770,https://www.venturedive.com/insights/podcasts/data-ai-series-chapter-2-episode-1,Global,Society,-1,10000,-1
2024-11-01 12:36:41.291937,https://www.gingersoftware.com/english-online/spelling-book/confusing-words/concave-convex,Global,Society,-1,10000,-1
2024-11-01 12:54:51.820550,https://mindbridge.net/our-certifications,Global,Society,-1,1000,25
2024-11-01 13:00:27.204075,https://www.dfa.ie/home/index.aspx?id=81396,Global,Society,-1,100000,50
2024-11-01 13:00:29.160588,https://www.nationsonline.org/oneworld/country-stats/india-statistics.htm,Global,Society,-1,100000,50
2024-11-01 13:37:33.301238,https://cricketaddictor.com/livescore/afghanistan-vs-south-africa-2nd-odi-20-sep-2024/highlights/,Global,News,-1,10000,-1
2024-11-01 13:37:34.565209,https://plos.org/get-more-news/?interest=biological?utm_id=395&utm_source=blog&utm_medium=referral&utm_campaign=395jrn0423b,Global,News,-1,10000,-1
2024-11-01 13:37:38.429066,https://plos.org/resource/10-tips-for-getting-started-as-a-peer-reviewer/,Global,News,-1,10000,-1
2024-11-01 13:37:44.051845,http://novacss-mazhar.com/cspinfo.php?cspid=66,Global,News,-1,10000,25
2024-11-01 13:37:50.002800,https://orangitown.com/?sa,Global,News,-1,10000,25
