synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:28:42.860083,https://www.dfa.ie/irish-embassy/portugal/our-services/,Global,Society,-1,100000,50
2024-11-01 09:29:16.045495,https://kielce.eu/pl/aktualnosci/wypowiedz-sie-indeks-zdrowych-miast.html,Global,News,-1,10000,-1
2024-11-01 09:29:19.710924,http://www.solarnia.pl/index.php/wydarzenia/wydarzenia-2017/27-moik-2017-1,Global,News,-1,10000,-1
2024-11-01 09:29:25.954552,https://dehnelsport.pl/serwis-nart-warszawa/,Global,News,-1,10000,25
2024-11-01 10:30:56.535012,https://transportgzm.pl/documents/deklaracja-dostepnosci-portal-klienta,Global,Business,-1,10000,50
2024-11-01 11:00:01.401182,https://www.dfa.ie/irish-embassy/kenya/contact-us/,Global,Society,-1,100000,50
2024-11-01 11:00:02.831395,https://zhp.pl/sprawozdania/roczne-naczelnik-gk/,Global,Society,-1,100000,50
2024-11-01 11:50:06.632470,https://zhp.pl/hm-dariusz-supel-ponownie-przewodniczacym-zhp/,Global,Society,-1,100000,50
2024-11-01 11:50:13.843753,https://zhp.pl/zyczenia-wielkanocne-2025/,Global,Society,-1,100000,50
2024-11-01 12:00:14.660735,https://www.gokis-legnickiepole.pl/component/phocagallery/444-polkolonie-letnie-2024-dzien-3/detail/38168-polkolonie-letnie-2024-dzien-3?phocaslideshow=1&tmpl=component&itemid=1,Global,News,-1,10000,-1
2024-11-01 12:00:18.347845,https://www.gokis-legnickiepole.pl/galeria/category/458-dozynki-gminne-w-legnickim-polu,Global,News,-1,10000,-1
2024-11-01 12:00:23.954373,https://www.gokis-legnickiepole.pl/o-gokis/38-adam-kubik,Global,News,-1,10000,25
2024-11-01 12:00:53.787347,https://akwenczerwonak.pl/2024/11/20/,Global,News,-1,10000,25
2024-11-01 12:23:38.047688,https://hasladokrzyzowek.com,Global,Business,500,100000,1
2024-11-01 12:48:23.306832,http://zsomichow.pl/2014/03/final-powiatowy-mini-pilce-recznej-dziewczat/,Global,Society,-1,10000,-1
