synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 09:09:39.945240,https://linkpop.com/wanihdpassahfd,Global,Society,-1,100000,50
2024-11-01 09:10:13.130652,https://www.ief.org/news/symposium-on-pathways-to-reduce-carbon-emissions-in-the-petroleum-downstream-industries,Global,News,-1,10000,-1
2024-11-01 09:10:16.796081,https://www.ief.org/news/carbon-capture-must-grow-at-warp-speed-to-meet-climate-goals-ief-report,Global,News,-1,10000,-1
2024-11-01 09:10:23.039709,https://madainproject.com/kommos,Global,News,-1,10000,25
2024-11-01 10:11:53.620169,https://danube.sa/en/departments/fresh-fruits-vegetables,Global,Business,-1,10000,50
2024-11-01 10:40:58.486339,https://linkpop.com/dekoja-net,Global,Society,-1,100000,50
2024-11-01 10:40:59.916552,https://linkpop.com/en/,Global,Society,-1,100000,50
2024-11-01 11:31:03.717627,https://linkpop.com/bossfunm,Global,Society,-1,100000,50
2024-11-01 11:31:10.928910,https://linkpop.com/daftar-fafa-slot,Global,Society,-1,100000,50
2024-11-01 11:41:11.745892,https://www.ief.org/news/4-reasons-natural-gas-is-a-critical-part-of-the-energy-transition,Global,News,-1,10000,-1
2024-11-01 11:41:15.433002,https://www.ief.org/events/the-role-of-clean-hydrogen-and-ccus-to-achieve-climate-ambitions-in-mena,Global,News,-1,10000,-1
2024-11-01 11:41:21.039530,https://www.ief.org/ief-events/covid-19,Global,News,-1,10000,25
2024-11-01 11:41:50.872504,https://madainproject.com/precinct_of_amun_re,Global,News,-1,10000,25
2024-11-01 12:04:35.132845,https://almosafer.com,Global,Business,500,100000,1
2024-11-01 12:29:20.391989,http://kfu.com/~goldenfig/?item=61&pic=13,Global,Society,-1,10000,-1
2024-11-01 12:41:40.939295,https://linkpop.com/en,Global,Society,-1,10000,-1
2024-11-01 12:41:44.788154,http://kfu.com/~goldenfig/?item=61&pic=3,Global,Society,-1,10000,-1
2024-11-01 13:34:21.247090,https://www.etsy.com/invites/sell/?iid=e2qi-jwctis0ayaol6odr4smb1d6v9zczrutfnqjpd4.,Global,Shopping,100,100000,-1
2024-11-01 13:38:43.400594,https://mylink.la/cnxrzggt,Global,Society,-1,10000,-1
2024-11-01 13:57:10.408797,https://linkpop.com,Global,Society,-1,10000,-1
2024-11-01 14:11:18.743396,https://linkpop.com/sky88goinfo,Global,Society,-1,10000,-1
2024-11-01 14:13:03.297301,http://kfu.com/~goldenfig/?item=61&pic=1,Global,Society,-1,10000,-1
2024-11-01 14:20:39.154194,http://kfu.com/~goldenfig/?item=49&pic=2,Global,Society,-1,10000,-1
2024-11-01 14:20:50.101361,https://mylink.la/agchallengecup,Global,Society,-1,10000,-1
2024-11-01 14:39:00.629974,https://linkpop.com/angale-screations,Global,Society,-1,1000,25
2024-11-01 14:44:36.013499,https://linkpop.com/bossfunm,Global,Society,-1,100000,50
2024-11-01 14:44:37.970012,https://linkpop.com/koffeeandkredit,Global,Society,-1,100000,50
2024-11-01 15:21:42.110662,https://www.ief.org/news/ief-to-host-roundtable-on-speeding-deployment-of-carbon-capture,Global,News,-1,10000,-1
2024-11-01 15:21:43.374633,https://www.ief.org/news/11th-joint-iea-ief-opec-workshop-on-the-interactions-between-physical-and-financial-energy-markets,Global,News,-1,10000,-1
2024-11-01 15:21:47.238490,https://www.ief.org/news/international-energy-forum-launches-methane-measurement-project-to-address-climate-change,Global,News,-1,10000,-1
2024-11-01 15:21:52.861269,https://www.ief.org/jodi,Global,News,-1,10000,25
2024-11-01 15:21:58.812224,https://madainproject.com/madain_saleh,Global,News,-1,10000,25
2024-11-01 15:23:49.716270,https://linkpop.com/debettclubi,Global,Society,-1,100000,50
2024-11-01 15:27:18.408365,https://tmken.sa,Local,Business,-1,-1,1
2024-11-01 16:12:25.494269,https://oxxoshop.com,Local,Business,-1,-1,1
2024-11-01 16:42:27.837667,https://linkpop.com/imajbetguncelll,Global,Society,-1,100000,50
2024-11-02 12:31:37.763032,https://www.ief.org/news/carbon-capture-must-grow-at-warp-speed-to-meet-climate-goals-ief-report,Global,News,-1,10000,-1
2024-11-02 12:31:40.825420,https://www.ief.org/events/14th-iea-ief-opec-symposium-on-energy-outlooks,Global,News,-1,10000,-1
2024-11-02 12:31:46.465106,https://madainproject.com/madain_saleh,Global,News,-1,10000,25
2024-11-02 12:31:53.584620,https://www.ief.org/programs,Global,News,-1,10000,25
2024-11-02 12:32:09.080794,https://madainproject.com/kommos,Global,News,-1,10000,25
2024-11-02 13:27:58.986934,https://linkpop.com/angale-screations,Global,Society,-1,100000,50
2024-11-03 16:54:41.082157,https://www.ief.org/news/symposium-on-pathways-to-reduce-carbon-emissions-in-the-petroleum-downstream-industries,Global,News,-1,10000,-1
2024-11-03 16:54:45.860707,https://www.ief.org/news/4-reasons-natural-gas-is-a-critical-part-of-the-energy-transition,Global,News,-1,10000,-1
2024-11-03 16:54:51.874667,https://www.ief.org/about/executive-board,Global,News,-1,10000,25
2024-11-03 16:55:20.586220,https://madainproject.com/temple_of_winged_lions,Global,News,-1,10000,25
2024-11-03 20:57:50.696522,https://linkpop.com/koffeeandkredit,Global,Society,-1,100000,50
2024-11-04 08:40:19.609703,https://madainproject.com/ahiel_ostracon,Global,News,-1,10000,25
2024-11-04 08:40:24.647375,https://madainproject.com/kommos,Global,News,-1,10000,25
2024-11-04 08:40:34.977568,https://madainproject.com/temple_of_winged_lions,Global,News,-1,10000,25
2024-11-04 08:47:16.812714,https://linkpop.com/corrently,Global,Society,-1,100000,50
2024-11-04 08:47:19.240714,https://linkpop.com/vivoslot303,Global,Society,-1,100000,25
2024-11-04 08:47:28.072699,https://linkpop.com,Global,Society,-1,100000,1
2024-11-04 08:47:29.663668,https://linkpop.com/imajbetguncelll,Global,Society,-1,100000,50
2024-11-04 08:47:32.917768,https://linkpop.com/debettclubi,Global,Society,-1,100000,50
2024-11-04 08:47:41.786101,https://almosafer.com,Global,Business,500,100000,1
2024-11-04 08:47:58.945815,https://www.almosafer.com/ar/hotel/details/atg/braira-dammam-hotel-1672622?ncr=1,Global,Business,500,100000,-1
2024-11-04 08:48:00.341764,http://kfu.com/~goldenfig/?item=49&pic=3,Global,Society,10,10,-1
2024-11-04 08:49:13.214008,https://linkpop.com/en/,Global,Society,-1,100000,50
2024-11-04 09:39:20.739204,https://linkpop.com/koffeeandkredit,Global,Society,-1,100000,50
2024-11-04 09:39:30.082137,https://almosafer.com,Global,Business,500,100000,1
