synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:47:18.718231,https://www.trstene.sk/obec/zakladne-informacie/,Global,Society,-1,100000,50
2024-11-01 07:47:51.903643,https://www.nitrianskerudno.sk/dokumenty/praca-starostu/2023/praca-starostu-za-mesiac-september-2023/,Global,News,-1,10000,-1
2024-11-01 07:47:55.569072,https://www.nitrianskerudno.sk/dokumenty/rozpocet-a-financie/2022/zaverecny-ucet-obce-nitrianske-rudno-a-rozpoctove-hospodarenie-za-rok-2021-navrh/,Global,News,-1,10000,-1
2024-11-01 07:48:01.812700,https://www.krtovce.sk/obec/phsr/,Global,News,-1,10000,25
2024-11-01 08:49:32.393160,http://dolnaves.sk/index.php/klub-dochodcov,Global,Business,-1,10000,50
2024-11-01 09:18:37.259330,https://www.velkekosihy.sk/vyhlasenie-o-pristupnosti,Global,Society,-1,100000,50
2024-11-01 09:18:38.689543,https://www.cicov.sk/4-cicovsky-festival-a22-1623,Global,Society,-1,100000,50
2024-11-01 10:08:42.490618,https://www.spaniadolina.sk/obec/cestovny-ruch/ubytovanie-a-stravovanie/,Global,Society,-1,100000,50
2024-11-01 10:08:49.701901,https://slovenskalupca.sk/?s=e089969f464275defbdc037939f7dc22,Global,Society,-1,100000,50
2024-11-01 10:18:50.518883,https://samorin.sk/events/event/knizny-debut-fotoreportera-a-umeleckeho-fotografa-laszloa-m-nagya/,Global,News,-1,10000,-1
2024-11-01 10:18:54.205993,https://www.meteoinfo.sk/predpoved-slovensko/juhozapad.okres-nove-zamky.mala-nad-hronom,Global,News,-1,10000,-1
2024-11-01 10:18:59.812521,https://www.krtovce.sk/home/newscbm_727261/20/,Global,News,-1,10000,25
2024-11-01 10:19:29.645495,https://www.obeckolonica.sk/letecky-pohlad-g28-44,Global,News,-1,10000,25
2024-11-01 10:42:13.905836,https://ukf.sk,Global,Business,500,100000,1
2024-11-01 11:06:59.164980,https://www.obectorysa.sk/zverejnovanie/zverejnovanie-2021/zmluva-2-61-2021-806.html,Global,Society,-1,10000,-1
2024-11-01 11:19:06.584021,https://www.hniezdne.sk/presovsky-kraj-spusta-tohtorocnu-prevadzku-cyklobusov-a22-853,Global,Society,-1,10000,-1
2024-11-01 11:19:19.712286,https://www.uhorna.sk/?&eregister=faktury&ur_page=1&count=20&detail=406547,Global,Society,-1,10000,-1
2024-11-01 11:19:23.561145,https://www.podbiel.sk/navstevnik/sluzby/remesla/umelecky-rezbar-martin-krska-81sk.html,Global,Society,-1,10000,-1
