synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:47:01.908516,https://www.druzinski-izleti.si/regije/jugovzhodna-slovenija.html,Global,Society,-1,100000,50
2024-11-01 07:47:35.093928,https://zon.si/sekretar-ministrstva-s-pomembnimi-informacijami-za-trbovlje/,Global,News,-1,10000,-1
2024-11-01 07:47:45.002985,https://zon.si/kje-je-konec-plocnika-in-zacetek-parkirisca-ni-cisto-jasno/,Global,News,-1,10000,25
2024-11-01 08:49:15.583445,https://marche-movenpick.si/sl/nasa-ideja?overlay=qezvgpaqyjyxtije,Global,Business,-1,10000,50
2024-11-01 09:18:20.449615,https://www.jozef.si/15-okt-2024-4-dan-fonfria-sarria/,Global,Society,-1,100000,50
2024-11-01 09:18:21.879828,https://www.mirenkras.si/trgovina/diseca-puncka-iz-sivke,Global,Society,-1,100000,50
2024-11-01 10:08:25.680903,https://www.cineplexx.si/film/kralj-vseh-kraljev?location=all,Global,Society,-1,100000,50
2024-11-01 10:08:32.892186,https://druzinski-izleti.si/en/cooking-up-a-storm/vsi-izleti.html,Global,Society,-1,100000,50
2024-11-01 10:18:33.709168,https://zon.si/kje-je-konec-plocnika-in-zacetek-parkirisca-ni-cisto-jasno/,Global,News,-1,10000,-1
2024-11-01 10:18:37.396278,https://zon.si/na-trznici-se-oddaja-se-en-poslovni-prostor/embed/,Global,News,-1,10000,-1
2024-11-01 10:18:43.002806,https://zon.si/foto-trboveljska-dijaka-sta-ustvarila-didakticno-igro-ki-povezuje-ui-kemijo-in-karte/,Global,News,-1,10000,25
2024-11-01 10:19:12.835780,https://zon.si/studentje-so-se-vrnili-na-bivso-srednjo-solo/,Global,News,-1,10000,25
2024-11-01 10:41:57.096121,https://posta.si,Global,Business,500,100000,1
2024-11-01 11:06:42.355265,https://www.next.si/en/shop/gender-women-productaffiliation-coatsandjackets/style-denim,Global,Society,-1,10000,-1
2024-11-01 11:18:49.774306,https://www.next.si/en/shop/gender-oldergirls-gender-youngergirls-productaffiliation-schoolwear/category-jackets,Global,Society,-1,10000,-1
2024-11-01 11:19:02.902571,https://www.next.si/sl/shop/gender-olderboys-gender-youngerboys-productaffiliation-footwear/category-shoes-use-schoolwear,Global,Society,-1,10000,-1
2024-11-01 11:19:06.751430,https://www.next.si/en/shop/gender-women-productaffiliation-coatsandjackets/style-denim,Global,Society,-1,10000,-1
2024-11-01 12:11:43.210366,https://arhiv.rtvslo.si/evropa2009/www.rtvslo.si/evropa2009/articles9f05.html?id=581,Global,Shopping,100,100000,-1
2024-11-01 12:16:05.363870,https://www.next.si/sl/shop/gender-olderboys-gender-youngerboy-productaffiliation-tops-use-sportswear,Global,Society,-1,10000,-1
