synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:30:50.311816,https://www.gijon.es/es/programas/comparte-joven,Global,Society,-1,100000,50
2024-11-01 07:31:23.497228,https://e-noticies.cat/en/people/latest-images-shakira-milan-sasha-will-cause-pain-gerard-pique,Global,News,-1,10000,-1
2024-11-01 07:31:27.162657,https://e-noticies.cat/en/economy/radical-shift-caixabank-plan-cosmos-ai-until-2027,Global,News,-1,10000,-1
2024-11-01 07:31:33.406285,https://e-noticies.cat/en/politics/war-erc-comuns-changes-script-govern-against-ropes,Global,News,-1,10000,25
2024-11-01 08:33:03.986745,https://libretexts.org/academy/libretexts-academy-services,Global,Business,-1,10000,50
2024-11-01 09:02:08.852915,https://www.gijon.es/es/eventos/misha-dacic-piano,Global,Society,-1,100000,50
2024-11-01 09:02:10.283128,https://www.applesfera.com/general/los-nombres-de-las-salas-en-la-campusmac,Global,Society,-1,100000,50
2024-11-01 09:52:14.084203,https://www.gijon.es/og_categories/show/2066-deporte,Global,Society,-1,100000,50
2024-11-01 09:52:21.295486,https://www.applesfera.com/general/mas-detalles-de-la-campusmac07,Global,Society,-1,100000,50
2024-11-01 10:02:22.112468,https://e-noticies.cat/en/economy/social-security-notice-americans-will-lose-pension,Global,News,-1,10000,-1
2024-11-01 10:02:25.799578,https://e-noticies.cat/en/economy/aviso-banco-sabadell-estafas-habituales-precaucion,Global,News,-1,10000,-1
2024-11-01 10:02:31.406106,https://e-noticies.cat/en/economy/bbva-brings-joy-to-thousands-of-young-mortgage-clients,Global,News,-1,10000,25
2024-11-01 10:03:01.239080,https://e-noticies.cat/en/economy/stick-treasury-spaniards-receive-salary-return-income-tax-return,Global,News,-1,10000,25
2024-11-01 10:25:45.499421,https://civitatis.com,Global,Business,500,100000,1
2024-11-01 10:50:30.758565,https://www.ayto-salas.es/portada?p_p_id=com_liferay_asset_publisher_web_portlet_assetpublisherportlet_instance_38469e3b9076&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_assetpublisherportlet_instance_38469e3b9076_cur=0&p_r_p_resetcur=false&_com_liferay_asset_publisher_web_portlet_assetpublisherportlet_instance_38469e3b9076_assetentryid=14604244,Global,Society,-1,10000,-1
2024-11-01 11:02:38.177606,https://escuelachiquitin.com/escuelas/escuela-infantil-las-meninas/como-llegar,Global,Society,-1,10000,-1
2024-11-01 11:02:51.305871,http://escuelasanroque.es/ingles-para-ninos-pequenos-madrid-babies-go-english.html,Global,Society,-1,10000,-1
2024-11-01 11:02:55.154730,https://colegiocorazondemaria.es/es/informacion/calendario/day.listevents/2024/06/30/-,Global,Society,-1,10000,-1
2024-11-01 11:55:31.613666,https://www.etsy.com/invites/sell/?iid=4xb5uxrotuo1i8wseftqioj-easswqndiaz4nkejece.,Global,Shopping,100,100000,-1
2024-11-01 11:59:53.767170,http://garrucha.es/servicios/cmsdipro/index.nsf/contenidos.xsp?p=dipalme&ref=aviso_legal,Global,Society,-1,10000,-1
2024-11-01 12:18:20.775373,http://garrucha.es/servicios/cmsdipro/index.nsf/informacion.xsp?p=filming&documentid=a37adaad8ce107edc1257d89003ca5e7,Global,Society,-1,10000,-1
2024-11-01 12:32:29.109972,https://colegiocorazondemaria.es/es/informacion/calendario/month.calendar/2025/04/19/-,Global,Society,-1,10000,-1
2024-11-01 12:34:13.663877,https://www.colegiocorazondemaria.es/es/informacion/calendario/month.calendar/2024/06/18/-,Global,Society,-1,10000,-1
2024-11-01 12:41:49.520770,https://colegiocorazondemaria.es/es/oferta-educativa/bachillerato-3/bachillerato-9,Global,Society,-1,10000,-1
2024-11-01 12:42:00.467937,https://www.applesfera.com/autor/guillermo-lomener?utm_source=feedburner&utm_medium=feed&utm_campaign=07_jul_2024,Global,Society,-1,10000,-1
2024-11-01 13:00:10.996550,https://www.wondershare.es/ai.html?cmpscreencustom,Global,Society,-1,1000,25
2024-11-01 13:05:46.380075,https://www.gijon.es/es/directorio/centro-municipal-integrado-el-coto,Global,Society,-1,100000,50
2024-11-01 13:05:48.336588,https://www.applesfera.com/autor/david-bernal-raspall,Global,Society,-1,100000,50
2024-11-01 13:42:52.477238,https://e-noticies.cat/en/people/hard-blow-for-terelu-campos-after-information-aired-by-maestro-joao,Global,News,-1,10000,-1
2024-11-01 13:42:53.741209,https://e-noticies.cat/en/economy/radical-shift-caixabank-plan-cosmos-ai-until-2027,Global,News,-1,10000,-1
2024-11-01 13:42:57.605066,https://e-noticies.cat/en/soccer/liverpool-brings-it-even-closer-to-barca-deco-celebrates-top-signing-news,Global,News,-1,10000,-1
2024-11-01 13:43:03.227845,https://e-noticies.cat/en/politics/they-set-an-end-date-erc-congress-weekend-end,Global,News,-1,10000,25
2024-11-01 13:43:09.178800,https://e-noticies.cat/en/economy/social-security-notice-americans-will-lose-pension,Global,News,-1,10000,25
2024-11-01 13:45:00.082846,https://www.gijon.es/es/eventos/media-maraton-gijon-villa-jovellanos,Global,Society,-1,100000,50
2024-11-01 13:48:28.774941,https://materclem.es,Local,Business,-1,-1,1
2024-11-01 14:33:35.860845,http://www.hotelnastasi.com/,Local,Business,-1,-1,1
2024-11-01 15:03:38.204243,https://www.applesfera.com/autor/guillermo-lomener/2,Global,Society,-1,100000,50
2024-11-02 10:52:48.129608,https://e-noticies.cat/en/people/hard-blow-for-terelu-campos-after-information-aired-by-maestro-joao,Global,News,-1,10000,-1
2024-11-02 10:52:51.191996,https://e-noticies.cat/en/consumer-affairs/wells-fargo-went-all-out-discover-how-you-can-make-money-quickly-and-effortlessly,Global,News,-1,10000,-1
2024-11-02 10:52:56.831682,https://e-noticies.cat/en/people/hard-blow-for-terelu-campos-after-information-aired-by-maestro-joao,Global,News,-1,10000,25
2024-11-02 10:53:03.951196,https://e-noticies.cat/en/people/famous-host-amazed-last-emma-vilarasau,Global,News,-1,10000,25
2024-11-02 10:53:19.447370,https://e-noticies.cat/en/consumer-affairs/wells-fargo-went-all-out-discover-how-you-can-make-money-quickly-and-effortlessly,Global,News,-1,10000,25
2024-11-02 11:49:09.353510,https://www.gijon.es/es/eventos/media-maraton-gijon-villa-jovellanos,Global,Society,-1,100000,50
2024-11-03 15:15:51.448733,https://e-noticies.cat/en/consumer-affairs/wells-fargo-went-all-out-discover-how-you-can-make-money-quickly-and-effortlessly,Global,News,-1,10000,-1
2024-11-03 15:15:56.227283,https://e-noticies.cat/en/economy/social-security-notice-americans-will-lose-pension,Global,News,-1,10000,-1
2024-11-03 15:16:02.241243,https://e-noticies.cat/en/people/hard-blow-for-terelu-campos-after-information-aired-by-maestro-joao,Global,News,-1,10000,25
2024-11-03 15:16:30.952796,https://e-noticies.cat/en/economy/radical-shift-caixabank-plan-cosmos-ai-until-2027,Global,News,-1,10000,25
2024-11-03 19:19:01.063098,https://www.gijon.es/es/programas/comparte-joven,Global,Society,-1,100000,50
2024-11-04 07:01:29.976279,https://e-noticies.cat/en/people/princess-leonor-caught-in-a-bikini-in-uruguay-and-everyone-notices-this-photo,Global,News,-1,10000,25
2024-11-04 07:01:35.013951,https://e-noticies.cat,Global,News,-1,10000,25
2024-11-04 07:01:45.344144,https://e-noticies.cat/en/economy/radical-shift-caixabank-plan-cosmos-ai-until-2027,Global,News,-1,10000,25
2024-11-04 07:08:27.179290,https://www.gijon.es/og_categories/show/2066-deporte,Global,Society,-1,100000,50
2024-11-04 07:08:29.607290,https://www.applesfera.com/tag/seguimiento,Global,Society,-1,100000,25
2024-11-04 07:08:38.439275,https://gijon.es,Global,Society,-1,100000,1
2024-11-04 07:08:40.030244,https://www.gijon.es/es/eventos/misha-dacic-piano,Global,Society,-1,100000,50
2024-11-04 07:08:43.284344,https://www.applesfera.com/general/mas-detalles-de-la-campusmac07,Global,Society,-1,100000,50
2024-11-04 07:08:52.152677,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 07:09:09.312391,"https://www.civitatis.com/widget-activities/?affiliated=8987&display=cosy&cant=3&lang=es&currency=eur&country=71&category=9,5&transfer=0&cmp=eslovaquia&width=100%25&hidebutton=0&centercontent=1&typeselection=category&color=f70759&typography=montserrat&removebackground=1&showshadow=1&roundedbuttons=1",Global,Business,500,100000,-1
2024-11-04 07:09:10.708340,https://www.gijon.es/servicios/show/162-consulta-de-recibos-de-tributos-municipales,Global,Society,10,10,-1
2024-11-04 07:10:23.580584,https://www.gijon.es/es/programas/comparte-joven,Global,Society,-1,100000,50
2024-11-04 08:00:31.105780,https://www.applesfera.com/autor/guillermo-lomener/2,Global,Society,-1,100000,50
2024-11-04 08:00:33.579340,https://www.gijon.es/es/directorio/centro-municipal-integrado-el-coto,Global,Society,-1,100000,50
2024-11-04 08:00:40.448713,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 08:00:45.253562,https://www.civitatis.com/br/santiago-de-compostela/tour-teatralizado-misterios-lendas/,Global,Business,500,100000,-1
2024-11-04 08:04:41.371681,https://www.applesfera.com/general/los-nombres-de-las-salas-en-la-campusmac,Global,Society,-1,100000,50
2024-11-04 08:05:50.191434,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 08:05:53.541461,"https://www.civitatis.com/widget-activities/?affiliated=8987&display=cosy&cant=3&lang=es&currency=eur&country=71&category=9,5&transfer=0&cmp=eslovaquia&width=100%25&hidebutton=0&centercontent=1&typeselection=category&color=f70759&typography=montserrat&removebackground=1&showshadow=1&roundedbuttons=1",Global,Business,500,100000,-1
2024-11-04 08:05:53.925556,https://www.civitatis.com/br/santiago-de-compostela/tour-teatralizado-misterios-lendas/,Global,Business,500,100000,-1
2024-11-04 08:05:57.623997,"https://www.civitatis.com/widget-activities/?affiliated=8987&display=cosy&cant=3&lang=es&currency=eur&country=71&category=9,5&transfer=0&cmp=eslovaquia&width=100%25&hidebutton=0&centercontent=1&typeselection=category&color=f70759&typography=montserrat&removebackground=1&showshadow=1&roundedbuttons=1",Global,Business,500,100000,-1
2024-11-04 08:05:58.385125,https://www.civitatis.com/es/patones-de-arriba/,Global,Business,500,100000,25
2024-11-04 08:06:00.476788,https://www.civitatis.com/br/santiago-de-compostela/tour-teatralizado-misterios-lendas/,Global,Business,500,100000,-1
2024-11-04 08:06:01.569755,"https://www.civitatis.com/widget-activities/?affiliated=8987&display=cosy&cant=3&lang=es&currency=eur&country=71&category=9,5&transfer=0&cmp=eslovaquia&width=100%25&hidebutton=0&centercontent=1&typeselection=category&color=f70759&typography=montserrat&removebackground=1&showshadow=1&roundedbuttons=1",Global,Business,500,100000,-1
2024-11-04 08:06:03.410081,https://www.civitatis.com/en/castro-laboreiro/hiking-castro-laboreiro/,Global,Business,500,100000,50
2024-11-04 08:06:52.880248,https://www.civitatis.com/es/barcelona/camp-nou-experience/opiniones/,Global,Business,500,100000,50
2024-11-04 08:23:07.262067,https://www.etsy.com/invites/sell/?iid=kx2qflk8p0nsse3mrer8bnwg1ofm00yo2oyusu0v6n0.,Global,Shopping,100,100000,-1
2024-11-04 08:23:21.511347,https://www.etsy.com/ca/invites/sell/?iid=pgje15wcoq122ijh-h09w75qecznjmisacvakkuyzwg.,Global,Shopping,100,100000,25
2024-11-04 08:23:29.553930,https://www.etsy.com/ca/invites/sell/?iid=fnu0_jnbmm6bkqznyp_ozppaznethkp8z-syyl0xzde.,Global,Shopping,100,100000,50
2024-11-04 08:23:36.065094,https://www.etsy.com/ca/invites/sell/?iid=pgje15wcoq122ijh-h09w75qecznjmisacvakkuyzwg.,Global,Shopping,100,100000,25
2024-11-04 08:23:38.626791,https://www.etsy.com/il-en/invites/sell/?iid=xrrcxiv8tnoilj_0hyxnlelfypq6k5tkmffgayohr90.,Global,Shopping,100,100000,50
2024-11-04 08:23:40.343194,https://www.etsy.com/invites/sell/?iid=ujm-nr65h5xdi-2dlqxqxzgxlknvqs4gw1q_irjtxp4.,Global,Shopping,100,100000,50
2024-11-04 08:23:55.364514,https://www.etsy.com/invites/sell/?iid=4xb5uxrotuo1i8wseftqioj-easswqndiaz4nkejece.,Global,Shopping,100,100000,-1
2024-11-04 08:24:26.384540,https://www.etsy.com/invites/sell/?iid=hm0_pa75bzyrw_afk-1-xwoi4z-kuazovex7ftsh3gs.,Global,Shopping,100,100000,-1
2024-11-04 08:24:56.978710,https://www.etsy.com/uk/invites/sell/?iid=kz2xe4duudpggctp65bi7okms0nops5yua4in1yovfy.,Global,Shopping,100,100000,-1
2024-11-04 08:25:02.401493,https://www.etsy.com/invites/sell/?iid=gq349ky_m0jtfzlqq5x2l4tho0dxqw-vf-xjy5bfeuu.,Global,Shopping,100,100000,-1
2024-11-04 08:25:08.044703,https://www.etsy.com/invites/sell/?iid=rtrco4wtpnzwvwbwc_amesbwj-j9eqbxykhjshpcfqe.,Global,Shopping,100,100000,50
2024-11-04 08:25:11.616780,https://www.etsy.com/invites/sell/?iid=bgx09_d-x0om0mp86ysqr--io1wbqu2o5l0ev9loqrs.,Global,Shopping,100,100000,-1
2024-11-04 08:27:50.967451,https://www.etsy.com/invites/sell/?iid=rtrco4wtpnzwvwbwc_amesbwj-j9eqbxykhjshpcfqe.,Global,Shopping,100,100000,50
2024-11-04 08:29:33.408317,https://www.etsy.com/invites/sell/?iid=syjmnerpzrvdlkyvcvfjr8y_yivuwtbssco7bsvpoby.,Global,Shopping,100,100000,-1
2024-11-04 08:30:13.121562,https://etsy.com,Global,Shopping,100,100000,50
2024-11-04 08:30:16.263026,https://www.etsy.com/ca/invites/sell/?iid=fnu0_jnbmm6bkqznyp_ozppaznethkp8z-syyl0xzde.,Global,Shopping,100,100000,50
2024-11-04 08:30:20.006672,https://www.etsy.com/invites/sell/?iid=46_zp88gufg1gzsilwmt7cfomscuyhrr1rperbyw8jw.,Global,Shopping,100,100000,50
2024-11-04 08:48:21.624451,https://www.burgerking.es/gl/menu,Global,Generic,-1,100000,25
2024-11-04 08:49:09.607560,https://www.burgerking.es/eu/,Global,Generic,-1,100000,25
2024-11-04 08:50:02.945931,https://www.burgerking.es/gl/menu/combo-574192aa-d565-4933-8c0e-22a095edc533,Global,Generic,-1,100000,-1
2024-11-04 08:50:25.529843,https://www.burgerking.es/es/menu/picker-9160cefb-0449-44f8-8ad5-2eaf12c79629,Global,Generic,-1,100000,-1
2024-11-04 08:50:35.105164,https://www.burgerking.es/pt/menu/item-6a1bf543-5152-49b0-8bb2-f4b002284edc,Global,Generic,-1,100000,-1
2024-11-04 08:50:35.672990,https://www.burgerking.es/gl/menu,Global,Generic,-1,100000,25
2024-11-04 08:50:36.892983,https://www.burgerking.es/eu/,Global,Generic,-1,100000,25
2024-11-04 08:56:49.703796,https://www.wondershare.es/company/end-user-license-agreement.html,Global,Society,-1,1000000,50
2024-11-04 08:58:10.968405,https://www.gijon.es/es/directorio/emtusa-empresa-municipal-de-transportes-urbanos-samultimedia_objects/download?object_id=214782&object_type=document,Global,Society,-1,100000,-1
2024-11-04 08:58:13.007000,https://www.gijon.es/page/8075-ubicacion,Global,Society,-1,100000,25
2024-11-04 10:24:10.189701,https://e-noticies.cat,Global,News,-1,10000,25
2024-11-04 10:35:07.858991,https://e-noticies.cat/en/politics/junts-psoe-reach-agreement-on-distribution-of-unjoined-minors,Global,News,-1,10000,-1
2024-11-04 10:35:13.275611,https://e-noticies.cat/en/people/hard-blow-for-terelu-campos-after-information-aired-by-maestro-joao,Global,News,-1,10000,-1
2024-11-04 10:35:20.392746,https://e-noticies.cat/en/economy/bbva-brings-joy-to-thousands-of-young-mortgage-clients,Global,News,-1,10000,25
2024-11-04 10:36:04.563600,https://www.applesfera.com/general/mas-detalles-de-la-campusmac07,Global,Society,-1,100000,50
2024-11-04 10:36:07.993475,https://www.gijon.es/es?mp=1&ms=1005&mn=3,Global,Society,-1,100000,25
2024-11-04 10:36:20.458067,https://applesfera.com,Global,Society,-1,100000,1
2024-11-04 10:36:22.632782,https://www.gijon.es/og_categories/show/2066-deporte,Global,Society,-1,100000,50
2024-11-04 10:36:31.923639,https://www.gijon.es/es/eventos/misha-dacic-piano,Global,Society,-1,100000,50
2024-11-04 11:27:37.407978,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 11:48:37.476769,https://wondershare.es,Global,Society,10,10000,1
2024-11-04 11:48:39.339988,https://www.aia.eus/es/plenos,Global,Society,10,10000,25
2024-11-04 11:48:39.373744,http://losnidos.es/blog/famosos-espanoles-con-dislexia/,Global,Society,10,10000,50
2024-11-04 11:48:52.483858,http://escuelasanroque.es/galeria2.aspx?where=1252&id=1,Global,Society,10,10000,50
2024-11-04 13:41:12.062930,https://www.museosanisidorodeleon.com/actividades/,Local,Business,-1,-1,25
2024-11-04 13:44:38.892940,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 13:44:49.896939,https://www.civitatis.com/pt/paris/passeio-barco-almoco/,Global,Business,500,100000,50
2024-11-04 13:44:54.159122,https://www.civitatis.com/en/croatia/,Global,Business,500,100000,25
2024-11-04 16:12:57.600100,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 16:13:13.160197,https://www.gijon.es/es/directorio/centro-municipal-integrado-el-coto,Global,Society,-1,100000,50
2024-11-04 16:13:15.059574,https://www.applesfera.com/autor/guillermo-lomener/2,Global,Society,-1,100000,50
2024-11-04 16:40:58.291123,https://www.gijon.es/og_categories/show/144-informacion-juvenil,Global,Society,-1,100000,50
2024-11-04 16:41:04.512127,https://www.applesfera.com/autor/guillermo-lomener/2,Global,Society,-1,100000,50
2024-11-04 16:41:10.920367,https://www.gijon.es/es/directorio/centro-municipal-integrado-el-coto,Global,Society,-1,100000,50
2024-11-04 16:41:23.080897,https://www.gijon.es/es/programas/comparte-joven,Global,Society,-1,100000,50
2024-11-04 16:42:46.330959,https://escuelachiquitin.com/escuelas/foncalada/promociones,Global,Society,-1,1000,50
2024-11-04 16:44:45.698095,http://www.escuelacrios.es/organizaci%c3%b3n/servicios/,Global,Society,-1,1000,50
2024-11-04 17:04:25.259601,https://www.applesfera.com/iphone/analisis-iphone-6-y-iphone-6-plus-un-nuevo-gran-punto-de-partida,Global,Society,-1,1000,-1
2024-11-04 17:04:55.860122,https://www.wondershare.es/shop/individuals.html?cmpscreencustom,Global,Society,-1,1000000,50
2024-11-04 17:05:22.374603,https://www.aia.eus/es/-/-animo-filmaren-proiekzioa-eta-solasaldia,Global,Society,-1,1000,50
2024-11-04 17:06:00.598576,https://www.applesfera.com/tag/ios-6,Global,Society,-1,100000,25
2024-11-04 17:25:48.498179,https://www.applesfera.com/autor/david-bernal-raspall,Global,Society,-1,100000,50
2024-11-04 17:25:50.750266,https://www.applesfera.com/autor/guillermo-lomener/2,Global,Society,-1,100000,50
2024-11-04 17:26:52.229236,https://e-noticies.cat/en/economy/bbva-brings-joy-to-thousands-of-young-mortgage-clients,Global,News,-1,10000,-1
2024-11-04 17:26:53.762332,https://e-noticies.cat/en/politics/war-erc-comuns-changes-script-govern-against-ropes,Global,News,-1,10000,-1
2024-11-04 17:27:16.050233,https://e-noticies.cat/en/economy/aviso-banco-sabadell-estafas-habituales-precaucion,Global,News,-1,10000,-1
2024-11-04 17:27:34.779342,https://e-noticies.cat/en/politics/read-exclusive-excerpt-daily-traitor-book-laura-fabregas,Global,News,-1,10000,25
2024-11-04 17:27:43.992293,https://e-noticies.cat/en/economy/radical-shift-caixabank-plan-cosmos-ai-until-2027,Global,News,-1,10000,25
2024-11-04 17:28:02.219015,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 17:28:06.802271,https://www.civitatis.com/br/santiago-de-compostela/tour-teatralizado-misterios-lendas/,Global,Business,500,100000,-1
2024-11-04 17:35:10.152014,https://civitatis.com,Global,Business,500,100000,1
2024-11-04 17:35:24.816132,https://www.civitatis.com/es/barcelona/camp-nou-experience/opiniones/,Global,Business,500,100000,50
2024-11-04 17:37:18.698553,https://www.gijon.es/es/directorio/centro-municipal-integrado-el-coto,Global,Society,-1,100000,50
2024-11-04 17:37:20.452307,https://www.gijon.es/es/eventos/media-maraton-gijon-villa-jovellanos,Global,Society,-1,100000,50
2024-11-04 17:40:28.966062,https://www.salduero.es/agenda/mes/2024-06,Global,Society,10,10,25
2024-11-04 17:55:59.952599,https://www.gettyimages.es/fotos/salud-dental,Global,Society,100,-1,25
2024-11-04 17:58:48.197351,https://www.wondershare.es/about/,Global,Society,-1,10000,25
2024-11-04 18:06:30.071630,https://www.gettyimages.es/fotos/ajardinado,Global,Society,100,-1,25
2024-11-04 18:11:14.294931,http://www.escuelacrios.es/la-escuela-1/metodolog%c3%ada/el-tiempo/,Global,Society,-1,10000,50
2024-11-04 18:13:49.201586,https://www.wondershare.es/products-solutions/data-management/?cmpscreencustom,Global,Society,-1,1000000,-1
2024-11-04 18:24:49.768449,https://www.gijon.es/og_categories/show/144-informacion-juvenil,Global,Society,-1,100000,50
2024-11-04 18:41:35.187364,https://www.escuelasinfantilesvelilla.com/extraescolares-0-3,Global,Society,10,10,25
2024-11-04 18:50:28.023882,https://www.gettyimages.es/fotos/ajardinado,Global,Society,100,-1,25
2024-11-04 19:00:43.692646,https://www.gijon.es/es/programas/comparte-joven,Global,Society,-1,100000,50
2024-11-05 08:26:59.123013,https://www.gijon.es/es/eventos/misha-dacic-piano,Global,Society,-1,100000,50
2024-11-05 08:27:01.788392,https://www.gijon.es/es/directorio/centro-municipal-integrado-el-coto,Global,Society,-1,100000,50
2024-11-05 08:27:07.162855,https://bermillodesayago.com,Global,Society,10,10000,1
