synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:38:48.267057,https://www.brahmakumaris.org/meditation/where-to-meditate,Global,Society,-1,100000,50
2024-11-01 08:39:21.452469,https://www.rapidtables.com/convert/temperature/375-fahrenheit-to-celsius.html,Global,News,-1,10000,-1
2024-11-01 08:39:31.361526,https://www.rapidtables.com/math/algebra/ln.html,Global,News,-1,10000,25
2024-11-01 09:41:01.941986,https://visituva.lk/hoteldetails/living-heritage-koslanda,Global,Business,-1,10000,50
2024-11-01 10:10:06.808156,https://www.brahmakumaris.org/es/descubrir/la-cocina-consciente/recetas,Global,Society,-1,100000,50
2024-11-01 10:10:08.238369,https://www.brahmakumaris.org/meditation/where-to-meditate,Global,Society,-1,100000,50
2024-11-01 11:00:12.039444,https://www.brahmakumaris.org/wisdom/a-narrative-of-love,Global,Society,-1,100000,50
2024-11-01 11:10:20.067709,https://www.rapidtables.com/convert/temperature/375-fahrenheit-to-celsius.html,Global,News,-1,10000,-1
2024-11-01 11:10:29.361347,https://www.rapidtables.com/math/algebra/ln.html,Global,News,-1,10000,25
2024-11-01 11:33:43.454662,https://cinnamonhotels.com,Global,Business,500,100000,1
2024-11-01 11:33:49.497707,https://libretexts.org,Global,Business,500,100000,1
2024-11-01 11:58:28.713806,https://www.ozisolutions.com/incorporating-newest-trends-in-digital-marketing-seo/,Global,Society,-1,10000,-1
2024-11-01 12:10:36.132847,https://www.brahmakumaris.org/meditation/experience-meditation?view=video&noderef=workspace://spacesstore/6a3778fc-0b4f-454e-b508-2316bedf5464&ctg=all,Global,Society,-1,10000,-1
2024-11-01 12:10:49.261112,https://www.brahmakumaris.org/discovery/the-mindful-kitchen/recipes?view=recipe&noderef=workspace://spacesstore/c9e5a33f-12a1-4e8f-8a1f-2a8e204b7f40&ctg=mainmeal,Global,Society,-1,10000,-1
2024-11-01 12:10:53.109971,https://meemessa.com/free-sinhala-mp3/artist/download-iman-perera-sinhala-mp3-songs.html,Global,Society,-1,10000,-1
