synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:43:00.384617,https://www.springbourne.org/cdn-cgi/l/email-protection,Global,Society,-1,100000,50
2024-11-01 07:43:33.570029,https://www.heraldscotland.com/politics/19629524.holyrood-supreme-court-defeat-snp-politicised-legal-standoff-from-start/,Global,News,-1,10000,-1
2024-11-01 07:43:37.235458,https://www.heraldscotland.com/news/25037388.islands-golf-upsurge-among-scottish-tour-operators/,Global,News,-1,10000,-1
2024-11-01 07:43:43.479086,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-01 08:45:14.059546,https://lumenlearning.com/courses/chemistry-for-majors/,Global,Business,-1,10000,50
2024-11-01 09:14:18.925716,https://www.halfway2heaven.net/london/08-06-2025/sundays-halfway,Global,Society,-1,100000,50
2024-11-01 09:14:20.355929,https://wotton-under-edge.com/notice-of-casual-vacancy/,Global,Society,-1,100000,50
2024-11-01 10:04:24.157004,https://www.theoracle.com/events/charity-super-mkt,Global,Society,-1,100000,50
2024-11-01 10:04:31.368287,https://wotton-under-edge.com/latest-road-works-bulletin-20/,Global,Society,-1,100000,50
2024-11-01 10:14:32.185269,https://www.heraldscotland.com/news/25047049.kitchen-inside-centre-contemporary-arts-market/,Global,News,-1,10000,-1
2024-11-01 10:14:35.872379,https://www.heraldscotland.com/default_content/12766054.us-forgot-make-trident-missiles/,Global,News,-1,10000,-1
2024-11-01 10:14:41.478907,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-01 10:37:55.572222,https://byjus.com,Global,Business,500,100000,1
2024-11-01 11:02:40.831366,https://www.frensham.org/event-details/nursery-preschool-music-discovery-session-2025-06-24-13-30,Global,Society,-1,10000,-1
2024-11-01 11:14:48.250407,https://www.frensham.org/event-details/spring-fling-a-celebration-of-dance,Global,Society,-1,10000,-1
2024-11-01 11:15:01.378672,https://www.uup.org/uk_government_must_act_now_to_support_households_in_northern_ireland_allen,Global,Society,-1,10000,-1
2024-11-01 11:15:05.227531,https://www.frensham.org/event-details/nursery-adventure-stay-play-2024-06-06-09-00,Global,Society,-1,10000,-1
2024-11-01 12:07:41.686467,https://www.etsy.com/invites/sell/?iid=_3snqbvncv89dehdnrwoszrv7p6mwiiwztb337o03lw.,Global,Shopping,100,100000,-1
2024-11-01 12:12:03.839971,https://www.frensham.org/event-details/junior-school-performing-arts-discovery-adventure-2025-02-04-15-30,Global,Society,-1,10000,-1
2024-11-01 12:30:30.848174,https://www.aboutacc.com/2018/04/29/april-may-2018-true-lovers-song-of-songs/,Global,Society,-1,10000,-1
2024-11-01 12:44:39.182773,https://www.aboutacc.com/2025/01/19/foundational-truths-for-a-fragile-world-3/,Global,Society,-1,10000,-1
2024-11-01 12:46:23.736678,https://www.uup.org/butler_raises_concerns_about_the_rising_costs_of_childcare,Global,Society,-1,10000,-1
2024-11-01 12:53:59.593571,https://wotton-under-edge.com/scenes-from-wotton-under-edge-to-form-art-exhibition/,Global,Society,-1,10000,-1
2024-11-01 12:54:10.540738,http://www.aboutacc.com/2023/12/17/christmas-through-angelic-information-4/,Global,Society,-1,10000,-1
2024-11-01 13:12:21.069351,https://www.allsaintsilkley.org/452/school-resources,Global,Society,-1,1000,25
2024-11-01 13:17:56.452876,http://www.aboutacc.com/2018/03/25/easter-series-2018/,Global,Society,-1,100000,50
2024-11-01 13:17:58.409389,https://www.allsaintsilkley.org/575/fifth-sunday-in-lent,Global,Society,-1,100000,50
2024-11-01 13:55:02.550039,https://www.heraldscotland.com/news/national/uk-today/20130823.marvel-doctor-strange-star-zara-phythian-husband-found-guilty-child-sex-offences/,Global,News,-1,10000,-1
2024-11-01 13:55:03.814010,https://www.heraldscotland.com/news/18940013.scotland-gritter-names-snowfleet-goes-viral-twitter-incredible-names/,Global,News,-1,10000,-1
2024-11-01 13:55:07.677867,https://www.heraldscotland.com/news/25005008.first-puffins-2025-spotted-firth-forth/?ref=rss,Global,News,-1,10000,-1
2024-11-01 13:55:13.300646,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-01 13:57:10.155647,https://www.halfway2heaven.net/london/20-07-2025/sundays-halfway,Global,Society,-1,100000,50
2024-11-01 14:00:38.847742,https://trigpointing.uk/,Local,Business,-1,-1,1
2024-11-01 14:45:45.933646,https://www.meynellingram.com/,Local,Business,-1,-1,1
2024-11-01 15:15:48.277044,https://www.halfway2heaven.net/london/10-08-2025/sundays-halfway,Global,Society,-1,100000,50
2024-11-02 11:04:58.202409,https://www.heraldscotland.com/news/national/uk-today/20130823.marvel-doctor-strange-star-zara-phythian-husband-found-guilty-child-sex-offences/,Global,News,-1,10000,-1
2024-11-02 11:05:01.264797,https://www.heraldscotland.com/news/18940013.scotland-gritter-names-snowfleet-goes-viral-twitter-incredible-names/,Global,News,-1,10000,-1
2024-11-02 11:05:06.904483,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-02 12:01:19.426311,https://wotton-under-edge.com/bus-route-60-between-dursley-and-thornbury/,Global,Society,-1,100000,50
2024-11-03 15:28:01.521534,https://www.heraldscotland.com/news/18940013.scotland-gritter-names-snowfleet-goes-viral-twitter-incredible-names/,Global,News,-1,10000,-1
2024-11-03 15:28:06.300084,https://www.heraldscotland.com/news/25037388.islands-golf-upsurge-among-scottish-tour-operators/,Global,News,-1,10000,-1
2024-11-03 15:28:12.314044,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-03 19:31:11.135899,https://www.halfway2heaven.net/london/23-10-2025/martha-darthur-thurs-feb25,Global,Society,-1,100000,50
2024-11-04 07:13:40.049080,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-04 07:20:37.252091,https://www.allsaintsilkley.org/16/wednesday-lunch-group,Global,Society,-1,100000,50
2024-11-04 07:20:39.680091,https://greatelm.org/privacy-policy/,Global,Society,-1,100000,25
2024-11-04 07:20:48.512076,https://greatelm.org,Global,Society,-1,100000,1
2024-11-04 07:20:50.103045,http://feltwell.net/raffeltwell/75p5_r1648aak.htm,Global,Society,-1,100000,50
2024-11-04 07:20:53.357145,https://www.aboutacc.com/2023/12/03/christmas-2023-angelic-information/,Global,Society,-1,100000,50
2024-11-04 07:21:02.225478,https://byjus.com,Global,Business,500,100000,1
2024-11-04 07:21:19.385192,https://byjus.com/biology/difference-between-fibrocartilage-and-hyaline-cartilage/,Global,Business,500,100000,-1
2024-11-04 07:21:20.781141,https://www.frensham.org/event-details/nursery-preschool-art-discovery-session-2025-03-21-09-00,Global,Society,10,10,-1
2024-11-04 07:22:33.653385,https://www.halfway2heaven.net/london/25-10-2025/all-day-cabaret-march-2025,Global,Society,-1,100000,50
2024-11-04 08:12:41.178581,https://www.allsaintsilkley.org/575/fifth-sunday-in-lent,Global,Society,-1,100000,50
2024-11-04 08:12:43.652141,https://feltwell.net/mellenniumfelt/hythe_road1.htm,Global,Society,-1,100000,50
2024-11-04 08:12:50.521514,https://byjus.com,Global,Business,500,100000,1
2024-11-04 08:12:55.326363,https://byjus.com/rd-sharma-solutions/class-11-maths-chapter-32-statistics-exercise-32-2/,Global,Business,500,100000,-1
2024-11-04 08:16:51.444482,https://wotton-under-edge.com/new-phone-number-to-report-power-cuts/,Global,Society,-1,100000,50
2024-11-04 08:18:00.264235,https://byjus.com,Global,Business,500,100000,1
2024-11-04 08:18:03.614262,https://byjus.com/free-ias-prep/comprehensive-news-analysis-31-jan-2017/,Global,Business,500,100000,-1
2024-11-04 08:18:03.998357,https://byjus.com/kbpe/kerala-plus-two-maths-previous-question-papers-and-answers-2015/,Global,Business,500,100000,-1
2024-11-04 08:18:05.864825,https://byjus.com/free-ias-prep/comprehensive-news-analysis-17-january-2016/,Global,Business,500,100000,-1
2024-11-04 08:18:07.696798,https://byjus.com/cbse-study-material/cbse-class-7-science-question-answers/,Global,Business,500,100000,-1
2024-11-04 08:18:08.240518,https://byjus.com/free-ias-prep/comprehensive-news-analysis-31-jan-2017/,Global,Business,500,100000,-1
2024-11-04 08:18:08.457926,https://byjus.com/gate/iis-full-form/,Global,Business,500,100000,25
2024-11-04 08:18:10.549589,https://byjus.com/maths/important-questions-class-9-maths-chapter-8-quadrilaterals/,Global,Business,500,100000,-1
2024-11-04 08:18:11.642556,https://byjus.com/rd-sharma-solutions/class-11-maths-chapter-32-statistics-exercise-32-2/,Global,Business,500,100000,-1
2024-11-04 08:18:13.482882,https://byjus.com/rajasthan-board/class-10-sample-papers/,Global,Business,500,100000,50
2024-11-04 08:19:02.953049,https://byjus.com/average-rate-of-change-formula/,Global,Business,500,100000,50
2024-11-04 08:35:17.334868,https://www.etsy.com/invites/sell/?iid=ujm-nr65h5xdi-2dlqxqxzgxlknvqs4gw1q_irjtxp4.,Global,Shopping,100,100000,-1
2024-11-04 08:35:31.584148,https://www.etsy.com/invites/sell/?iid=4xb5uxrotuo1i8wseftqioj-easswqndiaz4nkejece.,Global,Shopping,100,100000,25
2024-11-04 08:35:39.626731,https://www.etsy.com/invites/sell/?iid=kx2qflk8p0nsse3mrer8bnwg1ofm00yo2oyusu0v6n0.,Global,Shopping,100,100000,50
2024-11-04 08:35:46.137895,https://www.etsy.com/invites/sell/?iid=4xb5uxrotuo1i8wseftqioj-easswqndiaz4nkejece.,Global,Shopping,100,100000,25
2024-11-04 08:35:48.699592,https://www.etsy.com/invites/sell/?iid=ujm-nr65h5xdi-2dlqxqxzgxlknvqs4gw1q_irjtxp4.,Global,Shopping,100,100000,50
2024-11-04 08:35:50.415995,https://www.etsy.com/uk/invites/sell/?iid=kz2xe4duudpggctp65bi7okms0nops5yua4in1yovfy.,Global,Shopping,100,100000,50
2024-11-04 08:36:05.437315,https://www.etsy.com/invites/sell/?iid=46_zp88gufg1gzsilwmt7cfomscuyhrr1rperbyw8jw.,Global,Shopping,100,100000,-1
2024-11-04 08:36:36.457341,https://www.etsy.com/ca/invites/sell/?iid=fnu0_jnbmm6bkqznyp_ozppaznethkp8z-syyl0xzde.,Global,Shopping,100,100000,-1
2024-11-04 08:37:07.051511,https://www.etsy.com/invites/sell/?iid=gq349ky_m0jtfzlqq5x2l4tho0dxqw-vf-xjy5bfeuu.,Global,Shopping,100,100000,-1
2024-11-04 08:37:12.474294,https://www.etsy.com/invites/sell/?iid=ujm-nr65h5xdi-2dlqxqxzgxlknvqs4gw1q_irjtxp4.,Global,Shopping,100,100000,-1
2024-11-04 08:37:18.117504,https://www.etsy.com/invites/sell/?iid=bgx09_d-x0om0mp86ysqr--io1wbqu2o5l0ev9loqrs.,Global,Shopping,100,100000,50
2024-11-04 08:37:21.689581,https://www.etsy.com/invites/sell/?iid=97p02l3uycflghd3mnefai0tk77kohl1sblrkgmysre.,Global,Shopping,100,100000,-1
2024-11-04 08:40:01.040252,https://etsy.com,Global,Shopping,100,100000,50
2024-11-04 08:41:32.291581,https://www.etsy.com/invites/sell/?iid=_3snqbvncv89dehdnrwoszrv7p6mwiiwztb337o03lw.,Global,Shopping,100,100000,-1
2024-11-04 08:41:43.481118,https://www.etsy.com/invites/sell/?iid=bgx09_d-x0om0mp86ysqr--io1wbqu2o5l0ev9loqrs.,Global,Shopping,100,100000,-1
2024-11-04 08:42:20.544935,https://www.etsy.com/invites/sell/?iid=97p02l3uycflghd3mnefai0tk77kohl1sblrkgmysre.,Global,Shopping,100,100000,50
2024-11-04 08:42:23.194363,https://www.etsy.com/invites/sell/?iid=pyiakqmgco1waqbjrxuuutmomlncvsmz1nzlylfs-de.,Global,Shopping,100,100000,50
2024-11-04 08:42:26.335827,https://www.etsy.com/ca/invites/sell/?iid=jqmq2hzg_ssuxwl3yjzosdetvmayybfdswaz_ec1ajq.,Global,Shopping,100,100000,50
2024-11-04 09:00:31.697252,https://www.thebodyshop.com/products/shea-mini-gift,Global,Generic,-1,100000,25
2024-11-04 09:01:19.680361,https://www.westongrove.com/contact/,Global,Generic,-1,100000,25
2024-11-04 09:02:13.018732,https://johnpauljonesmuseum.com/searching-for-the-bonhomme-richard-by-melissa-ryan-and-daniel-r-rogers/,Global,Generic,-1,100000,-1
2024-11-04 09:02:35.602644,https://johnpauljonesmuseum.com/the-search-for-the-bon-homme-richard-at-filey-yorkshire/,Global,Generic,-1,100000,-1
2024-11-04 09:02:45.177965,https://johnpauljonesmuseum.com/historic-scotland-article-on-swc300-south-west-scotland/,Global,Generic,-1,100000,-1
2024-11-04 09:02:45.745791,https://johnpauljonesmuseum.com/donations/,Global,Generic,-1,100000,25
2024-11-04 09:02:46.965784,https://johnpauljonesmuseum.com/853-2/,Global,Generic,-1,100000,25
2024-11-04 09:03:00.020028,https://www.westongrove.com/contact/,Global,Generic,-1,100000,25
2024-11-04 09:08:59.776597,https://www.theoracle.com/news/hollywood-bowl-coming-soon,Global,Society,-1,1000000,50
2024-11-04 09:09:10.718610,https://www.theoracle.com/events/charity-super-mkt,Global,Society,-1,1000000,50
2024-11-04 09:10:21.041206,https://www.frensham.org/event-details/nursery-preschool-music-discovery-session-2025-06-24-13-30,Global,Society,-1,100000,-1
2024-11-04 09:10:23.079801,https://www.frensham.org/contact-us,Global,Society,-1,100000,25
2024-11-04 10:36:20.262502,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-04 10:47:17.931792,https://www.heraldscotland.com/life_style/25074422.10-uni-treasure-troves-art-open-everyone-visit/,Global,News,-1,10000,-1
2024-11-04 10:47:23.348412,https://www.heraldscotland.com/news/national/23788866.nhs-waiting-lists-hit-new-record-high-7-7-million/,Global,News,-1,10000,-1
2024-11-04 10:47:30.465547,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-04 10:48:14.636401,http://greatelm.org/events/tag/bring-and-buy/,Global,Society,-1,100000,50
2024-11-04 10:48:18.066276,https://www.springbourne.org/site/one-body,Global,Society,-1,100000,25
2024-11-04 10:48:30.530868,https://www.uup.org/,Global,Society,-1,100000,1
2024-11-04 10:48:32.705583,https://wotton-under-edge.com/new-phone-number-to-report-power-cuts/,Global,Society,-1,100000,50
2024-11-04 10:48:41.996440,https://www.frensham.org/event-details/we-will-rock-you-2023-12-07-19-00,Global,Society,-1,100000,50
2024-11-04 11:39:47.480779,https://byjus.com,Global,Business,500,100000,1
2024-11-04 12:00:47.549570,https://zoominfo.com,Global,Society,10,10000,1
2024-11-04 12:00:49.412789,https://www.zoominfo.com/resources/intent,Global,Society,10,10000,25
2024-11-04 12:00:49.446545,https://www.zoominfo.com/about/case-studies/resellerratings,Global,Society,10,10000,50
2024-11-04 13:53:22.135731,https://www.visitromsey.org/eat/no-5-bell-street,Local,Business,-1,-1,25
2024-11-04 13:56:48.965741,https://byjus.com,Global,Business,500,100000,1
2024-11-04 13:56:59.969740,https://byjus.com/biology/exocrine-glands/,Global,Business,500,100000,50
2024-11-04 13:57:04.231923,https://byjus.com/commerce/goodwill/,Global,Business,500,100000,25
2024-11-04 16:25:07.672901,https://byjus.com,Global,Business,500,100000,1
2024-11-04 16:25:23.232998,https://radleyvillageshop.com/2022/09/16/in-memory-of-iain-winton-1951-2022/,Global,Society,-1,100000,50
2024-11-04 16:25:25.132375,http://greatelm.org/tag/frome-arts-festival/,Global,Society,-1,100000,50
2024-11-04 16:53:08.363924,https://feltwell.net/feltwell2/written/clough_family.htm,Global,Society,-1,100000,50
2024-11-04 16:53:10.600852,http://www.aboutacc.com/2021/01/07/43-a-call-to-persevere/,Global,Society,-1,100000,50
2024-11-04 16:53:14.584928,http://feltwell.net/feltwell2/written/stmary_stained_glass.htm,Global,Society,-1,100000,50
2024-11-04 16:53:20.993168,https://radleyvillageshop.com/about/helping-the-community/,Global,Society,-1,100000,50
2024-11-04 16:53:33.153698,https://feltwell.net/mellenniumfelt/beck1.htm,Global,Society,-1,100000,50
2024-11-04 16:54:56.403760,https://www.springbourne.org/site/blog/page/2?et_blog,Global,Society,-1,1000,50
2024-11-04 16:56:55.770896,http://www.aboutacc.com/2021/01/07/43-a-call-to-persevere/,Global,Society,-1,1000,50
2024-11-04 17:16:35.332402,https://www.uup.org/beattie_calls_for_both_the_chief_constable_and_his_deputy_to_consider_their_positions_and_resign,Global,Society,-1,1000,-1
2024-11-04 17:17:05.932923,https://www.theoracle.com/news/hollywood-bowl-coming-soon,Global,Society,-1,1000000,50
2024-11-04 17:17:32.447404,https://wotton-under-edge.com/stroud-district-council-garden-waste-collection/,Global,Society,-1,1000,50
2024-11-04 17:18:10.671377,https://www.theoracle.com/shop/vision-express,Global,Society,-1,100000,25
2024-11-04 17:37:58.570980,http://www.aboutacc.com/2020/08/05/21-dont-give-up/,Global,Society,-1,100000,50
2024-11-04 17:38:00.823067,https://www.halfway2heaven.net/london/13-07-2025/sundays-halfway,Global,Society,-1,100000,50
2024-11-04 17:39:02.302037,https://www.heraldscotland.com/life_style/25074422.10-uni-treasure-troves-art-open-everyone-visit/,Global,News,-1,10000,-1
2024-11-04 17:39:03.835133,https://www.heraldscotland.com/news/national/uk-today/20130823.marvel-doctor-strange-star-zara-phythian-husband-found-guilty-child-sex-offences/,Global,News,-1,10000,-1
2024-11-04 17:39:26.123034,https://www.heraldscotland.com/news/25037388.islands-golf-upsurge-among-scottish-tour-operators/,Global,News,-1,10000,-1
2024-11-04 17:39:44.852143,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-04 17:40:12.291816,https://byjus.com,Global,Business,500,100000,1
2024-11-04 17:40:16.875072,https://byjus.com/rd-sharma-solutions/class-11-maths-chapter-32-statistics-exercise-32-2/,Global,Business,500,100000,-1
2024-11-04 17:47:20.224815,https://byjus.com,Global,Business,500,100000,1
2024-11-04 17:47:34.888933,https://byjus.com/commerce/intermediate-goods/,Global,Business,500,100000,50
2024-11-04 17:49:28.771354,https://feltwell.net/mellenniumfelt/beck1.htm,Global,Society,-1,100000,50
2024-11-04 17:49:30.525108,http://feltwell.net/raffeltwell/articles/air_show_programme_1952.htm,Global,Society,-1,100000,50
2024-11-04 17:52:39.038863,https://www.allsaintsilkley.org/457/im-new,Global,Society,10,10,25
2024-11-04 18:08:10.025400,https://www.etsy.com/invites/sell/?iid=kx2qflk8p0nsse3mrer8bnwg1ofm00yo2oyusu0v6n0.,Global,Society,100,-1,25
2024-11-04 18:10:58.270152,https://www.springbourne.org/site/what-we-believe,Global,Society,-1,10000,25
2024-11-04 18:18:40.144431,https://www.etsy.com/invites/sell/?iid=46_zp88gufg1gzsilwmt7cfomscuyhrr1rperbyw8jw.,Global,Society,100,-1,25
2024-11-04 18:23:24.367732,https://www.halfway2heaven.net/london/23-10-2025/martha-darthur-thurs-feb25,Global,Society,-1,10000,50
2024-11-04 18:25:59.274387,https://www.uup.org/butler_calls_on_feile_organisers_to_address_issues_of_sectarian_hatred,Global,Society,-1,1000000,-1
2024-11-04 18:36:59.841250,https://www.allsaintsilkley.org/16/wednesday-lunch-group,Global,Society,-1,100000,50
2024-11-04 18:53:45.260165,https://www.uup.org/news?page=48,Global,Society,10,10,25
2024-11-04 19:02:38.096683,https://www.etsy.com/ca/invites/sell/?iid=pgje15wcoq122ijh-h09w75qecznjmisacvakkuyzwg.,Global,Society,100,-1,25
2024-11-04 19:12:53.765447,https://www.aboutacc.com/2023/02/07/january-2023-running-the-race/,Global,Society,-1,100000,50
2024-11-05 08:39:09.195814,https://feltwell.net/mellenniumfelt/limekiln_lane1.htm,Global,Society,-1,100000,50
2024-11-05 08:39:11.861193,http://www.aboutacc.com/2023/11/05/church-a-work-in-progress-17-2/,Global,Society,-1,100000,50
2024-11-05 08:39:17.235656,https://www.zoominfo.com/,Global,Society,10,10000,1
2024-11-05 08:39:21.197726,https://www.zoominfo.com/free-trial?camp_id=7011u000000egn2qag,Global,Society,10,10000,50
2024-11-05 08:39:21.232287,https://www.zoominfo.com/about/case-studies/alchemy-cloud,Global,Society,10,10000,50
2024-11-05 08:42:02.487818,https://byjus.com,Global,Business,500,100000,1
2024-11-05 09:22:35.942489,https://www.etsy.com/invites/sell/?iid=kx2qflk8p0nsse3mrer8bnwg1ofm00yo2oyusu0v6n0.,Global,Society,100,-1,25
2024-11-05 09:23:03.600591,https://www.etsy.com/invites/sell/?iid=4xb5uxrotuo1i8wseftqioj-easswqndiaz4nkejece.,Global,Society,100,-1,25
2024-11-05 09:45:27.627074,https://www.warwickprep.com/news-and-events/latest-news/fun-in-the-rain-at-forest-school,Global,Business,-1,1000,-1
2024-11-05 09:54:07.098565,https://www.halfway2heaven.net/london/10-08-2025/sundays-halfway,Global,Society,-1,100000,50
2024-11-05 11:00:17.749270,https://www.heraldscotland.com/politics/19629524.holyrood-supreme-court-defeat-snp-politicised-legal-standoff-from-start/,Global,News,-1,10000,-1
2024-11-05 11:00:21.781025,https://www.heraldscotland.com/topics/boxing-day/,Global,News,-1,10000,25
2024-11-05 11:16:10.574744,https://byjus.com/free-ias-prep/comprehensive-news-analysis-17-january-2016/,Global,News,500,1000,-1
2024-11-05 11:16:33.222826,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=l2zsawdodhmtznjvbs9tes9jagvhcc1mbglnahrzlwzyb20tbwfsyxlzaweuahrtbd8=&uuid=dd2c107d-3774-11f0-bfcc-c46a559443f6&vid=,Global,News,500,1000,-1
