synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 07:33:22.866143,https://www.baltimorecity.gov/answers/citywide/environment-health,Global,Society,-1,100000,50
2024-11-01 07:33:56.051555,https://az.gov/half-staff/other/half-staff-honor-and-memory-yuma-city-councilman-gary-knight,Global,News,-1,10000,-1
2024-11-01 07:33:59.716984,https://az.gov/half-staff/other/us-senator-daniel-k-inouye-state-hawaii,Global,News,-1,10000,-1
2024-11-01 07:34:05.960612,https://az.gov/tour-arizona,Global,News,-1,10000,25
2024-11-01 08:35:36.541072,https://www.hiawatha-iowa.com/departments/administration/forms/,Global,Business,-1,10000,50
2024-11-01 09:04:41.407242,https://www.baltimorecity.gov/answers/taxonomy/term/998?tid=950,Global,Society,-1,100000,50
2024-11-01 09:04:42.837455,https://www.baltimorecity.gov/answers/taxonomy/term/994?tid=866,Global,Society,-1,100000,50
2024-11-01 09:54:46.638530,https://www.baltimorecity.gov/answers/taxonomy/term/999?tid=887,Global,Society,-1,100000,50
2024-11-01 09:54:53.849813,https://www.baltimorecity.gov/answers/citywide/?tid=994,Global,Society,-1,100000,50
2024-11-01 10:04:54.666795,https://az.gov/half-staff/other/half-staff-honor-former-speaker-jim-weiers,Global,News,-1,10000,-1
2024-11-01 10:04:58.353905,https://az.gov/half-staff/other/half-staff-honor-and-memory-safford-mayor-jason-kouts,Global,News,-1,10000,-1
2024-11-01 10:05:03.960433,https://az.gov/parent-child-resources,Global,News,-1,10000,25
2024-11-01 10:05:33.793407,https://az.gov/visiting-arizona,Global,News,-1,10000,25
2024-11-01 10:28:18.053748,https://libretexts.org/,Global,Business,500,100000,1
2024-11-01 10:28:24.096793,https://wa.gov/,Global,Business,500,100000,1
2024-11-01 10:53:03.312892,https://www.wondershare.com/trustcenter/?utm_source=filmorasite&utm_medium=buypage,Global,Society,-1,10000,-1
2024-11-01 11:05:10.731933,https://www.wondershare.com/?utm_source=fa.wondershare.com&utm_medium=redirect_301,Global,Society,-1,10000,-1
2024-11-01 11:05:27.709057,https://www.wondershare.com/company/end-user-license-agreement.html?cmpscreencustom,Global,Society,-1,10000,-1
2024-11-01 11:58:04.167993,https://www.ca.gov/departments/306/services/1145/,Global,Shopping,100,100000,-1
