synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_path_bin
2024-11-01 08:29:21.539198,http://talkingproud.us/part-3-sczubin-to-moosburg.html,Global,Society,-1,100000,50
2024-11-01 08:29:54.724610,https://www.surfpoint-vietnam.com/members-area/8f778dfd-16e2-44e1-918d-af316bf1205a8983/profile,Global,News,-1,10000,-1
2024-11-01 08:29:58.390039,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/indiana-full-day-mtb-tour.html,Global,News,-1,10000,-1
2024-11-01 08:30:04.633667,https://www.surfpoint-vietnam.com/wingfoil-rental-vietnam,Global,News,-1,10000,25
2024-11-01 09:31:35.214127,https://catbaventures.com/cat-ba-tours/kayaking-fishing-in-lan-ha-bay.html,Global,Business,-1,10000,50
2024-11-01 10:00:40.080297,https://sivanandayogavietnam.org/program/advanced-teacher-training-course/,Global,Society,-1,100000,50
2024-11-01 10:00:41.510510,https://hamchoi.vn/thi-online/lop-3/tieng-anh-moi,Global,Society,-1,100000,50
2024-11-01 10:50:45.311585,http://talkingproud.us/joe-darrigo-big-surprise.html,Global,Society,-1,100000,50
2024-11-01 10:50:52.522868,https://sivanandayogavietnam.org/program/list/?tribe-bar-date=2024-05-12,Global,Society,-1,100000,50
2024-11-01 11:00:53.339850,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/lost-in-vietnam-2-days-tour.html,Global,News,-1,10000,-1
2024-11-01 11:00:57.026960,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/private-and-custimized-tours.html,Global,News,-1,10000,-1
2024-11-01 11:01:02.633488,https://www.surfpoint-vietnam.com/about,Global,News,-1,10000,25
2024-11-01 11:01:32.466462,https://www.vietnam-bicycle.com/en/component/content/,Global,News,-1,10000,25
2024-11-01 11:24:16.726803,https://benhvien108.vn,Global,Business,500,100000,1
2024-11-01 11:24:22.769848,https://vnras.com,Global,Business,500,100000,1
2024-11-01 11:49:01.985947,https://sivanandayogavietnam.org/program/month/2024-06/?shortcode=tribe-widget-events-month--1,Global,Society,-1,10000,-1
2024-11-01 12:54:02.841048,http://namquoctech.vn/san-pham/401/laptop-hp-pavilion-x360-14-dw0063tu-i7.html,Global,Shopping,100,100000,-1
2024-11-01 12:58:24.994552,https://sivanandayogavietnam.org/program/month/2024-06/?shortcode=tribe-widget-events-month--1,Global,Society,-1,10000,-1
2024-11-01 13:58:42.223932,http://talkingproud.us/earthquake.html,Global,Society,-1,1000,25
2024-11-01 14:04:17.607457,https://sivanandayogavietnam.org/vi/trung-tam-ho-chi-minh/,Global,Society,-1,100000,50
2024-11-01 14:04:19.563970,https://hamchoi.vn/thi-online/lop-3/tieng-anh-moi,Global,Society,-1,100000,50
2024-11-01 14:41:23.704620,https://www.surfpoint-vietnam.com/members-area/8f778dfd-16e2-44e1-918d-af316bf1205a8983/profile,Global,News,-1,10000,-1
2024-11-01 14:41:24.968591,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/private-and-custimized-tours.html,Global,News,-1,10000,-1
2024-11-01 14:41:34.455227,https://www.surfpoint-vietnam.com/wingfoil-rental-vietnam,Global,News,-1,10000,25
2024-11-01 14:41:40.406182,https://www.vietnam-bicycle.com/en/,Global,News,-1,10000,25
2024-11-01 14:43:31.310228,https://sivanandayogavietnam.org/sivananda-yoga-dalat-center/,Global,Society,-1,100000,50
2024-11-01 14:47:00.002323,https://phuongnam3.com,Local,Business,-1,-1,1
2024-11-01 15:32:07.088227,https://fitobimbi.vn,Local,Business,-1,-1,1
2024-11-01 16:02:09.431625,https://sivanandayogavietnam.org/program/yoga-on-positive-thinking-5/,Global,Society,-1,100000,50
2024-11-02 11:51:19.356990,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/mountain-bike-tours-in-hoi-an.html,Global,News,-1,10000,-1
2024-11-02 11:51:22.419378,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/56-visite-cam-thanh-village-tra-que-village-cam-ha-village.html,Global,News,-1,10000,-1
2024-11-02 11:51:28.059064,https://www.vietnam-bicycle.com/en/,Global,News,-1,10000,25
2024-11-02 11:51:35.178578,https://www.surfpoint-vietnam.com/blog,Global,News,-1,10000,25
2024-11-02 11:51:50.674752,https://www.surfpoint-vietnam.com/wingfoil-rental-vietnam,Global,News,-1,10000,25
2024-11-02 12:47:40.580892,https://hamchoi.vn/thi-online/lop-9/tieng-anh,Global,Society,-1,100000,50
2024-11-03 16:14:22.676115,https://www.vietnam-bicycle.com/en/cycling-tours-hoian/hit-the-road-4-days-tour.html,Global,News,-1,10000,-1
