synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 08:20:22.323534,https://www.gamesradar.com/greg-hastings-painball-2/,Global,Business,-1,10000,eng,50
2024-11-01 09:06:20.055900,https://www.thesaurus.com/browse/sang-froid,Global,Society,-1,10000,eng,-1
2024-11-01 09:06:50.753096,https://github.com/neuronal-oscillations/flux/blob/main/mnepython/thedataset.ipynb,Global,Society,500,1000,eng,-1
2024-11-01 09:09:30.613578,https://www.thesaurus.com/browse/quick-on-the-trigger,Global,Society,-1,10000,eng,50
2024-11-01 09:09:51.655286,https://github.com/neuronal-oscillations/flux/blob/main/mnepython/thedataset.ipynb,Global,Society,500,1000,eng,-1
2024-11-01 09:11:43.193585,https://www.thesaurus.com/browse/conception,Global,Society,-1,10000,eng,-1
2024-11-01 09:11:54.897444,https://www.thesaurus.com/browse/rationalization,Global,Society,-1,10000,eng,-1
2024-11-01 09:12:05.639029,https://www.thesaurus.com/browse/quick-on-the-trigger,Global,Society,-1,10000,eng,-1
2024-11-01 09:12:09.232547,https://www.thesaurus.com/browse/nixing,Global,Society,-1,10000,eng,-1
2024-11-01 10:37:49.095354,https://www.thesaurus.com/browse/despairing,Global,Society,-1,10000,eng,-1
2024-11-01 10:49:56.514395,https://www.thesaurus.com/browse/quick-on-the-trigger,Global,Society,-1,10000,eng,-1
2024-11-01 10:50:09.642660,https://www.thesaurus.com/browse/wrecking,Global,Society,-1,10000,eng,-1
2024-11-01 10:50:13.491519,https://www.thesaurus.com/browse/despairing,Global,Society,-1,10000,eng,-1
2024-11-01 11:42:49.950455,https://www.njuskalo.hr/sportska-oprema/salomon/?categoryid=15477&showallcategories=1&price%5bmin%5d=10&price%5bmax%5d=39,Global,Shopping,100,100000,ces,-1
2024-11-01 11:47:12.103959,https://www.thesaurus.com/browse/consistent,Global,Society,-1,10000,eng,-1
2024-11-01 12:19:47.446761,https://www.thesaurus.com/browse/simplex,Global,Society,-1,10000,eng,-1
2024-11-01 12:21:32.000666,https://www.thesaurus.com/browse/quick-on-the-trigger,Global,Society,-1,10000,eng,-1
2024-11-01 12:29:07.857559,https://www.thesaurus.com/browse/lion-hearted,Global,Society,-1,10000,eng,-1
2024-11-01 12:29:18.804726,https://www.thesaurus.com/browse/quick-on-the-trigger,Global,Society,-1,10000,eng,-1
2024-11-01 12:47:29.333339,https://mashable.com/article/fitbit-at-nyfw,Global,Society,-1,1000,eng,25
2024-11-04 08:10:25.598856,https://www.njuskalo.hr/glazbala/moving-head/?price%5bmin%5d=0&price%5bmax%5d=189&categoryid=13207,Global,Shopping,100,100000,ces,-1
2024-11-04 08:10:39.848136,https://www.njuskalo.hr/korisnik/bbarulek,Global,Shopping,100,100000,ces,25
2024-11-04 08:10:47.890719,https://www.njuskalo.hr/djecji-svijet/kostimi-za-maskare/,Global,Shopping,100,100000,ces,50
2024-11-04 08:10:54.401883,https://www.njuskalo.hr/korisnik/bbarulek,Global,Shopping,100,100000,ces,25
2024-11-04 08:10:56.963580,https://www.njuskalo.hr/od-glave-do-pete/nike-44-5/?&categoryid=13484,Global,Shopping,100,100000,ces,50
2024-11-04 08:10:58.679983,https://www.njuskalo.hr/od-glave-do-pete/salomon-gojzerice/,Global,Shopping,100,100000,ces,50
2024-11-04 08:11:13.701303,https://www.njuskalo.hr/od-glave-do-pete/apple-remen/?&price%5bmin%5d=30&price%5bmax%5d=,Global,Shopping,100,100000,ces,-1
