synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:24:23.909663,https://wise.com/help/articles/2949782/guide-to-getting-verified?origin=related-article-2977944,Global,Business,-1,10000,eng,50
2024-11-01 10:10:21.642029,https://www.wondershare.com/edrawsoft/,Global,Society,-1,10000,eng,-1
2024-11-01 10:10:52.339225,https://www.weekend.ee/jack-jones-nubuknahast-poolsaapad-leyton-500858.html,Global,Society,500,1000,eng,-1
2024-11-01 10:13:32.199707,https://www.wondershare.com/business/cases/bose.html,Global,Society,-1,10000,eng,50
2024-11-01 10:13:53.241415,https://www.weekend.ee/lastele/koolikotid-ja-seljakotid/reisikohvrid.html,Global,Society,500,1000,eng,-1
2024-11-01 10:15:44.779714,https://www.wondershare.com/products-solutions/digital-creativity/,Global,Society,-1,10000,eng,-1
2024-11-01 10:15:56.483573,https://www.wondershare.com/products-solutions/digital-creativity/photo.html,Global,Society,-1,10000,eng,-1
2024-11-01 10:16:07.225158,https://www.wondershare.com/business/cases/bose.html,Global,Society,-1,10000,eng,-1
2024-11-01 10:16:10.818676,https://www.wondershare.com/about/,Global,Society,-1,10000,eng,-1
2024-11-01 11:41:50.681483,https://www.wondershare.com/products-solutions/digital-creativity/photo.html,Global,Society,-1,10000,eng,-1
2024-11-01 11:53:58.100524,https://www.wondershare.com/ai.html,Global,Society,-1,10000,eng,-1
2024-11-01 11:54:11.228789,https://www.wondershare.com/business/resources.html,Global,Society,-1,10000,eng,-1
2024-11-01 11:54:15.077648,https://www.wondershare.com/business/cases/bose.html,Global,Society,-1,10000,eng,-1
2024-11-01 12:46:51.536584,https://www.k-rauta.ee/p/juhtmevaba-kolar-bose-soundlink-revolve-ii-hall/m6eu,Global,Shopping,100,100000,ces,-1
2024-11-01 12:51:13.690088,https://www.wondershare.com/,Global,Society,-1,10000,eng,-1
2024-11-01 13:09:40.698291,https://www.wondershare.com/business/cases/dubai_police_force.html,Global,Society,-1,10000,eng,-1
2024-11-01 13:23:49.032890,https://www.wondershare.com/ai-solutions/business.html,Global,Society,-1,10000,eng,-1
2024-11-01 13:25:33.586795,https://www.wondershare.com/company/howweoperate/,Global,Society,-1,10000,eng,-1
2024-11-01 13:33:09.443688,https://www.wondershare.com/products-solutions/digital-creativity/photo.html,Global,Society,-1,10000,eng,-1
2024-11-01 13:33:20.390855,https://www.wondershare.com/reviews/allmymusic-for-mac/2.html,Global,Society,-1,10000,eng,-1
2024-11-01 13:51:30.919468,https://www.canva.com/sk_sk/help/brand-voice/,Global,Society,-1,1000,eng,25
2024-11-04 09:14:27.184985,https://soov.ee/24080473-technics-sl-pd867-compact-disc-changer-player/details.html,Global,Shopping,100,100000,ces,-1
2024-11-04 09:14:41.434265,https://soov.ee/listings.php,Global,Shopping,100,100000,ces,25
2024-11-04 09:14:49.476848,https://rahvaraamat.ee/a/authors/jody-eddy/1486678/et,Global,Shopping,100,100000,ces,50
2024-11-04 09:14:55.988012,https://soov.ee/listings.php,Global,Shopping,100,100000,ces,25
