synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 10:25:51.860318,https://www.globalsources.com/site/india-manufacturers-and-suppliers.html,Global,Business,-1,10000,eng,50
2024-11-01 11:11:49.592684,https://unsplash.com/@the_photoman?utm_source=ghost&utm_medium=referral&utm_campaign=api-credit,Global,Society,-1,10000,eng,-1
2024-11-01 11:12:20.289880,https://stackoverflow.com/questions/5182275/datetime-equal-or-greater-than-today-in-mysql/5182310,Global,Society,500,1000,eng,-1
2024-11-01 11:15:00.150362,https://stackoverflow.com/users/1723823/ternarytopiary?tab=articles,Global,Society,-1,10000,eng,50
2024-11-01 11:15:21.192070,https://stackoverflow.com/questions/46323700/dyld-dyld-sim-not-compatible-mach-o,Global,Society,500,1000,eng,-1
2024-11-01 11:17:12.730369,https://unsplash.com/photos/red-and-white-train-on-rail-road-during-daytime-vpkjfzqnlhg,Global,Society,-1,10000,eng,-1
2024-11-01 11:17:24.434228,https://stackoverflow.com/questions/42252029/skipping-of-user-input-by-java,Global,Society,-1,10000,eng,-1
2024-11-01 11:17:38.769331,https://stackoverflow.com/questions/5182275/datetime-equal-or-greater-than-today-in-mysql/5182310,Global,Society,-1,10000,eng,-1
2024-11-01 12:43:18.632138,https://unsplash.com/photos/a-hospital-room-with-a-bed-and-a-window-s5meg_j_w1u,Global,Society,-1,10000,eng,-1
2024-11-01 12:55:39.179444,https://unsplash.com/photos/a-person-typing-on-a-laptop-with-a-cup-of-coffee-1qn0gnp9kk8,Global,Society,-1,10000,eng,-1
2024-11-01 12:55:43.028303,https://unsplash.com/photos/red-and-white-train-on-rail-road-during-daytime-vpkjfzqnlhg,Global,Society,-1,10000,eng,-1
2024-11-01 13:48:19.487239,https://www.linternaute.fr/sport/pratique/1453338-paris-versailles-2018-date-inscription-tarif-distance/,Global,Shopping,100,100000,ces,-1
2024-11-01 13:52:41.640743,https://stackoverflow.com/questions/27555273/passing-parameters-to-verilog-modules,Global,Society,-1,10000,eng,-1
2024-11-01 14:11:08.648946,https://unsplash.com/photos/person-using-black-samsung-laptop-with-cup-and-camera-othx6egkava,Global,Society,-1,10000,eng,-1
2024-11-01 14:25:16.983545,https://unsplash.com/photos/a-person-typing-on-a-laptop-with-a-cup-of-coffee-1qn0gnp9kk8,Global,Society,-1,10000,eng,-1
2024-11-01 14:27:01.537450,https://stackoverflow.com/questions/44080089/how-to-stop-a-running-ttask-thread-safe,Global,Society,-1,10000,eng,-1
2024-11-01 14:34:48.341510,https://stackoverflow.com/questions/27555273/passing-parameters-to-verilog-modules,Global,Society,-1,10000,eng,-1
2024-11-01 14:52:58.870123,https://unsplash.com/@seteph,Global,Society,-1,1000,eng,25
2024-11-04 10:15:55.135640,https://www.linternaute.fr/argent/guide-de-vos-finances/1407730-comment-declarer-les-indemnites-percues-par-un-elu/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:16:09.384920,https://www.linternaute.fr/musique/biographie/2680082-kris-wu-qui-est-le-chanteur-condamne-pour-viol/,Global,Shopping,100,100000,ces,25
2024-11-04 10:16:17.427503,https://www.linternaute.fr/cinema/tous-les-films/2484167-chacun-chez-soi/,Global,Shopping,100,100000,ces,50
2024-11-04 10:16:23.938667,https://www.linternaute.fr/musique/biographie/2680082-kris-wu-qui-est-le-chanteur-condamne-pour-viol/,Global,Shopping,100,100000,ces,25
2024-11-04 10:16:26.500364,https://www.linternaute.fr/cinema/tous-les-films/2484167-chacun-chez-soi/,Global,Shopping,100,100000,ces,50
2024-11-04 10:16:43.238087,https://www.linternaute.fr/bricolage/guide-maison-et-jardin/1410980-se-debarrasser-des-fourmis-nos-astuces-anti-fourmi/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:14.258113,https://www.linternaute.fr/bricolage/guide-maison-et-jardin/equipement-de-la-maison/cuisine/accessoires-cuisine/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:44.852283,https://www.linternaute.fr/cinema/tous-les-films/1874153-truth-le-prix-de-la-verite/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:50.275066,https://www.linternaute.fr/musique/biographie/2680082-kris-wu-qui-est-le-chanteur-condamne-pour-viol/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:55.918276,https://www.linternaute.fr/citation/plus_commentees/1/,Global,Shopping,100,100000,ces,50
2024-11-04 10:17:59.490353,https://www.linternaute.fr/auto/guide-pratique-auto/1408968-embrayage-quand-et-comment-le-changer/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:20:38.841024,https://www.linternaute.fr/cinema/tous-les-films/2105929-fanfan/,Global,Shopping,100,100000,ces,50
2024-11-04 10:22:10.092353,https://www.linternaute.fr/musique/biographie/2680082-kris-wu-qui-est-le-chanteur-condamne-pour-viol/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:22:21.281890,https://www.linternaute.fr/bricolage/guide-maison-et-jardin/1410980-se-debarrasser-des-fourmis-nos-astuces-anti-fourmi/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:22:58.345707,https://www.linternaute.fr/citation/plus_commentees/1/,Global,Shopping,100,100000,ces,50
2024-11-04 10:23:00.995135,https://www.linternaute.fr/cinema/tous-les-films/2105929-fanfan/,Global,Shopping,100,100000,ces,50
2024-11-04 10:23:07.880245,https://www.linternaute.fr/citation/plus_commentees/1/,Global,Shopping,100,100000,ces,50
2024-11-04 10:41:09.498024,https://www.jeuxactu.com/editeur/sony-computer-entertainment-france-1740.htm,Global,Generic,-1,100000,eng,25
2024-11-04 10:41:30.888734,https://www.jeuxactu.com/accessoire/news-playstation-vr-2-24261.htm,Global,Generic,-1,100000,eng,25
2024-11-04 10:41:57.481133,https://www.jeuxactu.com/kingdom-hearts-une-serie-serait-prevue-sur-disney-122301.htm,Global,Generic,-1,100000,eng,25
2024-11-04 10:42:50.819504,https://www.jeuxactu.com/dirt-5-un-trailer-fait-le-tour-du-contenu-la-version-ps5-offerte-123266.htm,Global,Generic,-1,100000,eng,-1
2024-11-04 10:43:13.403416,https://www.jeuxactu.com/starfield-45-min-de-gameplay-ca-laisse-reveur-et-c-est-ultra-promet-129681.htm,Global,Generic,-1,100000,eng,-1
2024-11-04 10:43:22.978737,https://www.jeuxactu.com/blizzard-ne-sera-pas-a-la-gamescom-cette-annee-voila-les-raisons-118159.htm,Global,Generic,-1,100000,eng,-1
2024-11-04 10:43:23.546563,https://www.jeuxactu.com/yakuza-5-tous-les-trailers-du-tokyo-game-show-2012-83214.htm,Global,Generic,-1,100000,eng,25
2024-11-04 10:43:24.766556,https://www.jeuxactu.com/kingdom-hearts-une-serie-serait-prevue-sur-disney-122301.htm,Global,Generic,-1,100000,eng,25
2024-11-04 10:43:37.820800,https://jeuxactu.com,Global,Generic,-1,100000,eng,25
2024-11-04 10:49:37.577369,https://stackoverflow.com/users/1601638/we-b-martians?tab=articles,Global,Society,-1,1000000,eng,50
2024-11-04 13:41:25.350342,https://e-monsite.com,Global,Society,10,10000,ces,1
2024-11-04 13:41:27.213561,https://www.e-monsite.com/?utm_source=cepholopodes-cretaces&utm_medium=pub_deroulante&utm_campaign=site_gratuit,Global,Society,10,10000,ces,25
2024-11-04 13:41:27.247317,https://www.e-monsite.com/pages/presentation/e-commerce/,Global,Society,10,10000,ces,50
2024-11-04 13:41:40.357431,https://www.e-monsite.com/blog/e-commerce/black-friday-e-commerce.html,Global,Society,10,10000,ces,50
2024-11-04 18:35:34.204532,https://unsplash.com/photos/a-close-up-of-some-bamboo-prulk09dyho,Global,Society,-1,1000,eng,50
2024-11-04 18:36:47.805245,https://stackoverflow.com/questions/44080089/how-to-stop-a-running-ttask-thread-safe,Global,Society,-1,10000,eng,-1
2024-11-04 18:37:33.571668,https://stackoverflow.com/help/badges/1/teacher?userid=16446,Global,Society,-1,1000,eng,50
2024-11-04 18:57:13.133174,https://stackoverflow.com/questions/46323700/dyld-dyld-sim-not-compatible-mach-o,Global,Society,-1,1000,eng,-1
2024-11-04 18:58:10.248176,https://stackoverflow.com/users/12323550/kristen?tab=tags,Global,Society,-1,1000,eng,50
2024-11-04 18:58:48.472149,https://unsplash.com/s/photos/key,Global,Society,-1,100000,eng,25
2024-11-04 19:33:16.839635,https://www.apple.com/airpods/,Global,Society,10,10,eng,25
2024-11-04 19:50:51.586436,https://stackoverflow.com/questions/5182275/datetime-equal-or-greater-than-today-in-mysql/5182310,Global,Society,500,1000,eng,-1
2024-11-04 19:51:36.070924,https://unsplash.com/@redmirror,Global,Society,-1,10000,eng,25
2024-11-04 20:04:02.168504,https://stackoverflow.com/users/3864926/bret-van-putten,Global,Society,-1,10000,eng,50
2024-11-04 20:06:08.197438,https://stackoverflow.com/questions/46323700/dyld-dyld-sim-not-compatible-mach-o,Global,Society,500,1000,eng,-1
2024-11-04 20:06:37.075159,https://unsplash.com/photos/two-pink-and-black-umbrellas-selective-focal-photo-pv9zcisdnhi,Global,Society,-1,1000000,eng,-1
2024-11-04 20:34:23.060937,https://www.apple.com/today/newhaven/,Global,Society,10,10,eng,25
2024-11-05 10:19:55.036428,https://www.e-monsite.com/,Global,Society,10,10000,ces,1
2024-11-05 10:19:58.998498,https://www.e-monsite.com/blog/e-commerce/black-friday-e-commerce.html,Global,Society,10,10000,ces,50
2024-11-05 15:08:18.452085,https://stackoverflow.com/users/1601638/we-b-martians?tab=articles,Global,Society,-1,1000000,eng,50
2024-11-05 15:18:35.106908,https://stackoverflow.com/questions/42252029/skipping-of-user-input-by-java,Global,Society,500,1000,eng,-1
2024-11-05 15:18:42.464654,https://unsplash.com/photos/cactus-potted-plant-uoo0iklxpb8,Global,Society,-1,1000000,eng,50
2024-11-05 15:29:14.265249,https://unsplash.com/photos/wpjwcyjhhni,Global,Society,-1,1000,eng,25
2024-11-05 19:14:17.171620,https://www.e-monsite.com/,Global,Society,10,10000,ces,1
2024-11-05 19:14:20.669316,https://www.e-monsite.com/blog/e-commerce/black-friday-e-commerce.html,Global,Society,10,10000,ces,50
2024-11-05 19:14:20.707397,https://www.e-monsite.com/pages/presentation/e-commerce/,Global,Society,10,10000,ces,50
2024-11-06 13:17:24.043043,https://e-monsite.com,Global,Society,10,10000,ces,1
2024-11-06 13:17:26.916236,https://www.e-monsite.com/blog/e-commerce/black-friday-e-commerce.html,Global,Society,10,10000,ces,50
2024-11-06 13:17:26.956696,https://www.e-monsite.com/pages/presentation/e-commerce/,Global,Society,10,10000,ces,50
2024-11-06 13:43:17.419267,https://www.montrichardvaldecher.com/3d-flip-book/cr-detaille-seance-19-octobre/,Local,Society,-1,-1,ces,50
2024-11-06 13:56:39.035278,https://vertou.fr/se-divertir/flamme-olympique-1-2-3-partez/expositions-sportives/,Global,Society,-1,1000000,ces,-1
2024-11-07 19:03:20.080921,https://stackoverflow.com/users/12323550/kristen?tab=tags,Global,Society,-1,1000,eng,50
2024-11-07 19:09:33.112674,https://www.livre-rare-book.com/t/ambassade/443389354-bibliophilie/books/relevance/0,Global,Shopping,-1,1000000,ces,-1
2024-11-07 19:12:23.935821,https://www.apple.com/us-edu/store,Global,Society,10,10,eng,25
2024-11-07 19:57:30.762709,https://www.apple.com/au-edu/shop/buy-ipad/ipad-pro,Global,Society,10,10,eng,50
2024-11-07 19:57:32.838985,https://www.apple.com/newsroom/2024/06/ipados-18-introduces-powerful-intelligence-features-and-apps-for-apple-pencil/,Global,Society,10,10,eng,-1
2024-11-07 19:57:35.678551,https://www.apple.com/us-edu/shop/buy-ipad/ipad-pro?step=select,Global,Society,10,10,eng,50
2024-11-07 19:57:58.421723,https://unsplash.com/photos/a-person-typing-on-a-laptop-with-a-cup-of-coffee-1qn0gnp9kk8,Global,Society,-1,10000,eng,-1
2024-11-07 20:23:04.011725,https://www.commeunefleche.com/anormalement,Local,Business,-1,-1,ces,25
2024-11-07 20:23:42.848153,https://www.electrodepot.fr/maison-entretien-beaute/climatisation-ventilation.html,Global,Shopping,-1,1000000,ces,-1
2024-11-07 21:57:59.002746,https://stackoverflow.com/users/633802/mattypants?tab=profile,Global,Society,-1,10000,eng,50
2024-11-07 22:00:41.814988,https://www.merckmanuals.com/home,Global,Business,-1,10000,eng,25
2024-11-07 22:01:03.852357,https://www.merckmanuals.com/,Global,Business,-1,10000,eng,1
2024-11-07 22:01:12.370358,https://www.shell.com/who-we-are/contact-us/shell-mauritanie.html,Global,Business,-1,10000,eng,50
2024-11-07 22:01:26.245850,https://www.globalsources.com/trade-fair/indonesia-show,Global,Business,-1,10000,eng,50
