synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:14:50.342283,https://www.motor1.com/news/621801/bmw-m3-by-g-power/,Global,Business,-1,10000,eng,50
2024-11-01 10:00:48.074649,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,10000,eng,-1
2024-11-01 10:01:18.771845,https://stackexchange.com/users/8442750/unknown-user,Global,Society,500,1000,eng,-1
2024-11-01 10:03:58.632327,https://www.ibm.com/blog/announcement/ibm-db2-click-to-containerize/,Global,Society,-1,10000,eng,50
2024-11-01 10:04:19.674035,https://www.britannica.com/biography/salif-keita-malian-athlete,Global,Society,500,1000,eng,-1
2024-11-01 10:06:11.212334,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,10000,eng,-1
2024-11-01 11:32:17.114103,https://www.ibm.com/blog/connecting-ibm-vpc-to-ibm-power-virtual-servers-and-ibm-cloud-object-storage/,Global,Society,-1,10000,eng,-1
2024-11-01 11:44:24.533144,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,10000,eng,-1
2024-11-01 11:44:41.510268,https://www.ibm.com/blog/connecting-ibm-vpc-to-ibm-power-virtual-servers-and-ibm-cloud-object-storage/,Global,Society,-1,10000,eng,-1
2024-11-01 12:37:17.969204,https://www.thalia.de/shop/home/suggestartikel/a1062134863?sq=kleine%20weihnachtsschm%c3%b6kerei&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-01 12:41:40.122708,https://www.ibm.com/blog/connecting-ibm-vpc-to-ibm-power-virtual-servers-and-ibm-cloud-object-storage/,Global,Society,-1,10000,eng,-1
2024-11-01 13:00:07.130911,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,10000,eng,-1
2024-11-01 13:16:00.019415,https://www.ibm.com/blog/connecting-ibm-vpc-to-ibm-power-virtual-servers-and-ibm-cloud-object-storage/,Global,Society,-1,10000,eng,-1
2024-11-01 13:41:57.352088,https://www.dictionary.com/browse/cowl,Global,Society,-1,1000,eng,25
2024-11-04 09:04:53.617605,https://www.thalia.de/shop/home/suggestartikel/a1058281891?sq=wenn%20der%20k%c3%b6rper%20nein%20sagt&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-04 09:05:07.866885,https://www.thalia.de/suche?sq=9783453606470,Global,Shopping,100,100000,ces,25
2024-11-04 09:05:15.909468,https://www.thalia.de/kategorie/mcfarlane-mhairi-22583/,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:22.420632,https://www.thalia.de/suche?sq=9783453606470,Global,Shopping,100,100000,ces,25
2024-11-04 09:05:24.982329,https://www.thalia.de/shop/home/artikeldetails/a1068926603,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:26.698732,https://www.thalia.de/kategorie/geschichte-nach-themen-2932/,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:41.720052,https://www.thalia.de/shop/home/suggestartikel/a1058281891?sq=wenn%20der%20k%c3%b6rper%20nein%20sagt&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-04 09:06:12.740078,https://www.thalia.de/shop/home/suggestartikel/a1062134863?sq=kleine%20weihnachtsschm%c3%b6kerei&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-04 09:06:54.400241,https://www.thalia.de/shop/home/artikeldetails/a1063192632,Global,Shopping,100,100000,ces,50
2024-11-04 09:06:57.972318,https://www.thalia.de/shop/home/suggestartikel/a1058281891?sq=wenn%20der%20k%c3%b6rper%20nein%20sagt&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-04 09:09:37.322989,https://www.thalia.de/shop/home/artikeldetails/a1045823637,Global,Shopping,100,100000,ces,50
2024-11-04 09:11:08.574318,https://www.thalia.de/shop/home/suggestartikel/a1058281891?sq=wenn%20der%20k%c3%b6rper%20nein%20sagt&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-04 09:11:19.763855,https://www.thalia.de/shop/home/suggestartikel/a1062134863?sq=kleine%20weihnachtsschm%c3%b6kerei&stype=productname,Global,Shopping,100,100000,ces,-1
2024-11-04 09:11:56.827672,https://www.thalia.de/shop/home/artikeldetails/a1053289131,Global,Shopping,100,100000,ces,50
2024-11-04 09:11:59.477100,https://www.thalia.de/shop/home/artikeldetails/a1059774798,Global,Shopping,100,100000,ces,50
2024-11-04 09:12:02.618564,https://www.thalia.de/shop/home/artikeldetails/a1034362533,Global,Shopping,100,100000,ces,50
2024-11-04 09:12:06.362210,https://www.thalia.de/kategorie/mcfarlane-mhairi-22583/,Global,Shopping,100,100000,ces,50
2024-11-04 09:30:07.979989,https://www.netto-online.de/drogerie/c-n02,Global,Generic,-1,100000,eng,25
2024-11-04 09:30:29.370699,https://www.netto-online.de/-/p-1638525000,Global,Generic,-1,100000,eng,25
2024-11-04 09:30:55.963098,https://www.metro.de/marktplatz/c/mulleimer,Global,Generic,-1,100000,eng,25
2024-11-04 09:31:49.301469,https://www.metro.de/marktplatz/product/0b82278e-d11a-471b-87e0-52c409be68a8,Global,Generic,-1,100000,eng,-1
2024-11-04 09:32:11.885381,https://www.netto-online.de/cangaroo-babyschale-i-size-40-83cm-gruppe-0-gurt-verstellbare-kopfstuetze-grau/p-2602248002,Global,Generic,-1,100000,eng,-1
2024-11-04 09:32:21.460702,https://www.metro.de/marktplatz/product/06a6ab74-708b-4a46-9660-c10de6e2896b,Global,Generic,-1,100000,eng,-1
2024-11-04 09:32:22.028528,https://www.metro.de/marktplatz/c/mulleimer,Global,Generic,-1,100000,eng,25
2024-11-04 09:32:23.248521,https://www.metro.de/marktplatz/c/gasgrills,Global,Generic,-1,100000,eng,25
2024-11-04 09:32:36.302765,https://www.netto-online.de/drogerie/c-n02,Global,Generic,-1,100000,eng,25
2024-11-04 09:38:36.059334,https://administrator.de/user/raistlin47/?action=statistic,Global,Society,-1,1000000,eng,50
2024-11-04 09:38:47.001347,https://administrator.de/user/liam584/?action=comments,Global,Society,-1,1000000,eng,50
2024-11-04 12:30:23.832307,https://berlin.de,Global,Society,10,10000,ces,1
2024-11-04 12:30:25.695526,https://www.ihk.de/aachen/standortpolitik,Global,Society,10,10000,ces,25
2024-11-04 12:30:25.729282,https://www.niedersachsen.de/75jahregg/75-jahre-grundgesetz-229162.html,Global,Society,10,10000,ces,50
2024-11-04 12:30:38.839396,https://www.muenchen.de/service/branchenbuch/dachau/u/1613.html,Global,Society,10,10000,ces,50
2024-11-04 17:24:32.686497,https://www.ibm.com/resources/automate/rethink-retailoperations,Global,Society,-1,1000,eng,50
2024-11-04 17:25:46.287210,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,10000,eng,-1
2024-11-04 17:26:32.053633,https://www.dictionary.com/e/love-adding-emoji-dictionary/,Global,Society,-1,1000,eng,50
2024-11-04 17:46:11.615139,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,1000,eng,-1
2024-11-04 17:47:08.730141,https://www.dictionary.com/compare-words/biogenesis-vs-abiogenesis,Global,Society,-1,1000,eng,50
2024-11-04 17:47:46.954114,https://com.de/register/,Global,Society,-1,100000,eng,25
2024-11-04 18:22:15.321600,https://stackexchange.com/users/219461/seth,Global,Society,10,10,eng,25
2024-11-04 18:39:50.068401,https://www.britannica.com/topic/genesis-british-rock-group,Global,Society,500,1000,eng,-1
2024-11-04 18:40:34.552889,https://www.dictionary.com/browse/armourer,Global,Society,-1,10000,eng,25
2024-11-04 18:53:00.650469,https://www.ibm.com/blog/announcement/ibm-db2-click-to-containerize/,Global,Society,-1,10000,eng,50
2024-11-04 18:55:06.679403,https://stackexchange.com/users/5455775/ryuakamatsu,Global,Society,500,1000,eng,-1
2024-11-04 18:55:35.557124,https://administrator.de,Global,Society,-1,1000000,eng,-1
2024-11-04 19:23:21.542902,https://www.dictionary.com/browse/sequent,Global,Society,10,10,eng,25
2024-11-05 09:08:53.518393,https://nabu.de,Global,Society,10,10000,ces,1
2024-11-05 09:08:57.480463,https://hessen.de/handeln/kritische-infrastruktur,Global,Society,10,10000,ces,50
2024-11-05 09:08:57.515024,https://www.muenchen.de/service/branchenbuch/guide/handwerker.html,Global,Society,10,10000,ces,50
2024-11-05 13:57:16.934050,https://administrator.de/user/liam584/?action=comments,Global,Society,-1,1000000,eng,50
2024-11-05 14:07:33.588873,https://www.britannica.com/browse/environment/2,Global,Society,500,1000,eng,-1
2024-11-05 14:07:40.946619,https://administrator.de/user/liam584/?action=comments,Global,Society,-1,1000000,eng,50
2024-11-05 14:18:12.747214,https://www.dictionary.com/browse/dances,Global,Society,-1,1000,eng,25
2024-11-05 18:03:15.653585,https://niedersachsen.de,Global,Society,10,10000,ces,1
2024-11-05 18:03:19.151281,https://www.arbeitsagentur.de/vor-ort/offenbach/helen-keller-schule,Global,Society,10,10000,ces,50
2024-11-05 18:03:19.189362,https://www.ihk.de/oldenburg/kontakt/feedbackformular-5434680,Global,Society,10,10000,ces,50
2024-11-05 18:04:11.940988,https://www.berlin.de/bergmannkiez/modellprojekt/probelauf/,Global,Society,10,10000,ces,50
2024-11-06 12:06:22.525008,https://nabu.de,Global,Society,10,10000,ces,1
2024-11-06 12:06:25.398201,https://www.muenchen.de/service/branchenbuch/dachau/u/1613.html,Global,Society,10,10000,ces,50
2024-11-06 12:06:25.438661,https://hessen.de/themen-a-z/kabinett-besucht-talente,Global,Society,10,10000,ces,50
2024-11-06 12:32:15.901232,https://www.gemeinde-haag.de/sitzungen-zolling.n40.html,Local,Society,-1,-1,ces,50
2024-11-06 12:45:37.517243,https://www.falkensee.de/veranstaltungen/2520925/2024/10/12/kinder-kultur-monat-was-sammelt-ein-museum.html,Global,Society,-1,1000000,ces,-1
2024-11-07 17:52:18.562886,https://www.ibm.com/blog/announcement/ibm-db2-click-to-containerize/,Global,Society,-1,1000,eng,50
2024-11-07 17:58:31.594639,https://www.moviejones.de/filme/16839/state-of-violence-kampf-der-gerechtigkeit.html,Global,Shopping,-1,1000000,ces,-1
2024-11-07 18:01:22.417786,https://www.dictionary.com/browse/criminal,Global,Society,10,10,eng,25
2024-11-07 18:46:29.244674,https://www.britannica.com/place/thar-desert/additional-info,Global,Society,10,10,eng,50
2024-11-07 18:46:31.320950,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,10,10,eng,-1
2024-11-07 18:46:34.160516,https://www.britannica.com/place/limerick-county-ireland,Global,Society,10,10,eng,50
2024-11-07 18:46:56.903688,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,10000,eng,-1
2024-11-07 19:12:02.493690,https://www.mvp.de/fahrgastschifffahrt/,Local,Business,-1,-1,ces,25
2024-11-07 19:12:41.330118,https://bz-ticket.de/suche/ergebnis?r=110&realm=421&loc=das+kulturhaus&type=1&sort=datum&t=,Global,Shopping,-1,1000000,ces,-1
2024-11-07 20:46:57.484711,https://administrator.de/user/liam584/?action=comments,Global,Society,-1,10000,eng,50
2024-11-07 20:49:40.296953,https://www.subway.com/es-hn,Global,Business,-1,10000,eng,25
2024-11-07 20:50:02.334322,https://subway.com,Global,Business,-1,10000,eng,1
2024-11-07 20:50:10.852323,https://www.motor1.com/photos/733262/2021-audi-q5/#5062820_2021-audi-q5,Global,Business,-1,10000,eng,50
2024-11-07 20:50:24.727815,https://www.motor1.com/photos/870987/cadillac-escalade-v-by-hennessey/,Global,Business,-1,10000,eng,50
2024-11-07 20:50:27.738636,https://www.motor1.com/news/260939/mercedes-amg-project-one/,Global,Business,-1,10000,eng,50
2024-11-07 20:50:31.370290,https://www.shell.com/who-we-are/contact-us/shell-mauritanie.html,Global,Business,-1,10000,eng,50
2024-11-07 20:50:37.411994,https://www.motor1.com/photos/885897/2025-ferrari-purosangue-review/,Global,Business,-1,10000,eng,50
2024-11-07 20:53:24.913873,https://www.shell.com/business-customers/chemicals/our-products/shell-performance-surfactants.html,Global,Business,-1,10000,eng,-1
2024-11-07 20:53:47.619118,https://www.shell.com/motorist/find-the-right-oil.html,Global,Business,-1,10000,eng,50
2024-11-08 10:03:24.329672,https://www.ibm.com/blog/connecting-ibm-vpc-to-ibm-power-virtual-servers-and-ibm-cloud-object-storage/,Global,Society,-1,1000,eng,-1
2024-11-08 10:03:48.996706,https://www.ibm.com/blog/announcement/ibm-watson-orchestrate-is-integrating-with-thisway-global/,Global,Society,-1,1000,eng,-1
2024-11-08 10:03:50.054368,https://www.ibm.com/blog/connecting-ibm-vpc-to-ibm-power-virtual-servers-and-ibm-cloud-object-storage/,Global,Society,-1,1000,eng,-1
2024-11-08 10:03:50.613369,https://www.ibm.com/support/pages/apar/pm75650,Global,Society,-1,1000,eng,50
2024-11-08 10:07:36.775902,https://www.dictionary.com/browse/dances,Global,Society,-1,1000,eng,25
2024-11-08 10:08:48.612347,https://administrator.de/user/sonderbarer/?action=statistic,Global,Society,-1,10000,eng,50
2024-11-08 10:08:55.743759,https://www.ibm.com/blog/author/guruprakash-subbarao/,Global,Society,-1,1000,eng,50
2024-11-08 10:09:00.983516,https://www.dictionary.com/compare-words/biogenesis-vs-abiogenesis,Global,Society,-1,1000,eng,50
2024-11-08 10:09:03.099995,https://www.ibm.com/support/pages/apar/pm75650,Global,Society,-1,1000,eng,50
2024-11-08 10:09:04.167328,https://www.ibm.com/blog/announcement/ibm-db2-click-to-containerize/,Global,Society,-1,1000,eng,50
2024-11-08 10:51:50.425497,https://pressreader.com,Global,News,10,10000,ces,1
2024-11-08 10:52:31.675705,https://www.t-online.de/region/kiel/id_100013500/thw-kiel-mit-sieg-ueber-loewen-in-richtung-champions-league.html,Global,News,10,10000,ces,-1
2024-11-08 10:52:41.904056,https://www.t-online.de/heim-garten/wohnen/id_45493280/darum-sollten-sie-die-ikea-klausel-kennen.html,Global,News,10,10000,ces,-1
2024-11-08 10:53:54.348249,https://www.sportskeeda.com/live-kabaddi-score/gujarat-giants-vs-haryana-steelers-26-february-2024,Global,News,10,10000,ces,-1
2024-11-08 10:53:58.374036,https://www.rbb-online.de/unternehmen/der_rbb/geschichte/geschichte_des_rbb.html,Global,News,10,10000,ces,-1
2024-11-08 10:53:59.232333,https://www.rbb-online.de/rbbpraxis/archiv/20230419_2015/chronische-ueberlastung-burn-on.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:01.721370,https://www.br.de/br-fernsehen/sendungen/dahoam-is-dahoam/dahoam-is-dahoam-dahoam-in-bayern-kathi-huehner-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:02.368354,https://www.t-online.de/nachrichten/ausland/id_100449510/usa-unterstuetzen-vorschlag-fuer-friedensgipfel-mit-russland.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:03.047890,https://www.daserste.de/information/wissen-kultur/w-wie-wissen/alkohol-112.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:03.630394,https://www.stuttgarter-zeitung.de/inhalt.ines-aufrecht-die-neue-brueckenbauerin.5d3780f6-f3af-423f-bc67-20c66fae5a2c.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:04.666966,"https://www.br.de/nachrichten/deutschland-welt/us-militaer-beginnt-vergeltungsangriffe-in-irak-und-syrien,u3ckpbv",Global,News,10,10000,ces,-1
2024-11-08 10:54:05.336390,"https://www.hessenschau.de/politik/25-kommunen-in-hessen-melden-cyberattacken-v1,kurz-cyber-104.html",Global,News,10,10000,ces,-1
2024-11-08 10:54:05.937002,https://t3n.de/store/campaign/ae0618cb-9b48-4d76-b3eb-8a0bdd6d384a,Global,News,10,10000,ces,-1
2024-11-08 10:54:06.531766,"https://www.hessenschau.de/politik/25-kommunen-in-hessen-melden-cyberattacken-v1,kurz-cyber-104.html",Global,News,10,10000,ces,-1
2024-11-08 10:54:07.089514,https://www.derwesten.de/staedte/oberhausen/neue-baustelle-im-autobahnkreuz-oberhausen-id3959370.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:08.994004,"https://www.br.de/nachrichten/deutschland-welt/us-militaer-beginnt-vergeltungsangriffe-in-irak-und-syrien,u3ckpbv",Global,News,10,10000,ces,-1
2024-11-08 10:54:09.788299,https://www.t-online.de/digital/smartphone/id_85761736/auch-ohne-virenschutz-wie-sie-auf-android-schadsoftware-vermeiden.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:10.337714,https://www.t-online.de/heim-garten/garten/id_70833222/eigener-pool-im-garten-kosten-zubehoer-und-pflege-checkliste.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:10.949872,"https://www.ndr.de/sport/fussball/50_jahre_bundesliga/st-pauli-1997-aufwaerts-abwaerts-abstieg,pauliabstieg103.html",Global,News,10,10000,ces,-1
2024-11-08 10:54:11.520828,https://www.br.de/nachrichten/meldung/biden-sagt-israel-unterstuetzung-gegen-alle-bedrohungen-aus-dem-iran-zu%2c30069d190,Global,News,10,10000,ces,-1
2024-11-08 10:54:12.282255,https://www.ndr.de/kultur/norddeutsche_sprache/plattdeutsch/woerterbuch101_region-18340.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:13.171221,https://www.t-online.de/region/bremen/id_100446734/hellseatic-in-bremen-metal-festival-steht-auf-der-kippe-hilferuf.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:13.753745,https://www.daserste.de/unterhaltung/film/filme-im-ersten/sendung/the-fortress-5-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:15.242941,https://www.stuttgarter-zeitung.de/inhalt.nachfolgedebatte-warten-auf-oezdemir.a9d57d39-2e56-4a80-9ccf-ea801e76b195.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:15.800037,https://www.stuttgarter-zeitung.de/inhalt.juniwetter-endlich-normales-juniwetter.b1c98f0d-bf3f-4cb2-ae06-5bc4152edacf.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:16.661216,https://www.derwesten.de/region/digitaler-impfpass-nrw-impfpflicht-smartphone-handy-impfen-id232499269.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:17.321398,https://www.daserste.de/unterhaltung/krimi/tatort/kommissare/karin-hanczewski-als-karin-gorniak100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:21.185463,https://www.ndr.de/der_ndr/presse/mitteilungen/pressemeldungndr9357.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:27.104320,https://www.derwesten.de/region/flughafen-duesseldorf-anreise-bahn-baustelle-hoeren-id301064925.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:32.794251,https://www.daserste.de/unterhaltung/serie/sexuell-verfuegbar/sendung/sexuell-verfuegbar-folge-3-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:37.848809,https://www.pressreader.com/australia/the-guardian-australia/20240503/281548000968102,Global,News,10,10000,ces,-1
2024-11-08 10:54:39.651347,https://www.rbb-online.de/unserleben/reportagen/verliebt--verzweifelt--vereint.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:40.483117,https://www.t-online.de/unterhaltung/stars/id_100449448/roland-kaiser-seltene-aufnahmen-von-kindern-und-enkelin.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:41.282102,https://www.derwesten.de/sport/sportmix/formel-1-tv-livestream-sky-orf-servustv-srf-belgien-rennen-id300431115.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:41.947868,https://www.stuttgarter-zeitung.de/inhalt.juniwetter-endlich-normales-juniwetter.b1c98f0d-bf3f-4cb2-ae06-5bc4152edacf.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:42.610341,https://www.br.de/fernsehen/ard-alpha/programmkalender/ausstrahlung-2190900.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:43.049818,https://www.mdr.de/wissen/umwelt-klima/erholung-grundwasserspeicher-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:43.322225,https://www.mdr.de/mdr-garten/pflanzen/winterbluehende-gehoelze-straeucher-104~amp.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:44.394731,https://www.mdr.de/nachrichten/thueringen/mitte-thueringen/erfurt/kraemerbrueckenfest-verkehr-102.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:44.682502,https://www.mdr.de/wissen/bildung/warum-undwieviel-kinder-luegen-soziales-umfeld-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:45.329763,"https://www.ndr.de/radiomv/regionalnachrichten-aus-schwerin,audio1510460.html",Global,News,10,10000,ces,-1
2024-11-08 10:54:46.103201,https://www.derwesten.de/politik/rente-erhoehung-2024-bundesarbeitsminister-hubertus-heil-zukunft-a-id300888754.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:46.815204,https://www.br.de/radio/bayern2/programmkalender/ausstrahlung-2316612.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:49.722907,https://www.mdr.de/mdr-garten/geniessen/rezept-apfel-weihnachten-102_showimage-garten3034_zc-42b2a3d1.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:50.593216,https://www.daserste.de/information/politik-weltgeschehen/weltspiegel/sendung/brasilien-amazonas-regenwald-kipppunkt-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:53.064421,https://www.br.de/mediathek/podcast/radiowissen/der-nationalpark-bayerischer-wald-alles-natur/2066897,Global,News,10,10000,ces,-1
2024-11-08 10:54:53.672401,https://www.sportskeeda.com/football/rumor-liverpool-barcelona-talks-stunning-swap-deal-january-reports,Global,News,10,10000,ces,-1
2024-11-08 10:54:54.538298,https://www.mdr.de/nachrichten-leicht/woerterbuch/glossar-blinden-reporter-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:55.138865,https://www.t-online.de/digital/smartphone/id_85761736/auch-ohne-virenschutz-wie-sie-auf-android-schadsoftware-vermeiden.html,Global,News,10,10000,ces,-1
2024-11-08 10:54:55.538200,https://www.pressreader.com/guyana/stabroek-news-sunday/20240707/282029037439582,Global,News,10,10000,ces,-1
2024-11-08 10:54:56.749614,https://www.hessenschau.de/sport/ergebnisse-tabellen/fussball-176~_matchday-33.html,Global,News,10,10000,ces,-1
2024-11-08 10:57:23.885330,https://www.rbb-online.de/unternehmen/presse/presseinformationen/programm/2022/01/20220109_up_up.html,Global,News,10,10000,ces,-1
