synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 10:06:28.398388,https://www.rome2rio.com/s/nearby-airports/miritini,Global,Business,-1,10000,eng,50
2024-11-01 10:52:26.130754,https://tenor.com/view/sailor-moon-we-can-try-again-tomorrow-gif-14712857,Global,Society,-1,10000,eng,-1
2024-11-01 10:52:56.827950,https://stackoverflow.com/questions/5182275/datetime-equal-or-greater-than-today-in-mysql/5182310,Global,Society,500,1000,eng,-1
2024-11-01 10:55:36.688432,https://tenor.com/view/burn-in-hell-devil-wears-gif-24559648,Global,Society,-1,10000,eng,50
2024-11-01 10:55:57.730140,https://stackoverflow.com/questions/46323700/dyld-dyld-sim-not-compatible-mach-o,Global,Society,500,1000,eng,-1
2024-11-01 10:57:49.268439,https://tenor.com/view/nite-nite-sweet-dreams-nite-nite-good-nite-good-night-night-night-gif-17243739541046675803,Global,Society,-1,10000,eng,-1
2024-11-01 10:58:00.972298,https://tenor.com/view/shin-tsukimi-shin-shinona-your-turn-to-die-gif-2020449536541729675,Global,Society,-1,10000,eng,-1
2024-11-01 10:58:11.713883,https://tenor.com/view/antha-ezhu-naatkal-saavu-kuthu-khaja-sharif-dance-saavu-dance-gif-25773282,Global,Society,-1,10000,eng,-1
2024-11-01 10:58:15.307401,https://tenor.com/view/ready-im-ready-running-spongebob-squarepants-gif-4184916,Global,Society,-1,10000,eng,-1
2024-11-01 12:23:55.170208,https://tenor.com/view/fail-play-stupid-games-win-stupid-prizes-stupid-gif-18184930,Global,Society,-1,10000,eng,-1
2024-11-01 12:36:02.589249,https://tenor.com/view/nite-nite-sweet-dreams-nite-nite-good-nite-good-night-night-night-gif-17243739541046675803,Global,Society,-1,10000,eng,-1
2024-11-01 12:36:15.717514,https://tenor.com/view/gravous-lrmite-the-office-michael-scott-adapt-gif-24315563,Global,Society,-1,10000,eng,-1
2024-11-01 12:36:19.566373,https://tenor.com/view/adam-jensen-deus-ex-deus-ex-human-revolution-deus-ex-mankind-divided-cyberpunk-gif-23892280,Global,Society,-1,10000,eng,-1
2024-11-01 13:28:56.025309,https://galeriasavaria.hu/termekek/reszletek/numizmatika-penz-erme/5516676/50-lei-1992--romania/,Global,Shopping,100,100000,ces,-1
2024-11-01 13:33:18.178813,https://tenor.com/view/adam-jensen-deus-ex-deus-ex-human-revolution-deus-ex-mankind-divided-cyberpunk-gif-23892280,Global,Society,-1,10000,eng,-1
2024-11-01 13:51:45.187016,https://tenor.com/view/chipkali-chipkali-knight-knightsirkapawri-kingtpawri-newtsirka-bachha-gif-21143751,Global,Society,-1,10000,eng,-1
2024-11-01 14:05:53.521615,https://tenor.com/view/gravous-lrmite-the-office-michael-scott-adapt-gif-24315563,Global,Society,-1,10000,eng,-1
2024-11-01 14:07:38.075520,https://tenor.com/view/friends-ross-break-sassy-annoyed-gif-4969734,Global,Society,-1,10000,eng,-1
2024-11-01 14:15:13.932413,https://tenor.com/view/moxxie-helluva-helluva-boss-not-a-possum-possum-gif-20208834,Global,Society,-1,10000,eng,-1
2024-11-01 14:15:24.879580,https://tenor.com/view/screaming-screech-shouting-yelling-shout-gif-10725688960042638301,Global,Society,-1,10000,eng,-1
2024-11-01 14:33:35.408193,https://stackexchange.com/users/12688448/tim,Global,Society,-1,1000,eng,25
2024-11-04 09:56:31.673710,https://galeriasavaria.hu/felhasznalo/bejelentkezes/?ref=%2ftermekek%2freszletek%2fkeramia%2f3483356%2ftermekjelentes,Global,Shopping,100,100000,ces,-1
2024-11-04 09:56:45.922990,https://www.filmkatalogus.hu/forum-36780-5,Global,Shopping,100,100000,ces,25
2024-11-04 09:56:53.965573,https://www.mafab.hu/movies/outlander-az-idegen-7-evad-561446.html,Global,Shopping,100,100000,ces,50
2024-11-04 09:57:00.476737,https://www.mafab.hu/movies/-655509.html,Global,Shopping,100,100000,ces,25
2024-11-04 09:57:03.038434,https://www.filmkatalogus.hu/hozzaszolasok-261498-187,Global,Shopping,100,100000,ces,50
2024-11-04 09:57:04.754837,https://www.filmkatalogus.hu/repulok-vonatok-es-automobilok--f4591,Global,Shopping,100,100000,ces,50
2024-11-04 09:57:19.776157,https://galeriasavaria.hu/termekek/reszletek/uveg/4393262/antik-rozsaszin-fujt-uveg-vaza/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:57:50.796183,https://galeriasavaria.hu/kereses/numizmatika-penz-erme/kulfoldi-fempenz/?keyword=1922+korona&auction=2,Global,Shopping,100,100000,ces,-1
2024-11-04 09:58:21.390353,https://galeriasavaria.hu/felhasznalo/bejelentkezes/?ref=%2ftermekek%2freszletek%2fkeramia%2f5156661%2ftermekjelentes,Global,Shopping,100,100000,ces,-1
2024-11-04 09:58:26.813136,https://galeriasavaria.hu/termekek/reszletek/festmeny/4234627/szentessy-keretezett-eletkep-lovakkal/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:58:32.456346,https://www.filmkatalogus.hu/hozzaszolasok-261498-187,Global,Shopping,100,100000,ces,50
2024-11-04 09:58:36.028423,https://galeriasavaria.hu/termekek/reszletek/numizmatika-penz-erme/5516676/50-lei-1992--romania/,Global,Shopping,100,100000,ces,-1
2024-11-04 10:01:15.379094,https://galeriasavaria.hu/kereses/konyv/?keyword=losonczi&,Global,Shopping,100,100000,ces,50
2024-11-04 10:02:46.630423,https://galeriasavaria.hu/termekek/reszletek/kep-grafika/5768494/vasarely-nyomat-alairt./,Global,Shopping,100,100000,ces,-1
2024-11-04 10:02:57.819960,https://galeriasavaria.hu/kereses/numizmatika-penz-erme/kulfoldi-fempenz/?keyword=1922+korona&auction=2,Global,Shopping,100,100000,ces,-1
2024-11-04 10:03:34.883777,https://www.filmkatalogus.hu/az-en-hazamban--ertekelesek-f13680,Global,Shopping,100,100000,ces,50
2024-11-04 10:03:37.533205,https://www.filmkatalogus.hu/rafal-krolikowski--sz8403,Global,Shopping,100,100000,ces,50
2024-11-04 10:03:40.674669,https://www.mafab.hu/movies/the-third-day-331683.html,Global,Shopping,100,100000,ces,50
2024-11-04 10:03:44.418315,https://www.filmkatalogus.hu/nicole-brown-simpson-meggyilkolasa--f61707,Global,Shopping,100,100000,ces,50
2024-11-04 10:21:46.036094,https://www.bocskaikert.hu/kepviselo-testulet,Global,Generic,-1,100000,eng,25
2024-11-04 10:22:07.426804,https://www.szegedvaros.hu/marton-vanessza,Global,Generic,-1,100000,eng,25
2024-11-04 10:22:34.019203,https://www.szegedvaros.hu/racz-zoltanne,Global,Generic,-1,100000,eng,25
2024-11-04 10:23:27.357574,https://www.autoalkatresz.hu/auto-motor/felfuggesztesek_gumibakok/opel-astra-h-motortarto-bak-valtotartobak-1711794,Global,Generic,-1,100000,eng,-1
2024-11-04 10:23:49.941486,http://sarospatak.hu/kategoria/rendezvenyek/rendezvenyek-unnepseg-megemlekezes/page/3/,Global,Generic,-1,100000,eng,-1
2024-11-04 10:23:59.516807,https://www.szegedvaros.hu/ovodafejlesztesi-program-szegeden-i-utem-klebelsberg-telepi-ovoda-energetikai-korszerusitese,Global,Generic,-1,100000,eng,-1
2024-11-04 10:24:00.084633,https://www.szegedvaros.hu/nemes-nikolett,Global,Generic,-1,100000,eng,25
2024-11-04 10:24:01.304626,https://www.yettel.hu/feltoltes,Global,Generic,-1,100000,eng,25
2024-11-04 10:24:14.358870,http://sarospatak.hu/kategoria/egeszsegugy/,Global,Generic,-1,100000,eng,25
2024-11-04 10:30:14.115439,https://stackoverflow.com/help/badges/1/teacher?userid=16446,Global,Society,-1,1000000,eng,50
2024-11-04 10:30:25.057452,https://stackoverflow.com/help/badges/1287/excavator?userid=5423717,Global,Society,-1,1000000,eng,50
2024-11-04 13:22:01.888412,https://tenor.com,Global,Society,10,10000,ces,1
2024-11-04 13:22:03.751631,https://tenor.com/users/nfont475,Global,Society,10,10000,ces,25
2024-11-04 13:22:03.785387,https://tenor.com/view/happy-birthday-male-gif-26530825,Global,Society,10,10000,ces,50
2024-11-04 13:22:16.895501,https://atw.hu/atwiki/kuldhetek_hirlevelet_a_tarhelyrol,Global,Society,10,10000,ces,50
2024-11-04 18:16:10.742602,https://www.techradar.com/author/john-loeffler/page/4,Global,Society,-1,1000,eng,50
2024-11-04 18:17:24.343315,https://tenor.com/view/nite-nite-sweet-dreams-nite-nite-good-nite-good-night-night-night-gif-17243739541046675803,Global,Society,-1,10000,eng,-1
2024-11-04 18:18:10.109738,https://stackoverflow.com/help/badges/1/teacher?userid=16446,Global,Society,-1,1000,eng,50
2024-11-04 18:37:49.671244,https://stackoverflow.com/questions/51876823/telegram-bot-with-python-telegram-bot-library,Global,Society,-1,1000,eng,-1
2024-11-04 18:38:46.786246,https://stackexchange.com/users/5455775/ryuakamatsu,Global,Society,-1,1000,eng,50
2024-11-04 18:39:25.010219,https://kiskinizs.hu/hvb-meghivok/embed/,Global,Society,-1,100000,eng,25
2024-11-04 19:13:53.377705,https://www.apple.com/us-edu/store,Global,Society,10,10,eng,25
2024-11-04 19:31:28.124506,https://stackoverflow.com/questions/27555273/passing-parameters-to-verilog-modules,Global,Society,500,1000,eng,-1
2024-11-04 19:32:12.608994,https://tenor.com/users/nfont475,Global,Society,-1,10000,eng,25
2024-11-04 19:44:38.706574,https://tenor.com/view/burn-in-hell-devil-wears-gif-24559648,Global,Society,-1,10000,eng,50
2024-11-04 19:46:44.735508,https://stackoverflow.com/questions/44080089/how-to-stop-a-running-ttask-thread-safe,Global,Society,500,1000,eng,-1
2024-11-04 19:47:13.613229,https://www.samsung.com/africa_en/support/mobile-devices/how-to-optimize-charging-of-your-galaxy-smartphone/,Global,Society,-1,1000000,eng,-1
