synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:52:26.058025,https://www.purewow.com/family/best-halloween-games-for-kids,Global,Business,-1,10000,eng,50
2024-11-01 10:38:23.790391,https://tenor.com/view/fail-play-stupid-games-win-stupid-prizes-stupid-gif-18184930,Global,Society,-1,10000,eng,-1
2024-11-01 10:38:54.487587,https://stackoverflow.com/questions/51876823/telegram-bot-with-python-telegram-bot-library,Global,Society,500,1000,eng,-1
2024-11-01 10:41:34.348069,https://tenor.com/view/not-correct-not-false-selfie-gif-13851192,Global,Society,-1,10000,eng,50
2024-11-01 10:41:55.389777,https://stackoverflow.com/questions/27555273/passing-parameters-to-verilog-modules,Global,Society,500,1000,eng,-1
2024-11-01 10:43:46.928076,https://www.roku.com/blog/jillian-michaels-5-tips-to-keep-your-fitness-new-years-resolutions,Global,Society,-1,10000,eng,-1
2024-11-01 10:43:58.631935,https://www.roku.com/whats-on/movies/francis-of-brooklyn?id=1888aebeb8a35af39dc0d693f0389656,Global,Society,-1,10000,eng,-1
2024-11-01 10:44:09.373520,https://tenor.com/view/nite-nite-sweet-dreams-nite-nite-good-nite-good-night-night-night-gif-17243739541046675803,Global,Society,-1,10000,eng,-1
2024-11-01 10:44:12.967038,https://www.roku.com/blog/jillian-michaels-5-tips-to-keep-your-fitness-new-years-resolutions,Global,Society,-1,10000,eng,-1
2024-11-01 12:09:52.829845,https://www.roku.com/blog/stream-vuelta-espana-cycling-events-roku-platform,Global,Society,-1,10000,eng,-1
2024-11-01 12:22:00.248886,https://tenor.com/view/ready-im-ready-running-spongebob-squarepants-gif-4184916,Global,Society,-1,10000,eng,-1
2024-11-01 12:22:13.377151,https://tenor.com/view/moxxie-helluva-helluva-boss-not-a-possum-possum-gif-20208834,Global,Society,-1,10000,eng,-1
2024-11-01 12:22:17.226010,https://tenor.com/view/adam-jensen-deus-ex-deus-ex-human-revolution-deus-ex-mankind-divided-cyberpunk-gif-23892280,Global,Society,-1,10000,eng,-1
2024-11-01 13:14:53.684946,https://www.boards.ie/discussion/2057671293/pilsner-urquell-supply-and-or-price-issues,Global,Shopping,100,100000,ces,-1
2024-11-01 13:19:15.838450,https://tenor.com/view/friends-ross-break-sassy-annoyed-gif-4969734,Global,Society,-1,10000,eng,-1
2024-11-01 13:37:42.846653,https://www.roku.com/whats-on/movies/mandy?id=d8e7af880774537cbf8c601e55dbde45,Global,Society,-1,10000,eng,-1
2024-11-01 13:51:51.181252,https://www.roku.com/products/roku-tv?utm_source=organic_social&utm_medium=rokublog,Global,Society,-1,10000,eng,-1
2024-11-01 13:53:35.735157,https://tenor.com/view/sailor-moon-we-can-try-again-tomorrow-gif-14712857,Global,Society,-1,10000,eng,-1
2024-11-01 14:01:11.592050,https://tenor.com/view/shin-tsukimi-shin-shinona-your-turn-to-die-gif-2020449536541729675,Global,Society,-1,10000,eng,-1
2024-11-01 14:01:22.539217,https://www.roku.com/blog/no-more-juggling-remotes-control-your-tv-power-and-volume-with-our-new-remote,Global,Society,-1,10000,eng,-1
2024-11-01 14:19:33.067830,https://www.howstuffworks.com/hsw-contact.htm,Global,Society,-1,1000,eng,25
2024-11-04 09:42:29.333347,https://www.boards.ie/discussion/2057773019/pw-boards-fantasy-league-tournament-2017-now-open/p15,Global,Shopping,100,100000,ces,-1
2024-11-04 09:42:43.582627,https://www.boards.ie/discussion/comment/118295937,Global,Shopping,100,100000,ces,25
2024-11-04 09:42:51.625210,https://www.boards.ie/categories/forum-game-tournaments,Global,Shopping,100,100000,ces,50
2024-11-04 09:42:58.136374,https://www.boards.ie/discussion/2057761342/ucd-social-science-schedule-2016-17,Global,Shopping,100,100000,ces,25
2024-11-04 09:43:00.698071,https://www.boards.ie/discussions/tagged/charity/p3,Global,Shopping,100,100000,ces,50
2024-11-04 09:43:02.414474,https://www.boards.ie/discussion/2055461195/the-myths-of-facial-hair,Global,Shopping,100,100000,ces,50
2024-11-04 09:43:17.435794,https://www.boards.ie/discussion/2057773019/pw-boards-fantasy-league-tournament-2017-now-open/p15,Global,Shopping,100,100000,ces,-1
2024-11-04 09:43:48.455820,https://www.boards.ie/discussion/2057671293/pilsner-urquell-supply-and-or-price-issues,Global,Shopping,100,100000,ces,-1
2024-11-04 09:44:19.049990,https://www.boards.ie/discussion/2058313654/what-type-of-phone-have-you,Global,Shopping,100,100000,ces,-1
2024-11-04 09:44:24.472773,https://www.boards.ie/discussion/2057761342/ucd-social-science-schedule-2016-17,Global,Shopping,100,100000,ces,-1
2024-11-04 09:44:30.115983,https://www.boards.ie/categories/forum-game-tournaments,Global,Shopping,100,100000,ces,50
2024-11-04 09:44:33.688060,https://www.boards.ie/discussion/2057671293/pilsner-urquell-supply-and-or-price-issues,Global,Shopping,100,100000,ces,-1
2024-11-04 09:47:13.038731,https://www.boards.ie/discussion/2057461264/the-rising-stars,Global,Shopping,100,100000,ces,50
2024-11-04 09:48:44.290060,https://www.boards.ie/discussion/2057011295/the-boards-ie-world-manager-application-thread/p3,Global,Shopping,100,100000,ces,-1
2024-11-04 09:48:55.479597,https://www.boards.ie/discussion/2058313654/what-type-of-phone-have-you,Global,Shopping,100,100000,ces,-1
2024-11-04 09:49:32.543414,https://www.boards.ie/discussion/2057461264/the-rising-stars,Global,Shopping,100,100000,ces,50
2024-11-04 09:49:35.192842,https://www.boards.ie/discussion/2056843997/digital-download-transfer,Global,Shopping,100,100000,ces,50
2024-11-04 09:49:38.334306,https://www.boards.ie/discussion/2055461195/the-myths-of-facial-hair,Global,Shopping,100,100000,ces,50
2024-11-04 09:49:42.077952,https://www.boards.ie/discussion/2057933330/johnes-control-programme,Global,Shopping,100,100000,ces,50
2024-11-04 10:07:43.695731,https://www.myvue.com/film/mangalavaram,Global,Generic,-1,100000,eng,25
2024-11-04 10:08:05.086441,https://www.myvue.com/film/fantastic-machine,Global,Generic,-1,100000,eng,25
2024-11-04 10:08:31.678840,https://www.myvue.com/film/mangalavaram,Global,Generic,-1,100000,eng,25
2024-11-04 10:09:25.017211,https://www.jet2holidays.com/canary-islands/lanzarote/playa-blanca/villa-lolita,Global,Generic,-1,100000,eng,-1
2024-11-04 10:09:47.601123,https://www.myvue.com/news-competitions/film-related-activities-for-kids,Global,Generic,-1,100000,eng,-1
2024-11-04 10:09:57.176444,https://www.jet2holidays.com/canary-islands/fuerteventura/corralejo/fuentepark-apartments,Global,Generic,-1,100000,eng,-1
2024-11-04 10:09:57.744270,https://www.myvue.com/film/mangalavaram,Global,Generic,-1,100000,eng,25
2024-11-04 10:09:58.964263,https://www.jet2holidays.com/influencer/form,Global,Generic,-1,100000,eng,25
2024-11-04 10:10:12.018507,https://www.jet2holidays.com/luxe-collection,Global,Generic,-1,100000,eng,25
2024-11-04 10:16:11.775076,https://www.tipperarycoco.ie/arts-and-culture/music-generation-programme,Global,Society,-1,1000000,eng,50
2024-11-04 10:16:22.717089,https://clarecoco.ie/services/planning/grants/,Global,Society,-1,1000000,eng,50
2024-11-04 13:07:59.548049,https://zoominfo.com,Global,Society,10,10000,ces,1
2024-11-04 13:08:01.411268,https://tenor.com/users/endergy,Global,Society,10,10000,ces,25
2024-11-04 13:08:01.445024,https://tenor.com/view/happy-birthday-male-gif-26530825,Global,Society,10,10000,ces,50
2024-11-04 13:08:14.555138,https://www.zoominfo.com/p/matina-whitney/1563493986,Global,Society,10,10000,ces,50
2024-11-04 18:02:08.402239,https://square.site/book/jb9rcx566cnj4/vibrant-faces-s-plainfield-nj,Global,Society,-1,1000,eng,50
2024-11-04 18:03:22.002952,https://tenor.com/view/ready-im-ready-running-spongebob-squarepants-gif-4184916,Global,Society,-1,10000,eng,-1
2024-11-04 18:04:07.769375,https://www.ibm.com/support/pages/apar/pm75650,Global,Society,-1,1000,eng,50
2024-11-04 18:23:47.330881,https://square.site/book/f47p2rqnh3qtq/elysium-spirit-massage-body-treatment-experts-marietta-ga,Global,Society,-1,1000,eng,-1
2024-11-04 18:24:44.445883,https://www.canva.com/it_it/biglietti/modelli/invito/,Global,Society,-1,1000,eng,50
2024-11-04 18:25:22.669856,https://heritageireland.ie/recruitment/,Global,Society,-1,100000,eng,25
2024-11-04 18:59:51.037342,https://www.apple.com/us-edu/store,Global,Society,10,10,eng,25
2024-11-04 19:17:25.784143,https://stackoverflow.com/questions/51876823/telegram-bot-with-python-telegram-bot-library,Global,Society,500,1000,eng,-1
2024-11-04 19:18:10.268631,https://tenor.com/users/nfont475,Global,Society,-1,10000,eng,25
2024-11-04 19:30:36.366211,https://www.roku.com/?gclid=civjn8njjkycfdda2godtaqtza,Global,Society,-1,10000,eng,50
2024-11-04 19:32:42.395145,https://stackoverflow.com/questions/42252029/skipping-of-user-input-by-java,Global,Society,500,1000,eng,-1
2024-11-04 19:33:11.272866,https://www.weddingsonline.ie/blog/top-tips-for-couples-planning-a-wedding-during-covid-19/,Global,Society,-1,1000000,eng,-1
2024-11-04 20:00:57.258644,https://www.apple.com/newsroom/,Global,Society,10,10,eng,25
2024-11-05 09:46:29.234135,https://roku.com,Global,Society,10,10000,ces,1
2024-11-05 09:46:33.196205,https://www.zoominfo.com/p/susan-rhoades/8497483120,Global,Society,10,10000,ces,50
2024-11-05 14:34:52.649792,https://tipperarycoco.ie/arts-and-culture/arts-act-grant,Global,Society,-1,1000000,eng,50
2024-11-05 14:45:09.304615,https://stackoverflow.com/questions/44080089/how-to-stop-a-running-ttask-thread-safe,Global,Society,500,1000,eng,-1
