synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:33:52.316960,https://www.bcg.com/about/people/experts/jaap-backx,Global,Business,-1,10000,eng,50
2024-11-01 10:19:50.049326,https://dev.to/hightopo/what-virtual-reality-vr-can-bring-to-various-industries-4jgm,Global,Society,-1,10000,eng,-1
2024-11-01 10:20:20.746522,https://www.digitaltrends.com/gaming/nes-classic-playstation-sales-prove-retro-gaming-is-no-fad/,Global,Society,500,1000,eng,-1
2024-11-01 10:23:00.607004,https://pitchbook.com/profiles/investor/167652-55,Global,Society,-1,10000,eng,50
2024-11-01 10:23:21.648712,https://www.digitaltrends.com/computing/apple-arm-silicon-benchmarks-leak-good/,Global,Society,500,1000,eng,-1
2024-11-01 10:25:13.187011,https://dev.to/hightopo/what-virtual-reality-vr-can-bring-to-various-industries-4jgm,Global,Society,-1,10000,eng,-1
2024-11-01 10:25:24.890870,https://www.myheritage.com/us-state-privacy-notice?tr_id=m_9h8542y6xm_xmgmkty879,Global,Society,-1,10000,eng,-1
2024-11-01 10:25:35.632455,https://www.wework.com/ideas/community-stories/member-spotlight/schoolyard-farms-students-get-hands-dirty-learn-eat-right,Global,Society,-1,10000,eng,-1
2024-11-01 10:25:39.225973,https://www.wework.com/ideas/category/community-stories/employee-spotlight/page/2,Global,Society,-1,10000,eng,-1
2024-11-01 11:51:19.088780,https://www.myheritage.com/us-state-privacy-notice?tr_id=m_9h8542y6xm_xmgmkty879,Global,Society,-1,10000,eng,-1
2024-11-01 12:03:26.507821,https://www.alberta.ca/release.cfm?xid=8969427be11ef-e81d-8c16-a8107d8b8ea8330d,Global,Society,-1,10000,eng,-1
2024-11-01 12:03:39.636086,https://dev.to/tspannhw/deleting-schemas-from-cloudera-schema-registry-k4f,Global,Society,-1,10000,eng,-1
2024-11-01 12:03:43.484945,https://www.wework.com/newsroom/boston-consulting-group-opens-first-ever-office-in-nashville-at-wework,Global,Society,-1,10000,eng,-1
2024-11-01 12:56:19.943881,https://www.nih.gov/news-events/news-releases/five-named-niams-advisory-council,Global,Shopping,100,100000,ces,-1
2024-11-01 13:00:42.097385,https://dev.to/adammc331/the-imposters-guide-to-dependency-injection-1eak,Global,Society,-1,10000,eng,-1
2024-11-01 13:19:09.105588,https://www.myheritage.com/family-tree-builder?tr_id=m_6tuigclj2y_hy88ij3xhr,Global,Society,-1,10000,eng,-1
2024-11-01 13:33:17.440187,https://dev.to/harshdand/react-performance-optimization-tips-4238,Global,Society,-1,10000,eng,-1
2024-11-01 13:35:01.994092,https://www.myheritage.com/us-state-privacy-notice?tr_id=m_9h8542y6xm_xmgmkty879,Global,Society,-1,10000,eng,-1
2024-11-01 13:42:37.850985,https://www.wework.com/ideas/workspace-solutions/flexible-products/collaboration-spaces,Global,Society,-1,10000,eng,-1
2024-11-01 13:42:48.798152,https://www.alberta.ca/release.cfm?xid=892704e81f63a-b5b7-2cea-3ce186da236bde1b,Global,Society,-1,10000,eng,-1
2024-11-01 14:00:59.326765,https://500px.com/photo/10102409,Global,Society,-1,1000,eng,25
2024-11-04 09:23:55.592282,https://www.nih.gov/about-nih/what-we-do/nih-almanac/national-institute-neurological-disorders-stroke-ninds,Global,Shopping,100,100000,ces,-1
2024-11-04 09:24:09.841562,https://www.britannica.com/print/article/452858,Global,Shopping,100,100000,ces,25
2024-11-04 09:24:17.884145,https://www.britannica.com/topic/senate-united-states-government,Global,Shopping,100,100000,ces,50
2024-11-04 09:24:24.395309,https://www.britannica.com/dictionary/ghetto,Global,Shopping,100,100000,ces,25
2024-11-04 09:24:26.957006,https://www.fandom.com/universe/choices-stories-you-play,Global,Shopping,100,100000,ces,50
2024-11-04 09:24:28.673409,https://www.fandom.com/articles/harley-quinn-inspired-workout,Global,Shopping,100,100000,ces,50
2024-11-04 09:24:43.694729,https://www.nih.gov/news-events/news-releases/low-levels-brain-chemical-may-lead-obesity-nih-study-rare-disorder-shows,Global,Shopping,100,100000,ces,-1
2024-11-04 09:25:14.714755,https://www.nih.gov/about-nih/what-we-do/nih-almanac/national-institute-neurological-disorders-stroke-ninds,Global,Shopping,100,100000,ces,-1
2024-11-04 09:25:45.308925,https://www.fandom.com/articles/turkey-day-unappreciated-movies-thankful,Global,Shopping,100,100000,ces,-1
2024-11-04 09:25:50.731708,https://www.nih.gov/news-events/news-releases/nih-grantee-wins-2010-nobel-prize-chemistry,Global,Shopping,100,100000,ces,-1
2024-11-04 09:25:56.374918,https://www.fandom.com/articles/honest-game-trailers-far-cry-6,Global,Shopping,100,100000,ces,50
2024-11-04 09:25:59.946995,https://www.nih.gov/news-events/news-releases/nih-grantee-wins-2010-nobel-prize-chemistry,Global,Shopping,100,100000,ces,-1
2024-11-04 09:28:39.297666,https://www.fandom.com/articles/best-vr-games-2016,Global,Shopping,100,100000,ces,50
2024-11-04 09:30:10.548995,https://www.nih.gov/about-nih/what-we-do/get-involved-nih/nih-outreach-education,Global,Shopping,100,100000,ces,-1
2024-11-04 09:30:21.738532,https://www.nih.gov/news-events/news-releases/nih-pcori-announce-major-award-prevent-falls-injuries-older-people,Global,Shopping,100,100000,ces,-1
2024-11-04 09:30:58.802349,https://www.britannica.com/science/pharyngeal-pouch,Global,Shopping,100,100000,ces,50
2024-11-04 09:31:01.451777,https://www.nih.gov/health-information?terms=asthma,Global,Shopping,100,100000,ces,50
2024-11-04 09:31:08.336887,https://www.fandom.com/articles/honest-game-trailers-far-cry-6,Global,Shopping,100,100000,ces,50
2024-11-04 09:49:09.954666,https://www.noon.com/uae-en/leaf-tea-jar-225grams/n27680925a/p/?o=f1d7645b12281e3b,Global,Generic,-1,100000,eng,25
2024-11-04 09:49:57.937775,https://www.noon.com/egypt-en/frying-and-cooking-oil-700ml/n43003143a/p/?o=efcd0f8739a4223a,Global,Generic,-1,100000,eng,25
2024-11-04 09:50:51.276146,https://www.noon.com/uae-en/accupressure-foot-slipper/n22907293a/p/?o=a3ac8666abb80d9a,Global,Generic,-1,100000,eng,-1
2024-11-04 09:51:13.860058,https://www.noon.com/uae-en/easy-tie-on-wrist-support-left-hand-l-xl/z3d749303ac364bc7a2cez/p/,Global,Generic,-1,100000,eng,-1
2024-11-04 09:51:23.435379,https://www.noon.com/egypt-en/frying-and-cooking-oil-700ml/n43003143a/p/?o=efcd0f8739a4223a,Global,Generic,-1,100000,eng,-1
2024-11-04 09:51:24.003205,https://www.noon.com/egypt-ar/barista-coffee-maker-600w-600-0-w-cm31316a-black/n31914309a/p/?o=c5004a47d0bcd8ae,Global,Generic,-1,100000,eng,25
2024-11-04 09:51:25.223198,https://www.noon.com/saudi-en/blood-glucose-monitoring-system/n53387628a/p/,Global,Generic,-1,100000,eng,25
2024-11-04 09:51:38.277442,https://www.noon.com/egypt-ar/the-mellow-chair-outdoor/z742dd1674c9b28d9ac8bz/p/,Global,Generic,-1,100000,eng,25
2024-11-04 09:57:38.034011,https://www.karmanow.com/shop/?retailers=1272&page=1,Global,Society,-1,1000000,eng,50
2024-11-04 09:57:48.976024,https://www.secrettelaviv.com/best/tags/shops/lior-optica-tel-aviv,Global,Society,-1,1000000,eng,50
2024-11-04 12:49:25.806984,https://tiktok.com,Global,Society,10,10000,ces,1
2024-11-04 12:49:27.670203,https://www.tiktok.com/@etjahat_aman1,Global,Society,10,10000,ces,25
2024-11-04 12:49:27.703959,https://www.tiktok.com/@cenaslamentaveis?_t=8oelaggncju&_r=1,Global,Society,10,10000,ces,50
2024-11-04 17:43:34.661174,https://500px.com/photo/232843371/veronica-by-dmitry-sn,Global,Society,-1,1000,eng,50
2024-11-04 17:44:48.261887,https://www.myheritage.com/wiki/contacting_dna_matches_across_different_platforms,Global,Society,-1,10000,eng,-1
2024-11-04 17:45:34.028310,https://500px.com/photo/232843371/veronica-by-dmitry-sn,Global,Society,-1,1000,eng,50
2024-11-04 18:05:13.589816,https://www.canva.com/photos/made_awe3ns-plants-growing-through-landscape-fabric/,Global,Society,-1,1000,eng,-1
2024-11-04 18:06:10.704818,https://www.canva.com/nl_nl/sjablonen/s/plan-van-aanpak/,Global,Society,-1,1000,eng,50
2024-11-04 18:06:48.928791,https://www.varonis.com/blog/data-privacy,Global,Society,-1,100000,eng,25
2024-11-04 18:41:17.296277,https://www.tiktok.com/@alex.seifried.coaching,Global,Society,10,10,eng,25
