synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:10:53.071316,https://www.nyk.com/english/news/2022/20220304_01.html,Global,Business,-1,10000,eng,50
2024-11-01 09:56:50.803682,https://www.android.com/intl/en_uk/phones/google-pixel-2/?authuser=0&hl=pl,Global,Society,-1,10000,eng,-1
2024-11-01 09:57:21.500878,https://qiita.com/yanoshin@github,Global,Society,500,1000,eng,-1
2024-11-01 10:00:01.361360,https://www.ywcastpaul.org/building-update-oct-4-2019/,Global,Society,-1,10000,eng,50
2024-11-01 10:00:22.403068,https://qiita.com/yanoshin@github,Global,Society,500,1000,eng,-1
2024-11-01 10:02:13.941367,https://www.canva.com/photos/mad5wc86o5o-top-view-photo-of-person-writing-on-white-paper/,Global,Society,-1,10000,eng,-1
2024-11-01 11:28:19.843136,https://www.android.com/intl/fr_fr/everyone/facts/democratizing-information-1/,Global,Society,-1,10000,eng,-1
2024-11-01 11:40:27.262177,https://www.android.com/intl/en_uk/phones/google-pixel-2/?authuser=0&hl=pl,Global,Society,-1,10000,eng,-1
2024-11-01 11:40:40.390442,https://www.canva.com/photos/madyr4qmjng-photo-of-woman-standing-on-shallow-water/,Global,Society,-1,10000,eng,-1
2024-11-01 11:40:44.239301,https://www.android.com/intl/fr_fr/everyone/facts/democratizing-information-1/,Global,Society,-1,10000,eng,-1
2024-11-01 12:33:20.698237,https://www.apple.com/ph-edu/shop/buy-ipad/ipad-air/13-inch-display-512gb-blue-wifi?product=mv723pp/a&step=select,Global,Shopping,100,100000,ces,-1
2024-11-01 12:37:42.851741,https://www.canva.com/photos/mad5wc86o5o-top-view-photo-of-person-writing-on-white-paper/,Global,Society,-1,10000,eng,-1
2024-11-01 12:56:09.859944,https://www.canva.com/sv_se/mallar/eaejuzhqvq0-bl-fj-drar-m-nster-citat-bokm-rke/,Global,Society,-1,10000,eng,-1
2024-11-01 13:10:18.194543,https://www.canva.com/photos/mad5wc86o5o-top-view-photo-of-person-writing-on-white-paper/,Global,Society,-1,10000,eng,-1
2024-11-01 13:12:02.748448,https://www.android.com/intl/en_uk/phones/google-pixel-2/?authuser=0&hl=pl,Global,Society,-1,10000,eng,-1
2024-11-01 13:19:38.605341,https://www.android.com/intl/fr_fr/everyone/facts/democratizing-information-1/,Global,Society,-1,10000,eng,-1
2024-11-01 13:38:00.081121,https://www.android.com/intl/en_ca/android-11/,Global,Society,-1,1000,eng,25
2024-11-04 09:00:56.346638,https://www.apple.com/shop/buy-iphone/iphone-se/4.7-inch-display-128gb-midnight-att?product=mmx53ll/a&step=select,Global,Shopping,100,100000,ces,-1
2024-11-04 09:01:10.595918,https://www.exblog.jp/genre/sport/baseball,Global,Shopping,100,100000,ces,25
2024-11-04 09:01:18.638501,https://www.ameba.jp/profile/general/asunoakashi/,Global,Shopping,100,100000,ces,50
2024-11-04 09:01:25.149665,https://toyokeizai.net/articles/-/4106?page=3,Global,Shopping,100,100000,ces,25
2024-11-04 09:01:27.711362,https://www.lemon8-app.com/lemon3861869665/7386526808865243653?region=jp,Global,Shopping,100,100000,ces,50
2024-11-04 09:01:29.427765,https://www.hotpepper.jp/strj000147824/course/hpds/?rdt=20240723,Global,Shopping,100,100000,ces,50
2024-11-04 09:01:44.449085,https://www.apple.com/newsroom/2024/06/ipados-18-introduces-powerful-intelligence-features-and-apps-for-apple-pencil/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:02:15.469111,https://www.apple.com/today/event/spotlight-find-the-right-mac/7222744343139168000/?sn=r151,Global,Shopping,100,100000,ces,-1
2024-11-04 09:02:46.063281,https://www.apple.com/newsroom/2006/09/06apple-imac-line-now-features-intel-core-2-duo-processors-in-every-model/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:02:51.486064,https://www.apple.com/today/event/get-started-mac/7219094391301188352/?sn=r077,Global,Shopping,100,100000,ces,-1
2024-11-04 09:02:57.129274,https://www.ameba.jp/profile/general/group-en/,Global,Shopping,100,100000,ces,50
2024-11-04 09:03:00.701351,https://www.apple.com/today/event/get-started-mac/7219094391301188352/?sn=r077,Global,Shopping,100,100000,ces,-1
2024-11-04 09:05:40.052022,https://www.hotpepper.jp/strj000797056/course/hpds/?rdt=20240813,Global,Shopping,100,100000,ces,50
2024-11-04 09:07:11.303351,https://www.apple.com/?fbclid=iwar0itikr-xzupx6acevrqzbmtzzu6qbhoxzyaz8az1xgyzcmct_ka4lu-rg,Global,Shopping,100,100000,ces,-1
2024-11-04 09:07:22.492888,https://www.apple.com/newsroom/2006/09/06apple-imac-line-now-features-intel-core-2-duo-processors-in-every-model/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:07:59.556705,https://www.lemon8-app.com/hannarozebeatty/7309996083478823429?region=us,Global,Shopping,100,100000,ces,50
2024-11-04 09:08:02.206133,https://toyokeizai.net/articles/-/397196?page=6,Global,Shopping,100,100000,ces,50
2024-11-04 09:08:05.347597,https://www.nifty.com/eymike/ukwtopey002900.html,Global,Shopping,100,100000,ces,50
2024-11-04 09:08:09.091243,https://www.lemon8-app.com/im__krazey/7281486079114084869?region=jp,Global,Shopping,100,100000,ces,50
2024-11-04 09:26:10.709022,https://www.aoki-style.com/shop/store/0584,Global,Generic,-1,100000,eng,25
2024-11-04 09:26:32.099732,https://www.aoki-style.com/shop/store/0153,Global,Generic,-1,100000,eng,25
2024-11-04 09:26:58.692131,https://www.uqwimax.jp/mobile/gimon/properuse/,Global,Generic,-1,100000,eng,25
2024-11-04 09:27:52.030502,https://www.hakonenavi.jp/list/?htag=onsen&htag_area=hakoneyumoto_area&page=2,Global,Generic,-1,100000,eng,-1
2024-11-04 09:28:14.614414,https://www.hakonenavi.jp/list/?htag=togendai&htag_area=miyanoshita_kowakudani_area,Global,Generic,-1,100000,eng,-1
2024-11-04 09:28:24.189735,https://www.hakonenavi.jp/list/?htag=western&htag_area=miyanoshita_kowakudani_area,Global,Generic,-1,100000,eng,-1
2024-11-04 09:28:24.757561,https://www.tokyodisneyresort.jp/goods/132004926/,Global,Generic,-1,100000,eng,25
2024-11-04 09:28:25.977554,https://www.yamada-denki.jp/store/contents/?d=504,Global,Generic,-1,100000,eng,25
