synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:26:06.325987,https://www.lonelyplanet.com/articles/best-coffee-in-munich,Global,Business,-1,10000,eng,50
2024-11-01 10:12:04.058353,https://www.cherryservers.com/blog/how-to-do-string-comparison-in-python-with-examples,Global,Society,-1,10000,eng,-1
2024-11-01 10:12:34.755549,https://stackexchange.com/users/1303947/000,Global,Society,500,1000,eng,-1
2024-11-01 10:15:14.616031,https://www.cherryservers.com/bare-metal-dedicated-servers,Global,Society,-1,10000,eng,50
2024-11-01 10:15:35.657739,https://stackexchange.com/users/12688448/tim,Global,Society,500,1000,eng,-1
2024-11-01 10:17:27.196038,https://www.cherryservers.com/blog/almalinux-review-a-centos-clone-supported-by-cloudlinux,Global,Society,-1,10000,eng,-1
2024-11-01 10:17:38.899897,https://www.cherryservers.com/blog/how-to-set-up-zfs-file-system-for-postgresql-on-ubuntu-22-04,Global,Society,-1,10000,eng,-1
2024-11-01 10:17:49.641482,https://www.cherryservers.com/blog/the-complete-overview-of-devops-cloud-native-tools,Global,Society,-1,10000,eng,-1
2024-11-01 10:17:53.235000,https://www.cherryservers.com/blog/how-to-do-string-comparison-in-python-with-examples,Global,Society,-1,10000,eng,-1
2024-11-01 11:43:33.097807,https://www.cherryservers.com/blog/the-complete-overview-of-devops-cloud-native-tools,Global,Society,-1,10000,eng,-1
2024-11-01 11:55:53.645113,https://www.cherryservers.com/blog/how-to-set-up-zfs-file-system-for-postgresql-on-ubuntu-22-04,Global,Society,-1,10000,eng,-1
2024-11-01 11:55:57.493972,https://www.cherryservers.com/blog/the-complete-overview-of-devops-cloud-native-tools,Global,Society,-1,10000,eng,-1
2024-11-01 12:48:33.952908,https://www.ermitazas.lt/p/grindu-valymo-rinkinys-magic-ultra-14-l-by8pp9zv,Global,Shopping,100,100000,ces,-1
2024-11-01 12:52:56.106412,https://www.cherryservers.com/blog/the-complete-overview-of-devops-cloud-native-tools,Global,Society,-1,10000,eng,-1
2024-11-01 13:11:23.114615,https://www.cherryservers.com/blog/how-to-set-up-zfs-file-system-for-postgresql-on-ubuntu-22-04,Global,Society,-1,10000,eng,-1
2024-11-01 13:25:31.449214,https://www.cherryservers.com/blog/the-complete-overview-of-devops-cloud-native-tools,Global,Society,-1,10000,eng,-1
2024-11-01 13:53:13.335792,https://www.cherryservers.com/legal/cookies,Global,Society,-1,1000,eng,25
2024-11-04 09:16:09.601309,https://www.ermitazas.lt/p/hankook-ventus-st-rh06-285-55r18-113-v-36svfjeb,Global,Shopping,100,100000,ces,-1
2024-11-04 09:16:23.850589,https://www.gintarine.lt/purskiami-4,Global,Shopping,100,100000,ces,25
2024-11-04 09:16:31.893172,https://www.ermitazas.lt/p/cable-hdmi-hdmi-5m-cromo-37874-lindy-c3krydrl,Global,Shopping,100,100000,ces,50
2024-11-04 09:16:38.404336,https://www.gintarine.lt/pastiles,Global,Shopping,100,100000,ces,25
2024-11-04 09:16:40.966033,https://www.gintarine.lt/kremai-jautriai-veido-odai,Global,Shopping,100,100000,ces,50
2024-11-04 09:16:42.682436,https://www.ermitazas.lt/p/plauku-dziovintuvas-jimmy-f7-bch29f79,Global,Shopping,100,100000,ces,50
2024-11-04 09:16:57.703756,https://www.ermitazas.lt/p/vonios-spintele-cersanit-moduo-50-balta-hy569vne,Global,Shopping,100,100000,ces,-1
2024-11-04 09:17:28.723782,https://www.ermitazas.lt/p/savigreziai-din7504k-5-5-x-38-mm-cinkuoti-20-vnt-5u7zeg4b,Global,Shopping,100,100000,ces,-1
2024-11-04 09:17:59.317952,https://www.ermitazas.lt/p/vonios-spintele-cersanit-moduo-50-balta-hy569vne,Global,Shopping,100,100000,ces,-1
2024-11-04 09:18:04.740735,https://www.ermitazas.lt/p/vandens-filtro-kasete-gac-10-aktyvuotos-granuliuotos-anglies-rlntpyps,Global,Shopping,100,100000,ces,-1
2024-11-04 09:18:10.383945,https://www.ermitazas.lt/p/fortuna-winter-suv-245-70r16-111-t-49zgubnn,Global,Shopping,100,100000,ces,50
2024-11-04 09:18:13.956022,https://www.ermitazas.lt/p/kryzminis-perjungiklis-su-lempute-be-remelio-vilma-qr1000-matines-juodos-sp-8rcunhp5,Global,Shopping,100,100000,ces,-1
2024-11-04 09:20:53.306693,https://www.gintarine.lt/top-5-kosmetikos-priemones-ziemai,Global,Shopping,100,100000,ces,50
2024-11-04 09:22:24.558022,https://www.ermitazas.lt/p/vonios-spintele-cersanit-moduo-50-balta-hy569vne,Global,Shopping,100,100000,ces,-1
2024-11-04 09:22:35.747559,https://www.ermitazas.lt/p/grindu-valymo-rinkinys-magic-ultra-14-l-by8pp9zv,Global,Shopping,100,100000,ces,-1
2024-11-04 09:23:12.811376,https://www.gintarine.lt/ambio-maisto-papildai-vaikams,Global,Shopping,100,100000,ces,50
2024-11-04 09:23:15.460804,https://www.gintarine.lt/burnos-higienos-priemones-10,Global,Shopping,100,100000,ces,50
2024-11-04 09:23:18.602268,https://www.ermitazas.lt/p/fortuna-winter-suv-245-70r16-111-t-49zgubnn,Global,Shopping,100,100000,ces,50
2024-11-04 09:23:22.345914,https://www.gintarine.lt/top-5-kosmetikos-priemones-ziemai,Global,Shopping,100,100000,ces,50
2024-11-04 09:41:23.963693,https://academic-accelerator.com/impact-of-journal/interaction-studies,Global,Generic,-1,100000,eng,25
2024-11-04 09:41:45.354403,https://academic-accelerator.com/manuscript-generator/nitride-fillers/boron-nitride-fillers,Global,Generic,-1,100000,eng,25
2024-11-04 09:42:11.946802,https://www.toppr.com/guides/essays/essay-on-social-issues/,Global,Generic,-1,100000,eng,25
2024-11-04 09:43:05.285173,https://www.toppr.com/guides/english/letter-writing/application-for-migration-certificate/,Global,Generic,-1,100000,eng,-1
2024-11-04 09:43:27.869085,https://www.toppr.com/guides/economics/theory-of-consumer-budget/consumer-budget/,Global,Generic,-1,100000,eng,-1
2024-11-04 09:43:37.444406,https://www.toppr.com/guides/quantitative-aptitude/profit-and-loss/percentage-loss/,Global,Generic,-1,100000,eng,-1
2024-11-04 09:43:38.012232,https://www.toppr.com/guides/english/english-flamingo/an-elementary-school-classroom-in-a-slum-summary/,Global,Generic,-1,100000,eng,25
2024-11-04 09:43:39.232225,https://www.toppr.com/guides/chemistry/alcohols-phenols-and-ethers/isopropyl-alcohol/,Global,Generic,-1,100000,eng,25
2024-11-04 09:43:52.286469,https://www.toppr.com/guides/maths/determinants/minors-and-cofactors-of-determinant/,Global,Generic,-1,100000,eng,25
2024-11-04 09:49:52.043038,https://www.cherryservers.com/resources/api-and-integrations,Global,Society,-1,1000000,eng,50
2024-11-04 12:41:39.816011,https://moksliniaidarbai.lt,Global,Society,10,10000,ces,1
2024-11-04 12:41:41.679230,https://kaisiadorys.lt/naujienos/21,Global,Society,10,10000,ces,25
2024-11-04 12:41:41.712986,https://stackexchange.com/users/5455775/ryuakamatsu,Global,Society,10,10000,ces,50
2024-11-04 12:41:54.823100,https://www.visaginas.lt/gyventojams/vartotoju-teisiu-apsauga/31,Global,Society,10,10000,ces,50
2024-11-04 17:35:48.670201,https://www.cherryservers.com/resources/projects/technological-eco-innovations,Global,Society,-1,1000,eng,50
2024-11-04 17:37:02.270914,https://www.cherryservers.com/blog/how-to-set-up-zfs-file-system-for-postgresql-on-ubuntu-22-04,Global,Society,-1,10000,eng,-1
2024-11-04 17:37:48.037337,https://www.cherryservers.com/blog/virtualization-vs-containerization,Global,Society,-1,1000,eng,50
2024-11-04 17:57:27.598843,https://www.cherryservers.com/blog/almalinux-review-a-centos-clone-supported-by-cloudlinux,Global,Society,-1,1000,eng,-1
2024-11-04 17:58:24.713845,https://www.cherryservers.com/bare-metal-dedicated-servers,Global,Society,-1,1000,eng,50
2024-11-04 17:59:02.937818,https://www.cherryservers.com/legal/cookies,Global,Society,-1,100000,eng,25
2024-11-04 18:33:31.305304,https://www.apple.com/us-edu/store,Global,Society,10,10,eng,25
2024-11-04 18:51:06.052105,https://stackexchange.com/users/29946/marcobazzani,Global,Society,500,1000,eng,-1
2024-11-04 18:51:50.536593,https://www.cherryservers.com/dedicated-gpu-servers,Global,Society,-1,10000,eng,25
2024-11-04 19:04:16.634173,https://www.cherryservers.com/resources/api-and-integrations,Global,Society,-1,10000,eng,50
2024-11-04 19:06:22.663107,https://stackexchange.com/users/15979638/plantgeek519,Global,Society,500,1000,eng,-1
2024-11-04 19:06:51.540828,https://www.cherryservers.com/blog/the-complete-overview-of-devops-cloud-native-tools,Global,Society,-1,1000000,eng,-1
2024-11-04 19:34:37.526606,https://www.apple.com/newsroom/,Global,Society,10,10,eng,25
2024-11-05 09:20:09.502097,https://kazluruda.lt,Global,Society,10,10000,ces,1
2024-11-05 09:20:13.464167,https://www.kazluruda.lt/pradzia/teisine-informacija/44,Global,Society,10,10000,ces,50
2024-11-05 09:20:13.498728,https://www.lrvalstybe.lt/ivyke-viesieji-pirkimai/galvaniniaielementai-105,Global,Society,10,10000,ces,50
2024-11-05 14:08:32.917754,https://www.cherryservers.com/blog/graylog-install-ubuntu,Global,Society,-1,1000000,eng,50
2024-11-05 14:18:49.572577,https://stackexchange.com/users/1303947/000,Global,Society,500,1000,eng,-1
