synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:09:27.911587,https://www.pcgamer.com/lichdom-battlemage-review/,Global,Business,-1,10000,eng,50
2024-11-01 09:55:25.643953,https://www.lawinsider.com/contracts/fzshxqd75zm,Global,Society,-1,10000,eng,-1
2024-11-01 09:55:56.341149,https://stackoverflow.com/questions/44080089/how-to-stop-a-running-ttask-thread-safe,Global,Society,500,1000,eng,-1
2024-11-01 09:58:36.201631,https://www.lawinsider.com/clause/supplier-organization,Global,Society,-1,10000,eng,50
2024-11-01 09:58:57.243339,https://stackoverflow.com/questions/42252029/skipping-of-user-input-by-java,Global,Society,500,1000,eng,-1
2024-11-01 10:00:48.781638,https://www.wondershare.com/products-solutions/digital-creativity/photo.html,Global,Society,-1,10000,eng,-1
2024-11-01 10:01:00.485497,https://www.lawinsider.com/clause/gross-negligence,Global,Society,-1,10000,eng,-1
2024-11-01 10:01:11.227082,https://www.lawinsider.com/dictionary/balance-billing,Global,Society,-1,10000,eng,-1
2024-11-01 10:01:14.820600,https://www.lawinsider.com/clause/gross-negligence,Global,Society,-1,10000,eng,-1
2024-11-01 11:26:54.683407,https://www.lawinsider.com/dictionary/meeting-the-requirements,Global,Society,-1,10000,eng,-1
2024-11-01 11:39:02.102448,https://www.lawinsider.com/clause/supplier-organization,Global,Society,-1,10000,eng,-1
2024-11-01 11:39:15.230713,https://www.lawinsider.com/clause/holiday-compensation-for-time-worked,Global,Society,-1,10000,eng,-1
2024-11-01 11:39:19.079572,https://www.wondershare.com/business/cases/maurice_trapp_group.html,Global,Society,-1,10000,eng,-1
2024-11-01 12:31:55.538508,https://www.helsenorge.no/sykdom/svimmelhet-og-balanseforstyrrelser/krystallsyke,Global,Shopping,100,100000,ces,-1
2024-11-01 12:36:17.692012,https://www.lawinsider.com/clause/supplier-organization,Global,Society,-1,10000,eng,-1
2024-11-01 12:54:44.700215,https://www.wondershare.com/products-solutions/digital-creativity/,Global,Society,-1,10000,eng,-1
2024-11-01 13:08:53.034814,https://www.wondershare.com/about/,Global,Society,-1,10000,eng,-1
2024-11-01 13:10:37.588719,https://www.lawinsider.com/clause/access-to-company-information,Global,Society,-1,10000,eng,-1
2024-11-01 13:18:13.445612,https://wondershare.com,Global,Society,-1,10000,eng,-1
2024-11-01 13:18:24.392779,https://www.lawinsider.com/company/916068/csl-lighting-manufacturing-inc,Global,Society,-1,10000,eng,-1
2024-11-01 13:36:34.921392,https://www.lawinsider.com/contracts/5oagpwedckd,Global,Society,-1,1000,eng,25
2024-11-04 08:59:31.186909,https://www.helsenorge.no/hjelpetilbud-i-kommunene/helsetjenester-i-hjemmet,Global,Shopping,100,100000,ces,-1
2024-11-04 08:59:45.436189,https://snl.no/ivar_eskeland,Global,Shopping,100,100000,ces,25
2024-11-04 08:59:53.478772,https://www.helsenorge.no/horsel/hvem-behandler-horselen-din/,Global,Shopping,100,100000,ces,50
2024-11-04 08:59:59.989936,https://snl.no/anders_-_mannsnamn,Global,Shopping,100,100000,ces,25
2024-11-04 09:00:02.551633,https://snl.no/gulatingslova?fraa=jusleksikon,Global,Shopping,100,100000,ces,50
2024-11-04 09:00:04.268036,https://www.helsenorge.no/giftinformasjon/planter-og-bar-a-a/blastjerne/,Global,Shopping,100,100000,ces,50
2024-11-04 09:00:19.289356,https://www.helsenorge.no/giftinformasjon/hund-og-katt/macadamianotter-kan-gi-forgiftning-hos-hund/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:00:50.309382,https://www.helsenorge.no/giftinformasjon/planter-og-bar-a-a/pelargonium-arter/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:01:20.903552,https://www.helsenorge.no/giftinformasjon/produkter-og-kjemikalier/sapebobler/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:01:31.969545,https://www.helsenorge.no/giftinformasjon/planter-og-bar-a-a/blastjerne/,Global,Shopping,100,100000,ces,50
2024-11-04 09:01:35.541622,https://www.helsenorge.no/trening-og-fysisk-aktivitet/kondisjonstrening-og-utholdenhet/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:04:14.892293,https://www.helsenorge.no/sykdom/muskel-og-skjelett/halluxvalgus/,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:46.143622,https://www.helsenorge.no/sykdom/svimmelhet-og-balanseforstyrrelser/krystallsyke,Global,Shopping,100,100000,ces,-1
2024-11-04 09:05:57.333159,https://www.helsenorge.no/giftinformasjon/produkter-og-kjemikalier/sapebobler/,Global,Shopping,100,100000,ces,-1
