synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:02:28.839739,https://www.gamesradar.com/dragon-age-origins-blood-party/,Global,Business,-1,10000,eng,50
2024-11-01 09:48:26.572105,https://www.techradar.com/gaming/the-hunt-for-diablo-4s-secret-cow-level-continues-despite-setbacks-from-new-patch,Global,Society,-1,10000,eng,-1
2024-11-01 09:48:57.269301,https://www.packeta.sk/pobocky/klasterec-nad-ohri-nam-dr-e-benese-89-potraviny-happy,Global,Society,500,1000,eng,-1
2024-11-01 09:51:37.129783,https://www.digitaltrends.com/home/philips-hue-debuts-its-new-app/,Global,Society,-1,10000,eng,50
2024-11-01 09:51:58.171491,http://www.birdz.sk/forum/najlepsia-kamoska-a-jej-frajer/191090-tema.html,Global,Society,500,1000,eng,-1
2024-11-01 09:53:49.709790,https://www.digitaltrends.com/mobile/google-pixel-8-ai-photo-editing-tools-worry-me-why/,Global,Society,-1,10000,eng,-1
2024-11-01 09:54:01.413649,https://www.techradar.com/gaming/pc-gaming/twin-peaks-into-the-night-is-the-fan-made-ps1-style-game-we-never-knew-we-needed,Global,Society,-1,10000,eng,-1
2024-11-01 09:54:12.155234,https://www.techradar.com/reviews/audio-visual/televisions/lg-oled55b6-1328271/review,Global,Society,-1,10000,eng,-1
2024-11-01 09:54:15.748752,https://www.techradar.com/news/internet/spotify-takes-on-itunes-with-ipod-syncing-951293,Global,Society,-1,10000,eng,-1
2024-11-01 11:19:55.611559,https://www.techradar.com/reviews/phones/mobile-phones/samsung-galaxy-europa-i5500-901047/review/2,Global,Society,-1,10000,eng,-1
2024-11-01 11:32:03.030600,https://www.techradar.com/phones/iphone/iphone-se-4-could-get-a-small-price-bump-in-return-for-big-feature-boosts,Global,Society,-1,10000,eng,-1
2024-11-01 11:32:16.158865,https://www.techradar.com/gaming/the-hunt-for-diablo-4s-secret-cow-level-continues-despite-setbacks-from-new-patch,Global,Society,-1,10000,eng,-1
2024-11-01 11:32:20.007724,https://www.techradar.com/gaming/pc-gaming/twin-peaks-into-the-night-is-the-fan-made-ps1-style-game-we-never-knew-we-needed,Global,Society,-1,10000,eng,-1
2024-11-01 12:24:56.466660,https://www.nay.sk/apple-ipad-air-11-m2-2024-1tb-wi-fi-kozmicky-sivy,Global,Shopping,100,100000,ces,-1
2024-11-01 12:29:18.620164,https://www.techradar.com/news/this-google-chrome-security-flaw-could-affect-billions-of-users,Global,Society,-1,10000,eng,-1
2024-11-01 12:47:45.628367,https://www.techradar.com/phones/iphone/iphone-se-4-could-get-a-small-price-bump-in-return-for-big-feature-boosts,Global,Society,-1,10000,eng,-1
2024-11-01 13:01:53.962966,https://www.digitaltrends.com/mobile/common-ios-14-problems-and-how-to-fix-them/,Global,Society,-1,10000,eng,-1
2024-11-01 13:03:38.516871,https://www.digitaltrends.com/home-theater/5-things-google-pixel-buds-2-need-to-outdo-apple-airpods/,Global,Society,-1,10000,eng,-1
2024-11-01 13:11:14.373764,https://www.digitaltrends.com/movies/the-big-bang-theory-best-episodes-ever-ranked/,Global,Society,-1,10000,eng,-1
2024-11-01 13:11:25.320931,https://www.techradar.com/reviews/cameras-and-camcorders/camcorders/panasonic-hdc-dx1-76028/review,Global,Society,-1,10000,eng,-1
2024-11-01 13:29:35.849544,https://www.digitaltrends.com/gaming/destiny-2-getting-major-sword-overhaul-in-season-10/,Global,Society,-1,1000,eng,25
2024-11-04 08:52:32.115061,https://aukro.sk/vgoodall-vianocna-dekoracia-plysiackove-vianocne-skritky-3ks-nove-od-1kc-7050111349,Global,Shopping,100,100000,ces,-1
2024-11-04 08:52:46.364341,https://www.sashe.sk/laser-art-atelier,Global,Shopping,100,100000,ces,25
2024-11-04 08:52:54.406924,https://www.csfd.sk/tvorca/1300-regina-razlova/prehlad/,Global,Shopping,100,100000,ces,50
2024-11-04 08:53:00.918088,https://www.sashe.sk/laser-art-atelier,Global,Shopping,100,100000,ces,25
2024-11-04 08:53:03.479785,https://www.kupsito.sk/c/112716/prislusenstvo-k-nabytku/kolieska/1,Global,Shopping,100,100000,ces,50
