synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 08:56:17.172240,https://colegiotresolivos.org/extraescolar-fotografia-para-la-eso/,Global,Business,-1,10000,eng,50
2024-11-01 09:42:14.904606,https://ccm.net/downloads/communication/5221-winmail-dat-explorer/,Global,Society,-1,10000,eng,-1
2024-11-01 09:42:45.601802,https://unsplash.com/@the_photoman?utm_source=ghost&utm_medium=referral&utm_campaign=api-credit,Global,Society,500,1000,eng,-1
2024-11-01 09:45:25.462284,https://ccm.net/forum/affich-837808-dead-email,Global,Society,-1,10000,eng,50
2024-11-01 09:45:46.503992,https://unsplash.com/photos/red-and-white-train-on-rail-road-during-daytime-vpkjfzqnlhg,Global,Society,500,1000,eng,-1
2024-11-01 09:47:38.042291,https://ccm.net/forum/affich-437763-i-tunes-asking-retore-even-after-restoring,Global,Society,-1,10000,eng,-1
2024-11-01 09:47:49.746150,https://ccm.net/forum/affich-482775-iphone-mode-a1241-sim-not-accepted,Global,Society,-1,10000,eng,-1
2024-11-01 09:48:00.487735,https://ccm.net/forum/affich-1003409-need-to-recover-my-gmail-password,Global,Society,-1,10000,eng,-1
2024-11-01 09:48:04.081253,https://ccm.net/forum/affich-920642-cpu-will-start-but-not-monitor-screen,Global,Society,-1,10000,eng,-1
2024-11-01 11:13:43.944060,https://ccm.net/downloads/communication/5221-winmail-dat-explorer/,Global,Society,-1,10000,eng,-1
2024-11-01 11:26:04.491366,https://ccm.net/forum/affich-419096-disc-full-warning-can-t-see-files,Global,Society,-1,10000,eng,-1
2024-11-01 11:26:08.340225,https://ccm.net/forum/affich-920642-cpu-will-start-but-not-monitor-screen,Global,Society,-1,10000,eng,-1
2024-11-01 12:18:44.799161,https://www.paginasamarillas.es/f/san-lorenzo-de-la-parrilla/transfrired-s-l-_196466536_000000001.html?gm=consultar,Global,Shopping,100,100000,ces,-1
2024-11-01 12:23:06.952665,https://ccm.net/downloads/communication/5221-winmail-dat-explorer/,Global,Society,-1,10000,eng,-1
2024-11-01 12:41:33.960868,https://ccm.net/forum/affich-1096608-messenger-emoji-visibility-problem,Global,Society,-1,10000,eng,-1
2024-11-01 12:55:42.295467,https://ccm.net/forum/affich-437763-i-tunes-asking-retore-even-after-restoring,Global,Society,-1,10000,eng,-1
2024-11-01 12:57:26.849372,https://ccm.net/downloads/communication/5221-winmail-dat-explorer/,Global,Society,-1,10000,eng,-1
2024-11-01 13:05:02.706265,https://ccm.net/forum/affich-1096608-messenger-emoji-visibility-problem,Global,Society,-1,10000,eng,-1
2024-11-01 13:05:13.653432,https://ccm.net/downloads/communication/5221-winmail-dat-explorer/,Global,Society,-1,10000,eng,-1
2024-11-01 13:23:24.182045,https://www.pexels.com/@bealasauce/,Global,Society,-1,1000,eng,25
2024-11-04 08:46:20.447562,https://www.diariodesevilla.es/sevilla/magallanes-elcano-desaparecido-guam-encontrado_0_1797120723.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:46:34.696842,https://www.gettyimages.es/fotos/n%c3%bamero-4,Global,Shopping,100,100000,ces,25
2024-11-04 08:46:42.739425,https://www.paginasamarillas.es/a/hormigon-armado/sevilla/alcala-de-guadaira/,Global,Shopping,100,100000,ces,50
2024-11-04 08:46:49.250589,https://www.gettyimages.es/fotos/escandinavo,Global,Shopping,100,100000,ces,25
2024-11-04 08:46:51.812286,https://www.gettyimages.es/fotos/desgastado-por-el-tiempo,Global,Shopping,100,100000,ces,50
2024-11-04 08:46:53.528689,https://www.gettyimages.es/fotos/teclado-peque%c3%b1o,Global,Shopping,100,100000,ces,50
2024-11-04 08:47:08.550009,https://www.diariodesevilla.es/vivirensevilla/cine-verano-gratis-airesur-centro-comercial-sevilla_0_2001622803.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:47:39.570035,https://www.gettyimages.es/detail/foto/the-night-view-of-beale-street-imagen-libre-de-derechos/604153073,Global,Shopping,100,100000,ces,-1
2024-11-04 08:48:10.164205,https://www.paginasamarillas.es/f/priego-de-cordoba/hostal-rafi_011762705_000000001.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:48:15.586988,https://www.paginasamarillas.es/f/malgrat-de-mar/shay-grup-restauracion-s-l_232442343_000000001.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:48:21.230198,https://www.gettyimages.es/fotos/teclado-peque%c3%b1o,Global,Shopping,100,100000,ces,50
2024-11-04 08:48:24.802275,https://www.paginasamarillas.es/f/malgrat-de-mar/shay-grup-restauracion-s-l_232442343_000000001.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:51:04.152946,https://www.paginasamarillas.es/f/el-casar/motorfix_228617551_000000001.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:52:35.404275,https://www.diariodesevilla.es/sevilla/municipio-sevillano-mas-frios-andalucia_0_1761424503.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:52:46.593812,https://www.diariodesevilla.es/sevilla/magallanes-elcano-desaparecido-guam-encontrado_0_1797120723.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:53:23.657629,https://www.gettyimages.es/fotos/desgastado-por-el-tiempo,Global,Shopping,100,100000,ces,50
2024-11-04 08:53:26.307057,https://www.gettyimages.es/vectores/dardos?family=creative,Global,Shopping,100,100000,ces,50
2024-11-04 08:53:29.448521,https://www.gettyimages.es/v%c3%addeos/campo-trigo?family=creative,Global,Shopping,100,100000,ces,50
2024-11-04 08:53:33.192167,https://www.gettyimages.es/unreleased-imagery?assetid=610869530,Global,Shopping,100,100000,ces,50
2024-11-04 09:11:34.809946,https://www.pamplona.es/actualidad?page=33,Global,Generic,-1,100000,eng,25
2024-11-04 09:13:16.131426,https://www.pamplona.es/actualidad/noticias/este-martes-se-abren-las-inscripciones-en-el-010-para-los-campamentos-urbanos-y,Global,Generic,-1,100000,eng,-1
2024-11-04 09:13:38.715338,https://www.pamplona.es/actualidad/noticias/el-centro-ematic-de-la-calle-compania-abre-sus-puertas-con-cita-previa-para-el,Global,Generic,-1,100000,eng,-1
2024-11-04 09:13:48.290659,https://www.pamplona.es/actualidad/noticias/el-27-de-octubre-finaliza-el-plazo-para-presentar-obras-al-xxxiii-certamen,Global,Generic,-1,100000,eng,-1
2024-11-04 09:13:48.858485,https://www.pamplona.es/actualidad?page=33,Global,Generic,-1,100000,eng,25
2024-11-04 09:20:02.889291,https://www.samsung.com/africa_en/microwave-ovens/grill/ms32-tas/,Global,Society,-1,1000000,eng,50
2024-11-04 09:20:13.831304,https://www.samsung.com/africa_fr/support/model/ef-vn985lgegww/,Global,Society,-1,1000000,eng,50
2024-11-04 12:11:50.662264,https://tiktok.com,Global,Society,10,10000,ces,1
2024-11-04 12:11:52.525483,https://www.tiktok.com/@digitalkente,Global,Society,10,10000,ces,25
2024-11-04 12:11:52.559239,https://www.tiktok.com/@austinmacauleypublishers,Global,Society,10,10000,ces,50
2024-11-04 17:05:59.516454,https://www.samsung.com/latin_en/support/model/sm-g360gzsytpa/,Global,Society,-1,1000,eng,50
2024-11-04 17:07:13.117167,https://ccm.net/forum/affich-419096-disc-full-warning-can-t-see-files,Global,Society,-1,10000,eng,-1
2024-11-04 17:07:58.883590,https://www.samsung.com/africa_en/microwave-ovens/grill/ms32-tas/,Global,Society,-1,1000,eng,50
2024-11-04 17:27:38.445096,https://www.samsung.com/hk_en/support/apps-services/how-to-check-and-update-your-version-of-samsung-health/,Global,Society,-1,1000,eng,-1
2024-11-04 17:28:35.560098,https://www.samsung.com/africa_fr/support/model/ef-vn985lgegww/,Global,Society,-1,1000,eng,50
2024-11-04 17:29:13.784071,https://apkcombo.com/ready-steady-bang/com.noodlecake.rsb/,Global,Society,-1,100000,eng,25
2024-11-04 18:03:42.151557,https://www.tiktok.com/@fanficobsession,Global,Society,10,10,eng,25
2024-11-04 18:21:16.898358,https://unsplash.com/photos/a-hospital-room-with-a-bed-and-a-window-s5meg_j_w1u,Global,Society,500,1000,eng,-1
2024-11-04 18:22:01.382846,https://ccm.net/forum/affich-1096608-messenger-emoji-visibility-problem,Global,Society,-1,10000,eng,25
2024-11-04 18:34:27.480426,https://ccm.net/downloads/entertainment/8211-tidal-for-pc/,Global,Society,-1,10000,eng,50
2024-11-04 18:36:33.509360,https://unsplash.com/@massimorinaldi27?utm_medium=referral&utm_source=vocal.media,Global,Society,500,1000,eng,-1
2024-11-04 18:37:02.387081,https://www.samsung.com/africa_en/support/mobile-devices/how-to-optimize-charging-of-your-galaxy-smartphone/,Global,Society,-1,1000000,eng,-1
2024-11-04 19:04:48.372859,https://www.tiktok.com/@ellisintransit/,Global,Society,10,10,eng,25
2024-11-05 08:50:20.348350,https://tiktok.com,Global,Society,10,10000,ces,1
2024-11-05 08:50:24.310420,https://www.tiktok.com/@cenaslamentaveis?_t=8oelaggncju&_r=1,Global,Society,10,10000,ces,50
2024-11-05 13:38:43.764007,https://ccm.net/forum/affich-837808-dead-email,Global,Society,-1,1000000,eng,50
2024-11-05 13:49:00.418830,https://www.canva.com/photos/mad5wc86o5o-top-view-photo-of-person-writing-on-white-paper/,Global,Society,500,1000,eng,-1
2024-11-05 13:49:07.776576,https://apkcombo.com/rest-api-client-get-post/com.fazil.restapi/,Global,Society,-1,1000000,eng,50
2024-11-05 13:59:39.577171,https://www.pexels.com/@bealasauce/,Global,Society,-1,1000,eng,25
2024-11-05 17:44:42.483542,https://tiktok.com,Global,Society,10,10000,ces,1
2024-11-05 17:44:45.981238,https://www.tiktok.com/@austinmacauleypublishers,Global,Society,10,10000,ces,50
2024-11-05 17:44:46.019319,https://www.tiktok.com/@cenaslamentaveis?_t=8oelaggncju&_r=1,Global,Society,10,10000,ces,50
2024-11-06 11:47:49.354965,https://tiktok.com,Global,Society,10,10000,ces,1
2024-11-06 11:47:52.228158,https://www.tiktok.com/@austinmacauleypublishers,Global,Society,10,10000,ces,50
2024-11-06 12:13:42.731189,https://almazan.es/norma-urbanistica/ortografico-almazan-2-000-7/,Local,Society,-1,-1,ces,50
2024-11-06 12:27:04.347200,https://www.tuexperto.com/2012/05/08/acer-aspire-one-725-un-netbook-con-buena-pantalla/,Global,Society,-1,1000000,ces,-1
2024-11-07 17:33:45.392843,https://www.samsung.com/n_africa/support/model/sm-n980fzngect/,Global,Society,-1,1000,eng,50
2024-11-07 17:39:58.424596,https://www.cadena100.es/musica/noticias/gira-david-bisbal-que-recorrera-espana-asi-siento-vivo-tour-2023-20230111_2486874,Global,Shopping,-1,1000000,ces,-1
2024-11-07 17:42:49.247743,https://www.tiktok.com/@tribalchimp,Global,Society,10,10,eng,25
2024-11-07 18:27:56.074631,https://www.tiktok.com/@austinmacauleypublishers,Global,Society,10,10,eng,50
2024-11-07 18:27:58.150907,https://www.tiktok.com/@ionutdima,Global,Society,10,10,eng,-1
2024-11-07 18:28:00.990473,https://www.tiktok.com/@austinmacauleypublishers,Global,Society,10,10,eng,50
2024-11-07 18:28:23.733645,https://ccm.net/forum/affich-1041224-suspicious-pop-ups-and-programs-suddenly-installed,Global,Society,-1,10000,eng,-1
2024-11-07 18:53:29.323647,https://colegiotresolivos.org/calendario/no-lectivo/,Local,Business,-1,-1,ces,25
2024-11-07 18:54:08.160075,https://www.tablondeanuncios.com/clases-particulares/pedagogo__clases_a_domicilio_en_rivas_vaciamadrid-2325228.htm,Global,Shopping,-1,1000000,ces,-1
