synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 08:36:03.091614,https://www.marketscreener.com/quote/stock/us-bancorp-47501/graphics/,Global,Business,-1,10000,eng,50
2024-11-01 09:22:00.823980,https://www.plex.tv/blog/plex-pro-week-23-from-sunrise-to-sunset-with-plexamp/?utm_internal=pro_week_android_authority_blog,Global,Society,-1,10000,eng,-1
2024-11-01 09:22:31.521176,https://www.samsung.com/africa_fr/support/home-appliances/how-to-reverse-the-door-of-samsung-refrigerator/,Global,Society,500,1000,eng,-1
2024-11-01 09:25:11.381658,https://superuser.com/users/494169/lawrence?tab=questions,Global,Society,-1,10000,eng,50
2024-11-01 09:25:32.423366,https://www.udemy.com/course/the-art-of-mentorship-how-to-become-an-impactful-mentor/?couponcode=summersale-mentorher,Global,Society,500,1000,eng,-1
2024-11-01 09:27:23.961665,https://www.plex.tv/blog/plex-pro-week-23-from-sunrise-to-sunset-with-plexamp/?utm_internal=pro_week_android_authority_blog,Global,Society,-1,10000,eng,-1
2024-11-01 11:58:30.718535,https://www.wordhippo.com/what-is/another-word-for/confinement.html,Global,Shopping,100,100000,ces,-1
2024-11-01 12:02:52.872039,https://www.plex.tv/blog/plex-pro-week-23-from-sunrise-to-sunset-with-plexamp/?utm_internal=pro_week_android_authority_blog,Global,Society,-1,10000,eng,-1
2024-11-01 13:03:10.101419,https://www.undp.org/laopdr,Global,Society,-1,1000,eng,25
2024-11-04 08:26:06.366936,https://www.wordhippo.com/what-is/another-word-for/delusion.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:26:20.616216,https://wordhippo.com,Global,Shopping,100,100000,ces,25
2024-11-04 08:26:28.658799,https://www.wordhippo.com/what-is/the-opposite-of/unhealthy.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:26:35.169963,https://www.wordhippo.com/what-is/another-word-for/changed.html,Global,Shopping,100,100000,ces,25
2024-11-04 08:26:37.731660,https://www.wordhippo.com/what-is/another-word-for/nondescript.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:26:39.448063,https://www.wordhippo.com/what-is/the-opposite-of/unhealthy.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:26:54.469383,https://www.wordhippo.com/what-is/another-word-for/strengthless.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:27:25.489409,https://www.wordhippo.com/what-is/another-word-for/nondescript.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:27:56.083579,https://www.wordhippo.com/what-is/another-word-for/changed.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:28:01.506362,https://www.wordhippo.com/what-is/another-word-for/incensing.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:28:07.149572,https://www.wordhippo.com/what-is/another-word-for/ben.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:28:10.721649,https://www.wordhippo.com/what-is/another-word-for/scantiness.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:30:50.072320,https://www.wordhippo.com/what-is/another-word-for/ben.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:32:21.323649,https://www.wordhippo.com/what-is/another-word-for/bore_into.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:32:32.513186,https://www.wordhippo.com/what-is/another-word-for/scantiness.html,Global,Shopping,100,100000,ces,-1
2024-11-04 08:33:09.577003,https://www.wordhippo.com/what-is/another-word-for/machine_operator.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:33:12.226431,https://www.wordhippo.com/what-is/another-word-for/strengthless.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:33:15.367895,https://www.wordhippo.com/what-is/another-word-for/confinement.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:33:19.111541,https://www.wordhippo.com/what-is/another-word-for/strengthless.html,Global,Shopping,100,100000,ces,50
2024-11-04 08:51:20.729320,https://www.ebookers.com/destinations-in-saudi-arabia.d157.holiday-rental-destinations,Global,Generic,-1,100000,eng,25
2024-11-04 08:51:42.120030,https://ebookers.com,Global,Generic,-1,100000,eng,25
2024-11-04 08:52:08.712429,https://www.ebookers.com/destinations-in-saudi-arabia.d157.holiday-rental-destinations,Global,Generic,-1,100000,eng,25
2024-11-04 08:53:34.777859,https://ebookers.com,Global,Generic,-1,100000,eng,25
2024-11-04 08:53:35.997852,https://www.ebookers.com/destinations-in-saudi-arabia.d157.holiday-rental-destinations,Global,Generic,-1,100000,eng,25
2024-11-04 08:53:49.052096,https://ebookers.com,Global,Generic,-1,100000,eng,25
2024-11-04 08:59:48.808665,https://www.smithsonianmag.com/air-space-magazine/company-expected-89054352/,Global,Society,-1,1000000,eng,50
2024-11-04 08:59:59.750678,https://www.cuemath.com/trigonometry/cot-37-degrees/,Global,Society,-1,1000000,eng,50
2024-11-04 11:51:36.581638,https://grammarly.com,Global,Society,10,10000,ces,1
2024-11-04 11:51:38.444857,https://www.plex.tv/plexamp/,Global,Society,10,10000,ces,25
2024-11-04 11:51:38.478613,https://www.lawinsider.com/clause/actual-costs-incurred,Global,Society,10,10000,ces,50
2024-11-04 11:51:51.588727,https://www.grammarly.com/browser?utm_medium=social,Global,Society,10,10000,ces,50
2024-11-04 16:45:45.435828,https://www.undp.org/blog/antimicrobial-resistance-emerging-crisis,Global,Society,-1,1000,eng,50
2024-11-04 16:46:59.036541,https://superuser.com/users/172357/ahmed-fasih,Global,Society,-1,10000,eng,-1
2024-11-04 16:47:44.802964,https://www.undp.org/cyprus/funding-and-delivery,Global,Society,-1,1000,eng,50
