synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 09:08:18.860255,https://www.shell.com/who-we-are/contact-us/shell-mauritanie.html,Global,Business,-1,10000,eng,50
2024-11-01 09:54:16.592621,https://www.vecteezy.com/vector-art/39673062-illustration-of-a-couple-holding-hands,Global,Society,-1,10000,eng,-1
2024-11-01 09:54:47.289817,https://stackoverflow.com/questions/44080089/how-to-stop-a-running-ttask-thread-safe,Global,Society,500,1000,eng,-1
2024-11-01 09:57:27.150299,https://www.vecteezy.com/vector-art/27638018-measuring-tape-vector-icon,Global,Society,-1,10000,eng,50
2024-11-01 09:57:48.192007,https://stackoverflow.com/questions/42252029/skipping-of-user-input-by-java,Global,Society,500,1000,eng,-1
2024-11-01 09:59:39.730306,https://www.vecteezy.com/photo/17399659-woman-suffer-from-stomachachechronic-gastritis-abdomen-bloating-concept,Global,Society,-1,10000,eng,-1
2024-11-01 10:00:02.175750,https://www.vecteezy.com/vector-art/3216584-business-team-working-together-in-office-with-financial-icons,Global,Society,-1,10000,eng,-1
2024-11-01 11:25:45.632075,https://www.vecteezy.com/photo/28771673-mature-olives-fermentation-in-barrels-isolated-on-a-dark-gradient-background,Global,Society,-1,10000,eng,-1
2024-11-01 11:37:53.051116,https://www.vecteezy.com/vector-art/7119868-background-of-seascape-with-lighthouse,Global,Society,-1,10000,eng,-1
2024-11-01 11:38:06.179381,https://www.vecteezy.com/vector-art/39673062-illustration-of-a-couple-holding-hands,Global,Society,-1,10000,eng,-1
2024-11-01 11:38:10.028240,https://www.vecteezy.com/vector-art/3216584-business-team-working-together-in-office-with-financial-icons,Global,Society,-1,10000,eng,-1
2024-11-01 12:30:46.487176,https://www.orellfuessli.ch/shop/home/artikeldetails/a1011813783,Global,Shopping,100,100000,ces,-1
2024-11-01 12:35:08.640680,https://www.vecteezy.com/vector-art/39673062-illustration-of-a-couple-holding-hands,Global,Society,-1,10000,eng,-1
2024-11-01 12:53:35.648883,https://www.vecteezy.com/vector-art/7119868-background-of-seascape-with-lighthouse,Global,Society,-1,10000,eng,-1
2024-11-01 13:07:43.983482,https://www.vecteezy.com/vector-art/15954972-business-corporate-s-letter-logo,Global,Society,-1,10000,eng,-1
2024-11-01 13:09:28.537387,https://www.vecteezy.com/vector-art/3216584-business-team-working-together-in-office-with-financial-icons,Global,Society,-1,10000,eng,-1
2024-11-01 13:17:04.394280,https://www.vecteezy.com/photo/14262774-dog-rose-pink-rosa-canina-flowers-valentine-theme,Global,Society,-1,10000,eng,-1
2024-11-01 13:17:15.341447,https://www.vecteezy.com/vector-art/7119868-background-of-seascape-with-lighthouse,Global,Society,-1,10000,eng,-1
2024-11-01 13:35:25.870060,https://www.samsung.com/latin_en/support/model/qn65qn85bafxza/,Global,Society,-1,1000,eng,25
2024-11-04 08:58:22.135577,https://www.orellfuessli.ch/shop/home/artikeldetails/a1047000607,Global,Shopping,100,100000,ces,-1
2024-11-04 08:58:36.384857,https://www.orellfuessli.ch/kategorie/hunde-576/,Global,Shopping,100,100000,ces,25
2024-11-04 08:58:44.427440,https://www.orellfuessli.ch/shop/home/artikeldetails/a1015650639,Global,Shopping,100,100000,ces,50
2024-11-04 08:58:50.938604,https://www.orellfuessli.ch/kategorie/hunde-576/,Global,Shopping,100,100000,ces,25
2024-11-04 08:58:53.500301,https://www.orellfuessli.ch/shop/home/artikeldetails/a1052959938,Global,Shopping,100,100000,ces,50
2024-11-04 08:58:55.216704,https://www.orellfuessli.ch/shop/home/artikeldetails/a1069791550,Global,Shopping,100,100000,ces,50
2024-11-04 08:59:10.238024,https://www.orellfuessli.ch/shop/home/artikeldetails/a1039772732,Global,Shopping,100,100000,ces,-1
2024-11-04 08:59:41.258050,https://www.orellfuessli.ch/shop/home/artikeldetails/a1052575272,Global,Shopping,100,100000,ces,-1
2024-11-04 09:00:11.852220,https://www.orellfuessli.ch/shop/home/artikeldetails/a1069791550,Global,Shopping,100,100000,ces,-1
2024-11-04 09:00:17.275003,https://www.orellfuessli.ch/shop/home/artikeldetails/a1063946960,Global,Shopping,100,100000,ces,-1
2024-11-04 09:00:22.918213,https://www.orellfuessli.ch/shop/home/artikeldetails/a1015650639,Global,Shopping,100,100000,ces,50
2024-11-04 09:00:26.490290,https://www.orellfuessli.ch/shop/home/artikeldetails/a1034815622,Global,Shopping,100,100000,ces,-1
2024-11-04 09:03:05.840961,https://www.orellfuessli.ch/shop/home/artikeldetails/a1052575272,Global,Shopping,100,100000,ces,50
2024-11-04 09:04:48.281827,https://www.orellfuessli.ch/autor/anne+schlachtberger-14557863/,Global,Shopping,100,100000,ces,-1
2024-11-04 09:05:25.345644,https://www.orellfuessli.ch/shop/home/artikeldetails/a1000420098,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:27.995072,https://www.orellfuessli.ch/shop/home/artikeldetails/a1035435629,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:31.136536,https://www.orellfuessli.ch/shop/home/artikeldetails/a1011813783,Global,Shopping,100,100000,ces,50
2024-11-04 09:05:34.880182,https://www.orellfuessli.ch/shop/home/artikeldetails/a1063946960,Global,Shopping,100,100000,ces,50
2024-11-04 09:23:36.497961,https://www.farfetch.com/shopping/women/prada-triangle-logo-padded-loafers-item-19768550.aspx,Global,Generic,-1,100000,eng,25
2024-11-04 09:23:57.888671,https://www.farfetch.com/shopping/women/hunza-g/bikinis-1/items.aspx,Global,Generic,-1,100000,eng,25
2024-11-04 09:24:24.481070,https://www.farfetch.com/shopping/women/saint-laurent-envelope-shoulder-bag-item-15617736.aspx,Global,Generic,-1,100000,eng,25
2024-11-04 09:25:49.978674,https://www.farfetch.com/shopping/women/benedetta-bruzziches-vittissima-la-grande-shoulder-bag-item-22170680.aspx,Global,Generic,-1,100000,eng,-1
2024-11-04 09:25:51.766493,https://www.farfetch.com/shopping/women/palm-angels-wings-print-t-shirt-item-23072300.aspx,Global,Generic,-1,100000,eng,25
2024-11-04 09:26:04.820737,https://farfetch.com,Global,Generic,-1,100000,eng,25
2024-11-04 09:32:04.577306,https://www.techtarget.com/contributor/warwick-ashford/page/16,Global,Society,-1,1000000,eng,50
2024-11-04 09:32:15.519319,https://www.vecteezy.com/free-vector/cute-flying-bird,Global,Society,-1,1000000,eng,50
2024-11-04 12:23:52.350279,https://thesaurus.com,Global,Society,10,10000,ces,1
2024-11-04 12:23:54.213498,https://www.thesaurus.com/browse/sublessee,Global,Society,10,10000,ces,25
2024-11-04 12:23:54.247254,https://www.mobile.de/auto/ssangyong/rodius/serie/,Global,Society,10,10000,ces,50
2024-11-04 12:24:07.357368,https://www.thesaurus.com/e/synonym-of-the-day/wintry-2022-12-22/,Global,Society,10,10000,ces,50
2024-11-04 17:18:01.204469,https://www.samsung.com/hk_en/support/model/ef-zg99pcbegew/,Global,Society,-1,1000,eng,50
2024-11-04 17:19:14.805182,https://www.vecteezy.com/vector-art/7119868-background-of-seascape-with-lighthouse,Global,Society,-1,10000,eng,-1
2024-11-04 17:20:00.571605,https://www.samsung.com/latin_en/support/model/qn65qn85bafxza/,Global,Society,-1,1000,eng,50
2024-11-04 17:39:40.133111,https://www.techtarget.com/healthtechsecurity/news/366594829/fbi-mamba-ransomware-actors-weaponizing-freeware-encryption-tool,Global,Society,-1,1000,eng,-1
2024-11-04 17:40:37.248113,https://www.techtarget.com/technologyguide/?newsid=4368,Global,Society,-1,1000,eng,50
2024-11-04 17:41:15.472086,https://www.vecteezy.com/free-png/body,Global,Society,-1,100000,eng,25
2024-11-04 18:15:43.839572,https://www.apple.com/today/newhaven/,Global,Society,10,10,eng,25
2024-11-04 18:33:18.586373,https://stackoverflow.com/questions/27555273/passing-parameters-to-verilog-modules,Global,Society,500,1000,eng,-1
2024-11-04 18:34:03.070861,https://www.vecteezy.com/free-vector/layout,Global,Society,-1,10000,eng,25
2024-11-04 18:46:29.168441,https://www.vecteezy.com/free-vector/cute-flying-bird,Global,Society,-1,10000,eng,50
2024-11-04 18:48:35.197375,https://stackoverflow.com/questions/46323700/dyld-dyld-sim-not-compatible-mach-o,Global,Society,500,1000,eng,-1
2024-11-04 18:49:04.075096,https://www.samsung.com/africa_fr/support/home-appliances/how-to-reverse-the-door-of-samsung-refrigerator/,Global,Society,-1,1000000,eng,-1
2024-11-04 19:16:50.060874,https://www.apple.com/newsroom/,Global,Society,10,10,eng,25
2024-11-05 09:02:22.036365,https://thesaurus.com,Global,Society,10,10000,ces,1
2024-11-05 09:02:25.998435,https://www.thesaurus.com/browse/quick-on-the-trigger,Global,Society,10,10000,ces,50
2024-11-05 09:02:26.032996,https://www.vecteezy.com/vector-art/27638018-measuring-tape-vector-icon,Global,Society,10,10000,ces,50
2024-11-05 13:50:45.452022,https://www.samsung.com/africa_fr/support/model/cg-a515fzbsmmc/,Global,Society,-1,1000000,eng,50
2024-11-05 14:01:02.106845,https://stackoverflow.com/questions/51876823/telegram-bot-with-python-telegram-bot-library,Global,Society,500,1000,eng,-1
2024-11-05 14:01:09.464591,https://www.samsung.com/africa_fr/support/model/cg-a515fzbsmmc/,Global,Society,-1,1000000,eng,50
2024-11-05 14:11:41.265186,https://www.samsung.com/latin_en/support/model/qn65qn85bafxza/,Global,Society,-1,1000,eng,25
2024-11-05 17:56:44.171557,https://mobile.de,Global,Society,10,10000,ces,1
2024-11-05 17:56:47.669253,https://www.vecteezy.com/vector-art/1184088-top-view-white-wood-texture,Global,Society,10,10000,ces,50
2024-11-05 17:56:47.707334,https://www.vecteezy.com/free-vector/cute-flying-bird,Global,Society,10,10000,ces,50
2024-11-05 17:57:40.458960,https://www.mobile.de/magazin/artikel/vw-touran-2020-test-39062,Global,Society,10,10000,ces,50
2024-11-06 11:59:51.042980,https://thesaurus.com,Global,Society,10,10000,ces,1
2024-11-06 11:59:53.916173,https://www.vecteezy.com/vector-art/136467-sexy-french-maid-pop-art-style,Global,Society,10,10000,ces,50
2024-11-06 11:59:53.956633,https://www.vecteezy.com/vector-art/28162861-svg-file-vector-icon,Global,Society,10,10000,ces,50
2024-11-06 12:25:44.419204,https://www.ilef.ch/strassenbauprojekte/70474,Local,Society,-1,-1,ces,50
2024-11-06 12:39:06.035215,https://www.montreux.ch/agenda?tx_news_pi1%5boverwritedemand%5d%5bcategories%5d=3&chash=1d85b0bcfd835ea9a1b2f48868c50b49,Global,Society,-1,1000000,ces,-1
2024-11-07 17:45:47.080858,https://www.techtarget.com/news/?news_date=2023-04-23,Global,Society,-1,1000,eng,50
2024-11-07 17:52:00.112611,https://www.farmy.ch/fr-ch?utm_source=athle.ch&utm_medium=media&utm_campaign=athle.ch,Global,Shopping,-1,1000000,ces,-1
2024-11-07 17:54:50.935758,https://www.apple.com/airpods/,Global,Society,10,10,eng,25
2024-11-07 18:39:57.762646,https://www.apple.com/us-edu/shop/buy-ipad/ipad-pro?step=select,Global,Society,10,10,eng,50
2024-11-07 18:39:59.838922,https://www.apple.com/ph-edu/shop/buy-ipad/ipad-air/13-inch-display-512gb-blue-wifi?product=mv723pp/a&step=select,Global,Society,10,10,eng,-1
2024-11-07 18:40:02.678488,https://www.apple.com/au-edu/shop/buy-ipad/ipad-pro,Global,Society,10,10,eng,50
2024-11-07 18:40:25.421660,https://www.vecteezy.com/vector-art/15954972-business-corporate-s-letter-logo,Global,Society,-1,10000,eng,-1
2024-11-07 19:05:31.011662,https://www.schlieren.ch/stadtarbeitgeberin,Local,Business,-1,-1,ces,25
2024-11-07 19:06:09.848090,https://www.farmy.ch/hofladen/vorraete/eingemachtes-konserven/fruechte/apfelmus-kompott,Global,Shopping,-1,1000000,ces,-1
2024-11-07 20:40:26.002683,https://www.vecteezy.com/vector-art/27638018-measuring-tape-vector-icon,Global,Society,-1,10000,eng,50
2024-11-07 20:40:28.537082,https://www.vecteezy.com/vector-art/28162861-svg-file-vector-icon,Global,Society,-1,10000,eng,50
2024-11-07 20:43:08.814925,https://www.bestbuy.com/site/shop/haier-oven,Global,Business,-1,10000,eng,25
2024-11-07 20:43:30.852294,https://shell.com,Global,Business,-1,10000,eng,1
2024-11-07 20:43:39.370295,https://www.thieme-connect.com/products/ejournals/issue/10.1055/s-014-59826,Global,Business,-1,10000,eng,50
2024-11-07 20:43:53.245787,https://www.investing.com/equities/plasmatech-biopharmaceuticals-cash-flow,Global,Business,-1,10000,eng,50
2024-11-07 20:43:56.256608,https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000057,Global,Business,-1,10000,eng,50
2024-11-07 20:43:59.888262,https://www.investing.com/equities/packaging-corp-candlestick,Global,Business,-1,10000,eng,50
2024-11-07 20:44:05.929966,https://www.investing.com/equities/quartet-merger-c-candlestick,Global,Business,-1,10000,eng,50
2024-11-07 20:46:53.431845,https://www.bestbuy.com/site/hisense-65-class-a7-series-led-4k-uhd-hdr-wcg-google-tv-2024/6577003.p?skuid=6577003,Global,Business,-1,10000,eng,-1
2024-11-07 20:47:16.137090,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/a-0588-5365,Global,Business,-1,10000,eng,50
2024-11-08 09:56:52.847644,https://www.techtarget.com/iotagenda/blog/iot-agenda/internet-of-threats-managing-risk-and-governing-it,Global,Society,-1,1000,eng,-1
2024-11-08 09:57:17.514678,https://www.samsung.com/africa_en/support/mobile-devices/galaxy-phone-water-resistance/,Global,Society,-1,1000,eng,-1
2024-11-08 09:57:19.131341,https://www.techtarget.com/news/?news_date=2023-04-23,Global,Society,-1,1000,eng,50
2024-11-08 10:01:05.293874,https://www.samsung.com/latin_en/support/model/sm-g360gzsytpa/,Global,Society,-1,1000,eng,25
2024-11-08 10:02:17.130319,https://www.vecteezy.com/vector-art/27638018-measuring-tape-vector-icon,Global,Society,-1,10000,eng,50
2024-11-08 10:02:24.261731,https://www.samsung.com/ae_ar/support/model/sm-j105hzwddkr/,Global,Society,-1,1000,eng,50
2024-11-08 10:02:29.501488,https://www.samsung.com/latin_en/support/model/sm-g360gzsytpa/,Global,Society,-1,1000,eng,50
2024-11-08 10:02:31.617967,https://www.samsung.com/levant/support/model/lc32jg52qquxen/,Global,Society,-1,1000,eng,50
2024-11-08 10:02:32.685300,https://www.samsung.com/africa_fr/support/model/ef-vn985lgegww/,Global,Society,-1,1000,eng,50
2024-11-08 10:45:18.943469,https://businessinsider.de,Global,News,10,10000,ces,1
2024-11-08 10:46:00.193677,https://www.mdr.de/sport/fussball_3l/vertragsaufloesung-dynamo-dresden-jan-shcherbakovski-energie-cottbus-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:46:10.422028,https://www.businessinsider.de/gruenderszene/lexikon/begriffe/crowdsourcing/?interstitial_click,Global,News,10,10000,ces,-1
2024-11-08 10:47:22.866221,https://www.uefa.com/under21/match/2037494--czechia-vs-lithuania/statistics/,Global,News,10,10000,ces,-1
2024-11-08 10:47:26.892008,https://www.mdr.de/nachrichten/sachsen/chemnitz/zwickau/jubilaeum-berghuetten-staedte-sachsen-alpenvereine-100~amp.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:27.750305,https://www.mdr.de/wissen/klima/index_box--8227121113722258711_zc-da899ca0.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:30.239342,https://www.epfl.ch/campus/services/data-protection/how-to-notify-a-data-breach/,Global,News,10,10000,ces,-1
2024-11-08 10:47:30.886326,https://www.uefa.com/news-media/news/027b-16802fa89740-23355efda63f-1000--new-women-s-national-team-competition-system/,Global,News,10,10000,ces,-1
2024-11-08 10:47:31.565862,https://www.sky.it/offerte/prova-skyq?from=la-vita-e-meravigliosa&intcmp=programmi_body_prova-sky,Global,News,10,10000,ces,-1
2024-11-08 10:47:32.148366,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/politiker-fordern-investitionen-in-hochwasserschutz-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:33.184938,https://www.zdf.de/nachrichten/wissen/perseiden-sternschnuppen-himmel-komet-weltall-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:33.854362,https://www.capital.fr/economie-politique/il-vendait-des-pass-dentree-aux-immeubles-a-des-cambrioleurs-1400617,Global,News,10,10000,ces,-1
2024-11-08 10:47:34.454974,https://www.deutschlandfunk.de/mediasres-medienmagazin-die-sendung-vom-mittwoch-128.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:35.049738,https://www.francetvinfo.fr/sante/professions-medicales/l-hopital-au-bord-de-la-crise-de-nerfs_2722447.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:35.607486,https://www.srf.ch/audio/echo-der-zeit/us-praesident-biden-telefoniert-mit-xi-in-china?id=12162383,Global,News,10,10000,ces,-1
2024-11-08 10:47:37.511976,https://www.epfl.ch/campus/art-culture/museum-exhibitions/archizoom/uli-lamey-en/,Global,News,10,10000,ces,-1
2024-11-08 10:47:38.306271,https://www.capital.fr/economie-politique/jacques-chirac-hospitalise-pour-un-bilan-de-sante-1090994,Global,News,10,10000,ces,-1
2024-11-08 10:47:38.855686,https://www.srf.ch/audio/ratgeber/greifvogelstation-reha-fuer-bussard-falke-und-co?id=12597326,Global,News,10,10000,ces,-1
2024-11-08 10:47:39.467844,https://www.businessinsider.de/gruenderszene/karriere-startup/gruender-studium-an-der-rwth-aachen-alternative-whu-a/,Global,News,10,10000,ces,-1
2024-11-08 10:47:40.038800,https://www.sky.it/offerte/prova-skyq?from=come-dincanto&intcmp=programmi_body_prova-sky,Global,News,10,10000,ces,-1
2024-11-08 10:47:40.800227,https://www.swr.de/sport/fussball/1-fc-heidenheim/fch-bestaetigt-sondierungsgespraeche-mit-jerome-boateng-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:41.689193,https://www.sky.it/offerte/prova-skyq?from=un-marito-per-due-gemelle&intcmp=programmi_body_prova-sky,Global,News,10,10000,ces,-1
2024-11-08 10:47:42.271717,https://www.mdr.de/nachrichten/sachsen/chemnitz/zwickau/jubilaeum-berghuetten-staedte-sachsen-alpenvereine-100~amp.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:43.760913,https://www.swr.de/swraktuell/nur-noch-veggi-kost-in-freiburger-kitas-und-grundschulen-kolumne-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:44.318009,https://www.sportskeeda.com/live-kabaddi-score/gujarat-giants-vs-haryana-steelers-26-february-2024,Global,News,10,10000,ces,-1
2024-11-08 10:47:45.179188,https://www.swr.de/swraktuell/rheinland-pfalz/mainz/muecken-plage-am-rhein-koennte-bald-vorbei-sein-sagt-die-kabs-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:45.839370,https://www.francetvinfo.fr/france/les-4-verites-vincent-nouzille-l-etat-francais-applique-la-loi-du-talion_835743.html,Global,News,10,10000,ces,-1
2024-11-08 10:47:49.703435,https://www.capital.fr/economie-politique/une-fusee-antares-explose-peu-apres-son-decollage-971658,Global,News,10,10000,ces,-1
2024-11-08 10:47:55.622292,https://www.capital.fr/entreprises-marches/plan-social-massif-chez-general-electric-belfort-1339883,Global,News,10,10000,ces,-1
2024-11-08 10:48:01.312223,https://www.srf.ch/audio/bestseller-auf-dem-plattenteller/schweizer-hitparade-vom-13-05-1979?id=12569099,Global,News,10,10000,ces,-1
2024-11-08 10:48:06.366781,https://www.sky.it/offerte/prova-skyq?from=room-237&intcmp=programmi_body_prova-sky,Global,News,10,10000,ces,-1
2024-11-08 10:48:08.169319,https://www.francetvinfo.fr/societe/religion/un-neo-zelandais-condamne-pour-insulte-a-bouddha-en-birmanie_850979.html,Global,News,10,10000,ces,-1
2024-11-08 10:48:09.001089,https://www.capital.fr/economie-politique/avec-41-ministres-le-cout-xxl-du-gouvernement-borne-1440855,Global,News,10,10000,ces,-1
2024-11-08 10:48:09.800074,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/politiker-fordern-investitionen-in-hochwasserschutz-100.html,Global,News,10,10000,ces,-1
2024-11-08 10:48:10.465840,https://www.swr.de/sport/fussball/karlsruher-sc/teamcheck-ksc-saison-2024-25-100.html,Global,News,10,10000,ces,-1
