synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 10:03:10.820137,https://www.labranda.com/report-complaint-misconduct-sp,Global,Business,-1,10000,eng,50
2024-11-01 10:49:08.552503,https://apkpure.com/crafty-candy-match-3-game/com.outplayentertainment.candywitch,Global,Society,-1,10000,eng,-1
2024-11-01 10:49:39.249699,https://www.britannica.com/biography/nguyen-du,Global,Society,500,1000,eng,-1
2024-11-01 10:52:19.110181,https://apkpure.com/howto/how-to-watch-asia-cup-2022-online,Global,Society,-1,10000,eng,50
2024-11-01 10:52:40.151889,https://www.britannica.com/dictionary/ghetto,Global,Society,500,1000,eng,-1
2024-11-01 10:54:31.690188,https://apkpure.com/howto/how-to-download-easypaisa-payments-made-easy-for-android,Global,Society,-1,10000,eng,-1
2024-11-01 10:54:43.394047,https://apkpure.com/news/why-gcash-app-is-not-compatible-with-devices-causes-and-solutions,Global,Society,-1,10000,eng,-1
2024-11-01 10:54:54.135632,https://apkpure.com/linky-ai-chat-play-connect/com.aigc.ushow.ichat/download,Global,Society,-1,10000,eng,-1
2024-11-01 10:54:57.729150,https://apkpure.com/crafty-candy-match-3-game/com.outplayentertainment.candywitch,Global,Society,-1,10000,eng,-1
2024-11-01 12:32:45.010998,https://apkpure.com/keepass2android-password-safe/keepass2android.keepass2android,Global,Society,-1,10000,eng,-1
2024-11-01 12:32:58.139263,https://apkpure.com/news/top-5-best-games-like-efootball-2024-on-mobile,Global,Society,-1,10000,eng,-1
2024-11-01 12:33:01.988122,https://apkpure.com/v3-mobile-security-anti-virus/com.ahnlab.v3mobilesecurity.soda,Global,Society,-1,10000,eng,-1
2024-11-01 13:25:38.447058,https://www.beyazperde.com/sanatcilar/sanatci-5958/fotolar/detay/?cmediafile=18882524,Global,Shopping,100,100000,ces,-1
2024-11-01 13:30:00.600562,https://apkpure.com/modern-warplanes-pvp-warfare/com.evilchaotic.modernwarplanes,Global,Society,-1,10000,eng,-1
2024-11-01 13:48:27.608765,https://apkpure.com/luvdiary-couple-relationship/com.azuremir.android.luvda,Global,Society,-1,10000,eng,-1
2024-11-01 14:02:35.943364,https://apkpure.com/cine/com.celeste.pplusccine/download?utm_content=1008,Global,Society,-1,10000,eng,-1
2024-11-01 14:04:20.497269,https://apkpure.com/girl-super-heroes/com.gameiva.girlsuperheroes/download?from=details,Global,Society,-1,10000,eng,-1
2024-11-01 14:11:56.354162,https://apkpure.com/news/why-gcash-app-is-not-compatible-with-devices-causes-and-solutions,Global,Society,-1,10000,eng,-1
2024-11-01 14:12:07.301329,https://apkpure.com/cine/com.celeste.pplusccine/download?utm_content=1008,Global,Society,-1,10000,eng,-1
2024-11-01 14:30:17.829942,https://www.udemy.com/user/hamza-saeed-55/,Global,Society,-1,1000,eng,25
2024-11-04 09:53:14.095459,https://www.beyazperde.com/sanatcilar/sanatci-53135/fotolar/detay/?cmediafile=21059142,Global,Shopping,100,100000,ces,-1
2024-11-04 09:53:28.344739,https://www.beyazperde.com/filmler/film-182993/,Global,Shopping,100,100000,ces,25
2024-11-04 09:53:36.387322,https://www.beyazperde.com/sanatcilar/sanatci-757330/,Global,Shopping,100,100000,ces,50
2024-11-04 09:53:42.898486,https://www.beyazperde.com/filmler/film-280443/,Global,Shopping,100,100000,ces,25
2024-11-04 09:53:45.460183,https://www.beyazperde.com/sanatcilar/sanatci-12836/,Global,Shopping,100,100000,ces,50
2024-11-04 09:54:02.197906,https://www.pttavm.com/cigold-tassiz-yuzuk-22-ayar-altin-3.70-gr-oa-c11901027760-p-393029029,Global,Shopping,100,100000,ces,-1
2024-11-04 09:54:33.217932,https://www.beyazperde.com/sanatcilar/sanatci-1926/fotolar/detay/?cmediafile=18869747,Global,Shopping,100,100000,ces,-1
2024-11-04 09:55:03.812102,https://www.pttavm.com/xiaomi-aksiyon-kamera-kask-baglanti-seti-p-94704212,Global,Shopping,100,100000,ces,-1
2024-11-04 09:55:09.234885,https://www.pttavm.com/turkuaz-dogal-tas-bileklik-kutulu-p-916260010?waw_keyword=do%c4%9fal%20ta%c5%9f,Global,Shopping,100,100000,ces,-1
2024-11-04 09:55:14.878095,https://www.pttavm.com/fairy-1500-ml-bulasik-deterjani-p-710169926,Global,Shopping,100,100000,ces,50
