synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 10:25:19.959131,https://www.lovetoknow.com/life/grief-loss/becoming-grief-counselor,Global,Business,-1,10000,eng,50
2024-11-01 11:11:17.691497,https://www.plex.tv/blog/plex-pro-week-23-from-sunrise-to-sunset-with-plexamp/?utm_internal=pro_week_android_authority_blog,Global,Society,-1,10000,eng,-1
2024-11-01 11:11:48.388693,https://www.hubspot.com/comparisons/best-cms?hubs_post=blog.hubspot.de%2fmarketing%2fcms-systeme&hubs_post-cta=anzahl+an+cms,Global,Society,500,1000,eng,-1
2024-11-01 11:14:28.249175,https://www.bartleby.com/essay/conflict-perspectives-fc2cxvpdvwm,Global,Society,-1,10000,eng,50
2024-11-01 11:14:49.290883,https://www.techradar.com/news/this-google-chrome-security-flaw-could-affect-billions-of-users,Global,Society,500,1000,eng,-1
2024-11-01 11:16:40.829182,https://www.bartleby.com/essay/analysis-of-shiloh-by-bobbie-ann-mason-fjgbex5y66,Global,Society,-1,10000,eng,-1
2024-11-01 11:16:52.533041,https://www.roku.com/whats-on/movies/sex-lies-and-sugar?id=bc3dc598c9a258669d9d8a68420df971,Global,Society,-1,10000,eng,-1
2024-11-01 11:17:03.274626,https://www.bartleby.com/essay/socialism-and-socialism-similarities-fjv2gab6jg,Global,Society,-1,10000,eng,-1
2024-11-01 11:17:06.868144,https://www.roku.com/whats-on/movies/open-shadow-the-story-of-teal-swan?id=72214a97ad20585fb5f9ad7dde39443f,Global,Society,-1,10000,eng,-1
2024-11-01 12:42:46.730951,https://www.roku.com/products/roku-tv?utm_source=organic_social&utm_medium=rokublog,Global,Society,-1,10000,eng,-1
2024-11-01 12:54:54.149992,https://www.bartleby.com/essay/warriors-don-t-cry-character-analysis-pjpjyee3pwv,Global,Society,-1,10000,eng,-1
2024-11-01 12:55:07.278257,https://www.roku.com/products/roku-tv?utm_source=organic_social&utm_medium=rokublog,Global,Society,-1,10000,eng,-1
2024-11-01 12:55:11.127116,https://www.roku.com/whats-on/movies/mandy?id=d8e7af880774537cbf8c601e55dbde45,Global,Society,-1,10000,eng,-1
2024-11-01 13:47:47.586052,https://www.diy.com/departments/brushed-brass-angled-radiator-valves-luxury-round-modern-pair-/5060966975809_bq.prd,Global,Shopping,100,100000,ces,-1
2024-11-01 13:52:09.739556,https://www.bartleby.com/essay/serial-killers-a-narrative-fiction-fed9c1e982e97dda,Global,Society,-1,10000,eng,-1
2024-11-01 14:10:36.747759,https://www.bartleby.com/essay/the-mockingbirds-by-daisy-whitney-pkmtf9ljf9l5,Global,Society,-1,10000,eng,-1
2024-11-01 14:24:45.082358,https://www.roku.com/blog/disney-movies-anywhere-now-on-the-roku-platform,Global,Society,-1,10000,eng,-1
2024-11-01 14:26:29.636263,https://www.bartleby.com/essay/pros-of-commercial-magazine-photography-pjbjsue66gv,Global,Society,-1,10000,eng,-1
2024-11-01 14:34:05.493156,https://www.roku.com/blog/stream-vuelta-espana-cycling-events-roku-platform,Global,Society,-1,10000,eng,-1
2024-11-01 14:34:16.440323,https://www.bartleby.com/essay/communism-an-extreme-form-of-socialism-pczxz7qymv,Global,Society,-1,10000,eng,-1
2024-11-01 14:52:26.968936,https://www.ycombinator.com/companies/tractian,Global,Society,-1,1000,eng,25
2024-11-04 10:15:23.234453,https://www.diy.com/kitchen/kitchen-appliances/refrigeration.cat?brand=beko&colour+group=white,Global,Shopping,100,100000,ces,-1
2024-11-04 10:15:37.483733,https://www.diy.com/kitchen/kitchen-cabinets/kitchen-doors.cat?door+type=full+height&style=slab,Global,Shopping,100,100000,ces,25
2024-11-04 10:15:45.526316,https://www.diy.com/departments/prehistoric-green-orange-children-s-wallpaper/5022976132603_bq.prd,Global,Shopping,100,100000,ces,50
2024-11-04 10:15:52.037480,https://www.diy.com/departments/outdoor-garden/fencing/garden-trellis-screening/diy1586248.cat,Global,Shopping,100,100000,ces,25
2024-11-04 10:15:54.599177,https://www.diy.com/departments/prehistoric-green-orange-children-s-wallpaper/5022976132603_bq.prd,Global,Shopping,100,100000,ces,50
2024-11-04 10:15:56.315580,https://diy.com,Global,Shopping,100,100000,ces,50
2024-11-04 10:16:11.336900,https://www.diy.com/departments/151-clear-gloss-varnish-180ml/5050375085251_bq.prd,Global,Shopping,100,100000,ces,-1
2024-11-04 10:16:42.356926,https://www.diy.com/kitchen/kitchen-appliances/refrigeration.cat?brand=beko&colour+group=white,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:12.951096,https://www.diy.com/departments/brushed-brass-angled-radiator-valves-luxury-round-modern-pair-/5060966975809_bq.prd,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:18.373879,https://www.diy.com/departments/portwest-unisex-adult-steelite-slip-on-safety-boots-white-9-uk-/5063300428023_bq.prd,Global,Shopping,100,100000,ces,-1
2024-11-04 10:17:24.017089,https://www.diy.com/departments/diall-led-inspection-light-4-5v-120lm/5059340146942_bq.prd,Global,Shopping,100,100000,ces,50
2024-11-04 10:17:27.589166,https://www.diy.com/departments/brushed-brass-angled-radiator-valves-luxury-round-modern-pair-/5060966975809_bq.prd,Global,Shopping,100,100000,ces,-1
