synthetic_time,synthetic_url,original_scope,original_content,original_country_rank,original_world_rank,original_lang,original_path_bin
2024-11-01 08:51:25.415583,https://www.atlasobscura.com/articles/podcast-the-guerrero,Global,Business,-1,10000,eng,50
2024-11-01 09:37:23.147949,https://www.almanac.com/d-days-75th-anniversary-one-small-towns-big-sacrifice,Global,Society,-1,10000,eng,-1
2024-11-01 09:37:53.845145,https://www.nps.gov/grte/learn/news/teton-interagency-fire-danger-lowered-to-moderate.htm,Global,Society,500,1000,eng,-1
2024-11-01 09:40:33.705627,https://www.wondershare.com/reviews/allmymusic-for-mac/2.html,Global,Society,-1,10000,eng,50
2024-11-01 09:40:54.747335,https://www.digitaltrends.com/movies/the-big-bang-theory-best-episodes-ever-ranked/,Global,Society,500,1000,eng,-1
2024-11-01 09:42:46.285634,https://www.ajc.com/blog/radiotvtalk/bert-weiss-getting-divorce/xks2uhciyyo7swqegtl4pn/,Global,Society,-1,10000,eng,-1
2024-11-01 09:42:57.989493,https://www.ajc.com/news/tale-remorse-and-reconciliation-americus/wrshuun2honl2gsfvccykj/,Global,Society,-1,10000,eng,-1
2024-11-01 09:43:12.324596,https://www.ajc.com/news/opinion/replace-fear-ignorance-about-hiv-aids/oqjnan95vaexbicjq4imik/,Global,Society,-1,10000,eng,-1
2024-11-01 11:08:52.187403,"https://www.tomshardware.com/news/apple-executives-pay-salary-best-paid-larry-ellison,22046.html",Global,Society,-1,10000,eng,-1
2024-11-01 11:20:59.606444,https://www.ajc.com/politics/warnock-returns-to-us-senate-with-busy-agenda-high-expectations/cfplatqlqbfgxlzv3tuvlxq7bq/,Global,Society,-1,10000,eng,-1
2024-11-01 11:21:12.734709,https://www.almanac.com/d-days-75th-anniversary-one-small-towns-big-sacrifice,Global,Society,-1,10000,eng,-1
2024-11-01 11:21:16.583568,https://www.ajc.com/news/local/hundreds-atlanta-young-ballet-dancers-audition-for-scholarships/jknfqbmg6lk21bfsgjnpwp/,Global,Society,-1,10000,eng,-1
2024-11-01 12:13:53.042504,https://www.redbubble.com/i/sticker/fuel-and-motivation-by-anniko-story/39043070.ejug5,Global,Shopping,100,100000,ces,-1
2024-11-01 12:18:15.196008,https://www.defense.gov/news/releases/release/article/1425679/rok-us-defense-ministerial-meeting/,Global,Society,-1,10000,eng,-1
2024-11-01 12:36:42.204211,https://www.ajc.com/news/crime--law/robbed-while-changing-tire-midtown-shot/wm1pygurdfu2rkqsqj4sfi/,Global,Society,-1,10000,eng,-1
2024-11-01 12:50:50.538810,https://www.tomshardware.com/news/corsairs-4tb-mp600-core-xt-m2-ssd-at-dollar159-low-real-deals,Global,Society,-1,10000,eng,-1
2024-11-01 12:52:35.092715,https://www.ajc.com/sports/football/falcons-decline-takk-mckinley-fifth-year-option/bkpvgxrnfy9ha2zykajysi/,Global,Society,-1,10000,eng,-1
2024-11-01 13:00:10.949608,https://biblehub.com/library/arnot/the_parables_of_our_lord/xi_the_wicked_husbandmen.htm,Global,Society,-1,10000,eng,-1
2024-11-01 13:00:21.896775,https://www.defense.gov/news/news-stories/article/article/2381828/5gat-drone-ready-for-first-flight/,Global,Society,-1,10000,eng,-1
2024-11-01 13:18:32.425388,https://www.typepad.com/tos?tos_locale=fi_fi,Global,Society,-1,1000,eng,25
2024-11-04 08:41:28.690905,https://www.redbubble.com/i/tank-top/the-spirit-of-huntington-art-center-by-soh-art/143432535.tl6qv,Global,Shopping,100,100000,ces,-1
2024-11-04 08:41:42.940185,https://www.redbubble.com/shop/blue+masks,Global,Shopping,100,100000,ces,25
2024-11-04 08:41:50.982768,https://www.imdb.com/title/tt0427312/reference,Global,Shopping,100,100000,ces,50
2024-11-04 08:41:57.493932,https://www.redbubble.com/shop/trunk,Global,Shopping,100,100000,ces,25
2024-11-04 08:42:00.055629,https://www.redbubble.com/people/michellegilart/shop,Global,Shopping,100,100000,ces,50
2024-11-04 08:42:01.772032,https://www.imdb.com/title/tt12037194/parentalguide,Global,Shopping,100,100000,ces,50
2024-11-04 08:42:16.793352,https://www.redbubble.com/people/flower-forest/shop/?utm_source=cdmi&utm_medium=subscription&utm_campaign=text,Global,Shopping,100,100000,ces,-1
2024-11-04 08:42:47.813378,https://www.redbubble.com/i/notebook/silver-leaf-monkey-by-blackmamba5/88252085.rxh2r,Global,Shopping,100,100000,ces,-1
2024-11-04 08:43:18.407548,https://www.redbubble.com/i/tote-bag/recycle-and-smile-by-appletreemagic/101662198.pjqvx,Global,Shopping,100,100000,ces,-1
2024-11-04 08:43:23.830331,https://www.redbubble.com/i/notebook/requiem-clan-art-daeva-by-theonyxpath/34290515.rxh2r?asc=u,Global,Shopping,100,100000,ces,-1
2024-11-04 08:43:29.473541,https://www.redbubble.com/people/blossomartave/shop,Global,Shopping,100,100000,ces,50
2024-11-04 08:43:33.045618,https://www.redbubble.com/i/tank-top/the-spirit-of-huntington-art-center-by-soh-art/143432535.tl6qv,Global,Shopping,100,100000,ces,-1
